Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2000,7,326,DAL,Dallas Mavericks,44,Shawn Bradley,C,7-6,235,"March 22, 1972",DE,6,BYU
2000,7,414,DAL,Dallas Mavericks,21,Greg Buckner,SG,6-4,210,"September 16, 1976",US,R,Clemson
2000,7,508,DAL,Dallas Mavericks,23,Cedric Ceballos,SF,6-6,190,"August 2, 1969",US,9,Cal State Fullerton
2000,7,689,DAL,Dallas Mavericks,24,Hubert Davis,PG,6-5,183,"May 17, 1970",US,7,UNC
2000,7,916,DAL,Dallas Mavericks,4,Michael Finley,SF,6-7,215,"March 6, 1973",US,4,Wisconsin
2000,7,1356,DAL,Dallas Mavericks,3,Rick Hughes,PF,6-9,235,"August 22, 1973",US,R,Thomas More College
2000,7,1414,DAL,Dallas Mavericks,43,Randell Jackson,PF,6-11,215,"January 16, 1976",US,1,Florida State
2000,7,1534,DAL,Dallas Mavericks,11,Damon Jones,PG,6-3,185,"August 25, 1976",US,1,Houston
2000,7,2112,DAL,Dallas Mavericks,13,Steve Nash,PG,6-3,195,"February 7, 1974",ZA,3,Santa Clara
2000,7,2161,DAL,Dallas Mavericks,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",DE,1,
2000,7,2232,DAL,Dallas Mavericks,14,Robert Pack,PG,6-2,180,"February 3, 1969",US,8,USC
2000,7,2433,DAL,Dallas Mavericks,2,Rodrick Rhodes,SF,6-6,225,"September 24, 1973",US,2,"Kentucky, USC"
2000,7,2494,DAL,Dallas Mavericks,70,Dennis Rodman,PF,6-7,210,"May 13, 1961",US,13,Southeastern Oklahoma State University
2000,7,2504,DAL,Dallas Mavericks,45,Sean Rooks,C,6-10,250,"September 9, 1969",US,7,Arizona
2000,7,2772,DAL,Dallas Mavericks,20,Erick Strickland,SG,6-3,210,"November 25, 1973",US,3,Nebraska
2000,7,2785,DAL,Dallas Mavericks,40,Bruno Sundov,C,7-2,220,"February 10, 1980",HR,1,
2000,7,2906,DAL,Dallas Mavericks,33,Gary Trent,SF,6-8,250,"September 22, 1974",US,4,Ohio University
