SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,25,POR,Rod Strickland,29,5,5,202,37,84,0.44,6,12,0.5,31,72,0.43,0.48,23,36,0.64,12,19,31,42,5,0,12,14,103
1996,25,POR,Clifford Robinson,29,5,5,181,21,61,0.34,6,23,0.26,15,38,0.4,0.39,28,37,0.76,4,14,18,8,7,5,16,19,76
1996,25,POR,Arvydas Sabonis,31,5,5,177,35,81,0.43,5,9,0.56,30,72,0.42,0.46,43,60,0.72,12,39,51,9,4,3,10,17,118
1996,25,POR,Harvey Grant,30,5,5,164,13,38,0.34,1,7,0.14,12,31,0.39,0.36,0,4,0.0,5,15,20,4,0,2,3,16,27
1996,25,POR,Aaron McKie,23,5,4,134,11,30,0.37,2,8,0.25,9,22,0.41,0.4,7,9,0.78,4,14,18,9,6,2,9,13,31
1996,25,POR,Buck Williams,35,5,1,133,9,23,0.39,1,2,0.5,8,21,0.38,0.41,5,7,0.71,13,12,25,1,1,4,5,18,24
1996,25,POR,Chris Dudley,30,5,0,92,5,13,0.38,0,0,,5,13,0.38,0.38,4,6,0.67,9,18,27,1,2,2,4,18,14
1996,25,POR,Dontonio Wingfield,21,5,0,62,8,21,0.38,6,10,0.6,2,11,0.18,0.52,2,6,0.33,10,4,14,4,0,0,3,10,24
1996,25,POR,Rumeal Robinson,29,5,0,43,8,19,0.42,4,9,0.44,4,10,0.4,0.53,1,4,0.25,0,2,2,3,3,0,3,8,21
1996,25,POR,James Robinson,25,2,0,26,3,10,0.3,2,6,0.33,1,4,0.25,0.4,0,0,,0,1,1,3,1,1,3,4,8
1996,25,POR,Gary Trent,21,2,0,10,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,1,1,0,1,0,0,3,2
1996,25,POR,Elmore Spencer,26,1,0,1,0,0,,0,0,,0,0,,,0,2,0.0,0,0,0,0,0,0,0,0,0
