SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,11,HOU,Hakeem Olajuwon,33,8,8,329,75,147,0.51,0,1,0.0,75,146,0.51,0.51,29,40,0.72,17,56,73,31,15,17,29,28,179
1996,11,HOU,Robert Horry,25,8,8,308,37,91,0.41,21,53,0.4,16,38,0.42,0.52,10,23,0.44,15,42,57,24,21,13,15,29,105
1996,11,HOU,Clyde Drexler,33,8,8,292,49,118,0.42,9,34,0.26,40,84,0.48,0.45,26,34,0.76,15,47,62,40,21,4,20,22,133
1996,11,HOU,Mario Elie,32,8,0,233,29,66,0.44,9,24,0.38,20,42,0.48,0.51,11,12,0.92,6,16,22,14,7,3,5,17,78
1996,11,HOU,Sam Cassell,26,8,0,206,26,81,0.32,8,29,0.28,18,52,0.35,0.37,23,29,0.79,1,16,17,34,6,1,18,20,83
1996,11,HOU,Kenny Smith,30,8,8,191,23,53,0.43,12,31,0.39,11,22,0.5,0.55,13,13,1.0,4,8,12,38,5,0,8,14,71
1996,11,HOU,Chucky Brown,27,8,8,168,25,45,0.56,0,0,,25,45,0.56,0.56,15,18,0.83,6,18,24,5,3,0,4,17,65
1996,11,HOU,Mark Bryant,30,8,0,145,21,35,0.6,0,0,,21,35,0.6,0.6,12,15,0.8,7,20,27,4,1,2,3,21,54
1996,11,HOU,Sam Mack,25,6,0,47,5,15,0.33,2,9,0.22,3,6,0.5,0.4,0,3,0.0,0,9,9,1,1,0,2,1,12
1996,11,HOU,Pete Chilcutt,27,1,0,10,1,4,0.25,0,1,0.0,1,3,0.33,0.25,0,2,0.0,2,1,3,0,0,0,1,0,2
1996,11,HOU,Charles Jones,38,3,0,8,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0
1996,11,HOU,Eldridge Recasner,28,1,0,8,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,2,0,0,1,0,0
