Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,14,LAL,Los Angeles Lakers,Eddie Jones,24,4,4,155,27,49,0.55,10,19,0.53,17,30,0.57,0.65,5,8,0.62,7,14,21,6,8,1,4,16,69
1996,14,LAL,Los Angeles Lakers,Cedric Ceballos,26,4,4,142,30,62,0.48,5,16,0.31,25,46,0.54,0.52,11,12,0.92,11,22,33,5,4,1,8,9,76
1996,14,LAL,Los Angeles Lakers,Nick Van Exel,24,4,4,137,16,54,0.3,5,16,0.31,11,38,0.29,0.34,10,13,0.77,4,12,16,27,2,0,11,10,47
1996,14,LAL,Los Angeles Lakers,Magic Johnson,36,4,0,135,15,39,0.38,3,9,0.33,12,30,0.4,0.42,28,33,0.85,8,26,34,26,0,0,12,3,61
1996,14,LAL,Los Angeles Lakers,Elden Campbell,27,4,4,129,20,39,0.51,0,1,0.0,20,38,0.53,0.51,8,16,0.5,3,29,32,8,1,9,10,17,48
1996,14,LAL,Los Angeles Lakers,Vlade Divac,27,4,4,115,15,35,0.43,1,5,0.2,14,30,0.47,0.44,5,8,0.62,11,19,30,8,0,5,8,10,36
1996,14,LAL,Los Angeles Lakers,Anthony Peeler,26,3,0,72,9,27,0.33,6,14,0.43,3,13,0.23,0.44,4,4,1.0,2,6,8,3,6,0,3,6,28
1996,14,LAL,Los Angeles Lakers,Sedale Threatt,34,4,0,57,4,18,0.22,2,11,0.18,2,7,0.29,0.28,0,0,,1,2,3,4,2,0,3,4,10
1996,14,LAL,Los Angeles Lakers,George Lynch,25,2,0,15,2,4,0.5,0,1,0.0,2,3,0.67,0.5,0,0,,0,3,3,1,0,0,2,4,4
1996,14,LAL,Los Angeles Lakers,Fred Roberts,35,1,0,3,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,2,1,3,0,0,0,1,0,0
