SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2011,12,IND,Danny Granger,27,79,79,35.0,6.8,15.9,0.42,2.0,5.2,0.39,4.8,10.8,0.44,0.49,5.0,5.9,0.85,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7,20.5
2011,12,IND,Darren Collison,23,79,79,29.9,5.0,11.0,0.46,0.5,1.6,0.33,4.5,9.4,0.48,0.48,2.6,2.9,0.87,0.5,2.3,2.8,5.1,1.1,0.2,2.5,1.4,13.2
2011,12,IND,Roy Hibbert,24,81,80,27.7,5.1,11.0,0.46,0.0,0.0,0.0,5.1,10.9,0.46,0.46,2.5,3.4,0.74,2.2,5.3,7.5,2.0,0.4,1.8,2.3,3.2,12.7
2011,12,IND,Mike Dunleavy,30,61,44,27.6,3.9,8.5,0.46,1.7,4.2,0.4,2.3,4.4,0.52,0.56,1.6,2.0,0.8,0.5,4.1,4.5,1.7,0.7,0.5,1.1,1.8,11.2
2011,12,IND,Brandon Rush,25,67,21,26.2,3.2,7.7,0.42,1.4,3.3,0.42,1.9,4.4,0.42,0.51,1.2,1.6,0.76,0.5,2.7,3.2,0.9,0.6,0.5,1.0,1.6,9.1
2011,12,IND,Josh McRoberts,23,72,51,22.2,2.9,5.4,0.55,0.3,0.8,0.38,2.6,4.5,0.58,0.58,1.2,1.7,0.74,1.5,3.8,5.3,2.1,0.7,0.8,1.3,2.3,7.4
2011,12,IND,Tyler Hansbrough,25,70,29,21.9,4.1,8.8,0.46,0.0,0.0,0.0,4.1,8.7,0.47,0.46,2.8,3.6,0.78,2.1,3.2,5.2,0.6,0.5,0.2,1.1,2.3,11.0
2011,12,IND,Paul George,20,61,19,20.7,2.9,6.5,0.45,0.7,2.3,0.3,2.3,4.2,0.54,0.5,1.3,1.7,0.76,0.6,3.1,3.7,1.1,1.0,0.4,1.1,2.1,7.8
2011,12,IND,T.J. Ford,27,41,3,18.9,2.2,5.8,0.39,0.1,0.8,0.19,2.1,5.0,0.42,0.4,0.9,1.2,0.73,0.4,1.6,2.0,3.4,0.9,0.2,1.5,1.7,5.4
2011,12,IND,James Posey,34,49,0,17.1,1.7,4.9,0.34,1.4,4.3,0.32,0.3,0.6,0.48,0.48,0.2,0.3,0.73,0.2,2.8,3.0,0.7,0.5,0.1,0.5,2.1,4.9
2011,12,IND,Jeff Foster,34,56,3,16.8,1.4,3.0,0.48,0.0,0.1,0.0,1.4,2.9,0.49,0.48,0.5,0.9,0.56,2.9,3.4,6.3,0.8,0.4,0.6,0.5,2.3,3.3
2011,12,IND,A.J. Price,24,50,0,15.9,2.3,6.4,0.36,0.8,3.0,0.28,1.5,3.4,0.43,0.42,1.1,1.6,0.67,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5
2011,12,IND,Solomon Jones,26,39,0,13.5,1.3,3.1,0.4,0.0,0.0,0.0,1.3,3.1,0.41,0.4,1.1,1.6,0.66,1.2,1.7,2.9,0.8,0.3,0.6,0.9,2.4,3.6
2011,12,IND,Dahntay Jones,30,45,2,13.1,2.2,4.8,0.47,0.3,0.9,0.36,1.9,3.9,0.49,0.5,1.5,2.0,0.77,0.1,1.4,1.4,0.7,0.4,0.2,0.7,1.6,6.3
2011,12,IND,Lance Stephenson,20,12,0,9.6,1.1,3.3,0.33,0.0,0.4,0.0,1.1,2.8,0.38,0.33,0.9,1.2,0.79,0.1,1.4,1.5,1.8,0.3,0.0,1.3,1.2,3.1
