Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1997,25,2178,POR,Portland Trail Blazers,Jermaine O'Neal,"October 13, 1978",18.0,NBA,PF,45.0,0.0,458.0,69.0,153.0,0.45,0.0,1.0,0.0,69.0,152.0,0.45,0.45,47.0,78.0,0.6,39.0,85.0,124.0,8.0,2.0,26.0,27.0,46.0,185.0,0.0
1998,25,2178,POR,Portland Trail Blazers,Jermaine O'Neal,"October 13, 1978",19.0,NBA,PF,60.0,9.0,808.0,112.0,231.0,0.48,0.0,2.0,0.0,112.0,229.0,0.49,0.48,45.0,89.0,0.51,80.0,121.0,201.0,17.0,15.0,58.0,55.0,101.0,269.0,0.0
1999,25,2178,POR,Portland Trail Blazers,Jermaine O'Neal,"October 13, 1978",20.0,NBA,PF,36.0,1.0,311.0,36.0,83.0,0.43,0.0,1.0,0.0,36.0,82.0,0.44,0.43,18.0,35.0,0.51,42.0,55.0,97.0,13.0,4.0,14.0,14.0,41.0,90.0,0.0
2000,25,2178,POR,Portland Trail Blazers,Jermaine O'Neal,"October 13, 1978",21.0,NBA,C,70.0,8.0,859.0,108.0,222.0,0.49,0.0,1.0,0.0,108.0,221.0,0.49,0.49,57.0,98.0,0.58,97.0,132.0,229.0,18.0,11.0,55.0,47.0,127.0,273.0,0.0
2001,12,2178,IND,Indiana Pacers,Jermaine O'Neal,"October 13, 1978",22.0,NBA,C,81.0,80.0,2641.0,404.0,868.0,0.46,0.0,5.0,0.0,404.0,863.0,0.47,0.46,233.0,388.0,0.6,249.0,545.0,794.0,98.0,49.0,228.0,161.0,280.0,1041.0,0.0
2002,12,2178,IND,Indiana Pacers,Jermaine O'Neal,"October 13, 1978",23.0,NBA,PF,72.0,72.0,2707.0,543.0,1133.0,0.48,1.0,14.0,0.07,542.0,1119.0,0.48,0.48,284.0,413.0,0.69,188.0,569.0,757.0,118.0,45.0,166.0,174.0,269.0,1371.0,0.0
2003,12,2178,IND,Indiana Pacers,Jermaine O'Neal,"October 13, 1978",24.0,NBA,PF,77.0,76.0,2864.0,610.0,1260.0,0.48,7.0,21.0,0.33,603.0,1239.0,0.49,0.49,373.0,510.0,0.73,202.0,594.0,796.0,155.0,66.0,178.0,180.0,277.0,1600.0,1.0
2004,12,2178,IND,Indiana Pacers,Jermaine O'Neal,"October 13, 1978",25.0,NBA,PF,78.0,78.0,2788.0,608.0,1400.0,0.43,2.0,18.0,0.11,606.0,1382.0,0.44,0.44,348.0,460.0,0.76,193.0,585.0,778.0,164.0,59.0,199.0,181.0,248.0,1566.0,0.0
2005,12,2178,IND,Indiana Pacers,Jermaine O'Neal,"October 13, 1978",26.0,NBA,PF,44.0,41.0,1530.0,386.0,854.0,0.45,1.0,6.0,0.17,385.0,848.0,0.45,0.45,295.0,391.0,0.75,85.0,303.0,388.0,82.0,25.0,88.0,131.0,173.0,1068.0,0.0
2006,12,2178,IND,Indiana Pacers,Jermaine O'Neal,"October 13, 1978",27.0,NBA,PF,51.0,47.0,1802.0,380.0,805.0,0.47,3.0,10.0,0.3,377.0,795.0,0.47,0.47,261.0,368.0,0.71,102.0,374.0,476.0,133.0,27.0,117.0,151.0,177.0,1024.0,0.0
