Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974,1.0,1540,ATL,Atlanta Hawks,21.0,NBA,PF,74,,19.6,3.2,6.8,0.474,,,,3.2,6.8,0.474,0.474,1.6,2.1,0.744,2.0,4.2,6.1,1.2,0.4,0.9,,2.7,8.0
1975,1.0,1540,ATL,Atlanta Hawks,22.0,NBA,C,75,,27.8,4.3,10.0,0.43,,,,4.3,10.0,0.43,0.43,1.8,2.4,0.721,3.1,6.1,9.3,2.0,0.7,0.7,,3.0,10.4
1976,1.0,1540,ATL,Atlanta Hawks,23.0,NBA,C,66,,26.7,3.8,8.2,0.463,,,,3.8,8.2,0.463,0.463,2.5,3.3,0.744,2.6,5.3,7.9,1.3,0.8,0.9,,3.2,10.1
1977,11.0,1540,HOU,Houston Rockets,24.0,NBA,PF,74,,16.7,2.3,4.6,0.494,,,,2.3,4.6,0.494,0.494,1.4,1.7,0.802,1.3,2.5,3.8,0.6,0.5,0.3,,2.4,5.9
1978,11.0,1540,HOU,Houston Rockets,25.0,NBA,PF,82,,30.2,4.2,9.5,0.445,,,,4.2,9.5,0.445,0.445,2.2,2.8,0.777,2.6,5.2,7.8,1.3,0.9,0.5,2.0,3.2,10.6
1979,11.0,1540,HOU,Houston Rockets,26.0,NBA,C,81,,15.0,2.2,4.9,0.458,,,,2.2,4.9,0.458,0.458,1.2,1.6,0.727,1.4,2.7,4.0,0.7,0.4,0.3,1.3,2.5,5.7
1980,31.0,1540,TOT,Total After Trade,27.0,NBA,PF,74,,19.6,3.5,6.8,0.508,0.0,0.0,,3.5,6.8,0.508,0.508,2.0,2.7,0.726,1.5,3.4,5.0,1.4,0.4,0.6,1.6,2.8,8.9
1980,11.0,1540,HOU,Houston Rockets,27.0,NBA,PF,21,,13.2,2.4,5.7,0.42,0.0,0.0,,2.4,5.7,0.42,0.42,1.3,1.7,0.75,1.5,2.0,3.4,0.5,0.2,0.2,1.0,2.3,6.0
1980,5.0,1540,CHI,Chicago Bulls,27.0,NBA,PF,53,,22.1,3.9,7.3,0.535,0.0,0.0,,3.9,7.3,0.535,0.535,2.2,3.1,0.721,1.6,4.0,5.6,1.7,0.5,0.7,1.9,3.0,10.1
1981,5.0,1540,CHI,Chicago Bulls,28.0,NBA,PF,81,,19.4,3.0,6.3,0.483,0.0,0.0,,3.0,6.3,0.483,0.483,1.5,2.0,0.776,1.6,3.4,5.0,1.2,0.5,0.4,1.6,2.5,7.6
1982,5.0,1540,CHI,Chicago Bulls,29.0,NBA,PF,78,18.0,26.2,3.9,7.3,0.53,0.0,0.0,1.0,3.9,7.3,0.529,0.531,2.2,3.1,0.723,2.0,4.5,6.5,1.5,0.6,0.5,2.0,2.8,10.0
1983,31.0,1540,TOT,Total After Trade,30.0,NBA,PF,81,2.0,14.4,1.8,4.0,0.455,0.0,0.0,0.0,1.8,4.0,0.457,0.455,1.0,1.5,0.642,1.0,2.8,3.8,0.8,0.4,0.3,1.2,2.1,4.6
1983,5.0,1540,CHI,Chicago Bulls,30.0,NBA,PF,49,2.0,13.7,1.8,3.9,0.446,0.0,0.0,,1.8,3.9,0.446,0.446,1.0,1.5,0.627,1.1,2.8,4.0,0.8,0.4,0.3,1.3,1.8,4.5
1983,14.0,1540,LAL,Los Angeles Lakers,30.0,NBA,PF,32,0.0,15.3,1.9,4.1,0.47,0.0,0.0,0.0,1.9,4.1,0.473,0.47,1.0,1.5,0.667,0.9,2.7,3.6,0.7,0.4,0.3,1.1,2.6,4.9
