Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1994,3.0,3070,NJN,New Jersey Nets,David Wesley,"November 14, 1970",23.0,NBA,PG,60.0,0.0,542.0,5.9,16.1,0.37,1.0,4.4,0.23,4.9,11.8,0.42,4.1,4.9,0.83,0.9,3.2,4.1,11.4,3.5,0.4,4.8,4.4,17.0,,97.0,105.0
1995,2.0,3070,BOS,Boston Celtics,David Wesley,"November 14, 1970",24.0,NBA,PG,51.0,36.0,1380.0,4.7,11.6,0.41,1.9,4.4,0.43,2.8,7.2,0.4,2.6,3.5,0.76,1.1,3.2,4.3,9.8,3.0,0.3,3.2,5.3,14.0,,111.0,110.0
1996,2.0,3070,BOS,Boston Celtics,David Wesley,"November 14, 1970",25.0,NBA,PG,82.0,53.0,2104.0,8.0,17.4,0.46,2.7,6.4,0.43,5.3,11.0,0.48,5.1,6.8,0.75,1.6,4.6,6.3,9.2,2.4,0.3,3.8,4.9,23.9,,116.0,110.0
1997,2.0,3070,BOS,Boston Celtics,David Wesley,"November 14, 1970",26.0,NBA,PG,74.0,73.0,2991.0,7.6,16.3,0.47,1.7,4.8,0.36,5.9,11.5,0.51,3.8,4.8,0.78,1.1,3.3,4.4,9.0,2.7,0.2,3.5,3.7,20.8,,112.0,112.0
1998,,3070,CHH,None,David Wesley,"November 14, 1970",27.0,NBA,PG,81.0,81.0,2845.0,7.2,16.3,0.44,1.1,3.2,0.35,6.1,13.1,0.47,4.3,5.4,0.8,0.9,3.1,4.0,10.0,2.6,0.6,4.3,4.3,19.9,,106.0,106.0
1999,,3070,CHH,None,David Wesley,"November 14, 1970",28.0,NBA,PG,50.0,50.0,1848.0,7.0,15.8,0.45,1.8,4.9,0.36,5.3,10.9,0.48,4.6,5.5,0.83,0.7,4.0,4.7,9.3,2.9,0.3,4.1,3.8,20.4,,107.0,103.0
2000,,3070,CHH,None,David Wesley,"November 14, 1970",29.0,NBA,PG,82.0,82.0,2760.0,7.5,17.7,0.43,1.6,4.6,0.36,5.9,13.1,0.45,4.0,5.1,0.78,0.7,3.4,4.2,8.6,2.0,0.2,2.9,3.4,20.7,,106.0,105.0
2001,,3070,CHH,None,David Wesley,"November 14, 1970",30.0,NBA,SG,82.0,82.0,3106.0,9.0,21.4,0.42,1.7,4.5,0.38,7.4,17.0,0.43,4.7,5.9,0.8,1.1,2.8,3.9,6.2,2.2,0.3,3.0,3.8,24.4,,104.0,103.0
2002,,3070,CHH,None,David Wesley,"November 14, 1970",31.0,NBA,SG,67.0,63.0,2487.0,7.8,19.6,0.4,1.8,5.5,0.33,6.0,14.1,0.43,3.0,4.0,0.73,0.9,2.1,3.1,5.1,1.6,0.3,2.6,3.2,20.5,,100.0,108.0
2003,19.0,3070,NOH,New Orleans Hornets,David Wesley,"November 14, 1970",32.0,NBA,SG,73.0,73.0,2710.0,8.9,20.6,0.43,2.7,6.3,0.42,6.2,14.3,0.44,3.7,4.7,0.78,0.8,2.7,3.5,5.0,2.2,0.2,2.6,3.4,24.1,,109.0,105.0
2004,19.0,3070,NOH,New Orleans Hornets,David Wesley,"November 14, 1970",33.0,NBA,SG,61.0,60.0,2001.0,8.4,21.5,0.39,2.5,7.7,0.32,5.9,13.9,0.42,3.7,4.9,0.75,0.8,2.9,3.6,4.7,1.9,0.4,2.7,4.0,22.9,,100.0,106.0
2005,31.0,3070,TOT,Total After Trade,David Wesley,"November 14, 1970",34.0,NBA,SG,80.0,79.0,2774.0,6.5,16.5,0.4,2.3,6.2,0.38,4.2,10.3,0.41,3.2,3.7,0.86,0.7,3.7,4.5,5.2,1.9,0.2,2.2,4.2,18.6,,106.0,106.0
2005,19.0,3070,NOH,New Orleans Hornets,David Wesley,"November 14, 1970",34.0,NBA,SG,26.0,26.0,934.0,7.8,20.1,0.39,1.6,4.7,0.35,6.2,15.4,0.4,3.9,4.5,0.88,0.7,4.3,5.0,6.4,2.1,0.1,3.2,3.8,21.2,,99.0,109.0
2005,11.0,3070,HOU,Houston Rockets,David Wesley,"November 14, 1970",34.0,NBA,SG,54.0,53.0,1840.0,5.9,14.6,0.4,2.6,6.9,0.38,3.3,7.7,0.42,2.8,3.3,0.84,0.8,3.4,4.2,4.6,1.8,0.2,1.7,4.4,17.3,,110.0,105.0
2006,11.0,3070,HOU,Houston Rockets,David Wesley,"November 14, 1970",35.0,NBA,SG,71.0,59.0,2372.0,5.2,12.9,0.4,2.3,6.2,0.36,2.9,6.7,0.44,3.5,4.3,0.81,0.6,3.5,4.1,4.7,1.4,0.1,2.8,4.9,16.1,,104.0,107.0
2007,6.0,3070,CLE,Cleveland Cavaliers,David Wesley,"November 14, 1970",36.0,NBA,SG,35.0,5.0,352.0,3.3,11.3,0.29,1.4,5.7,0.24,2.0,5.6,0.35,3.0,4.2,0.71,0.5,4.8,5.3,5.6,1.8,0.6,2.6,4.8,11.0,,91.0,103.0
