Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,22,1722,ORL,Orlando Magic,Courtney Lee,1985-10-03,23.0,NBA,SG,77.0,42.0,1939.0,4.5,10.0,0.45,1.5,3.8,0.4,3.0,6.3,0.48,1.4,1.7,0.83,0.3,3.0,3.3,1.7,1.4,0.3,1.3,2.9,12.0
2010,3,1722,NJN,New Jersey Nets,Courtney Lee,1985-10-03,24.0,NBA,SG,71.0,66.0,2375.0,5.1,11.7,0.44,1.2,3.4,0.34,4.0,8.3,0.48,2.0,2.3,0.87,0.9,2.9,3.8,1.8,1.4,0.3,1.2,2.0,13.4
2011,11,1722,HOU,Houston Rockets,Courtney Lee,1985-10-03,25.0,NBA,SG,81.0,1.0,1723.0,5.3,12.0,0.44,1.5,3.6,0.41,3.8,8.4,0.45,2.0,2.5,0.79,1.1,3.3,4.4,2.1,1.2,0.4,1.4,2.1,14.0
2012,11,1722,HOU,Houston Rockets,Courtney Lee,1985-10-03,26.0,NBA,SG,58.0,26.0,1757.0,5.1,11.9,0.43,1.8,4.4,0.4,3.4,7.4,0.45,1.5,1.8,0.83,0.5,2.7,3.3,1.8,1.4,0.5,1.3,2.2,13.5
2013,2,1722,BOS,Boston Celtics,Courtney Lee,1985-10-03,27.0,NBA,SG,78.0,39.0,1941.0,4.6,9.8,0.46,1.1,2.9,0.37,3.5,6.9,0.5,1.1,1.3,0.86,0.6,2.9,3.5,2.7,1.7,0.4,1.6,2.6,11.4
2014,31,1722,TOT,Total After Trade,Courtney Lee,1985-10-03,28.0,NBA,SG,79.0,47.0,1973.0,5.4,11.2,0.48,1.3,3.5,0.37,4.1,7.7,0.53,1.8,2.0,0.88,0.5,2.9,3.4,2.1,1.2,0.5,1.3,2.3,13.9
2014,2,1722,BOS,Boston Celtics,Courtney Lee,1985-10-03,28.0,NBA,SG,30.0,0.0,504.0,6.4,13.1,0.49,1.6,3.7,0.44,4.8,9.4,0.51,1.3,1.6,0.82,0.6,2.9,3.5,2.3,1.4,0.6,1.8,2.6,15.8
2014,15,1722,MEM,Memphis Grizzlies,Courtney Lee,1985-10-03,28.0,NBA,SG,49.0,47.0,1469.0,5.0,10.6,0.48,1.2,3.5,0.34,3.8,7.1,0.54,2.0,2.2,0.9,0.5,2.9,3.4,2.0,1.1,0.5,1.2,2.2,13.2
2015,15,1722,MEM,Memphis Grizzlies,Courtney Lee,1985-10-03,29.0,NBA,SG,77.0,74.0,2354.0,4.4,9.8,0.45,1.4,3.4,0.4,3.0,6.4,0.47,1.7,2.0,0.86,0.3,2.4,2.7,2.3,1.1,0.2,1.2,2.0,11.9
2016,31,1722,TOT,Total After Trade,Courtney Lee,1985-10-03,30.0,NBA,SG,79.0,65.0,2334.0,4.5,9.9,0.45,1.3,3.3,0.38,3.2,6.5,0.49,1.5,1.8,0.84,0.4,2.7,3.2,2.1,1.3,0.4,1.1,2.1,11.7
2016,15,1722,MEM,Memphis Grizzlies,Courtney Lee,1985-10-03,30.0,NBA,SG,51.0,37.0,1489.0,4.6,10.1,0.46,1.2,3.3,0.37,3.4,6.8,0.5,1.8,2.2,0.83,0.5,2.4,2.9,1.8,1.3,0.4,1.2,1.9,12.4
2016,4,1722,CHO,Charlotte Hornets,Courtney Lee,1985-10-03,30.0,NBA,SG,28.0,28.0,845.0,4.2,9.4,0.44,1.3,3.4,0.39,2.9,6.0,0.48,1.0,1.1,0.88,0.4,3.3,3.7,2.6,1.4,0.5,1.0,2.3,10.7
2017,20,1722,NYK,New York Knicks,Courtney Lee,1985-10-03,31.0,NBA,SG,77.0,74.0,2459.0,4.7,10.3,0.46,1.6,3.9,0.4,3.1,6.4,0.49,1.2,1.4,0.87,0.8,3.0,3.8,2.6,1.2,0.4,1.0,2.1,12.2
2018,20,1722,NYK,New York Knicks,Courtney Lee,1985-10-03,32.0,NBA,SG,76.0,69.0,2310.0,5.3,11.8,0.45,1.8,4.3,0.41,3.6,7.4,0.48,1.8,1.9,0.92,0.5,3.0,3.5,2.8,1.2,0.3,1.3,1.7,14.2
2019,31,1722,TOT,Total After Trade,Courtney Lee,1985-10-03,33.0,NBA,SG,34.0,6.0,428.0,4.5,10.9,0.41,1.3,4.6,0.29,3.1,6.2,0.5,1.2,1.8,0.67,0.8,3.8,4.5,3.1,1.8,0.3,1.2,2.7,11.4
2019,20,1722,NYK,New York Knicks,Courtney Lee,1985-10-03,33.0,NBA,SG,12.0,2.0,160.0,4.7,10.6,0.45,1.1,3.6,0.31,3.6,7.0,0.52,2.0,3.2,0.64,1.4,4.7,6.1,3.6,1.8,0.5,1.1,2.9,12.6
2019,7,1722,DAL,Dallas Mavericks,Courtney Lee,1985-10-03,33.0,NBA,SG,22.0,4.0,268.0,4.3,11.0,0.39,1.5,5.2,0.28,2.8,5.8,0.49,0.7,0.9,0.71,0.4,3.2,3.6,2.8,1.7,0.1,1.2,2.6,10.7
2020,7,1722,DAL,Dallas Mavericks,Courtney Lee,1985-10-03,34.0,NBA,SG,24.0,9.0,345.0,4.2,8.6,0.49,2.2,4.9,0.45,2.0,3.7,0.54,0.6,0.7,0.86,0.7,2.6,3.3,1.3,1.9,0.6,1.1,3.4,11.2
