Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,20,3168,NYK,New York Knicks,Ray Williams,"October 14, 1954",25.0,NBA,PG,82.0,,2582.0,687.0,1384.0,0.5,7.0,37.0,0.19,680.0,1347.0,0.5,0.5,333.0,423.0,0.79,149.0,263.0,412.0,512.0,167.0,24.0,256.0,295.0,1714.0,,1.0
1981,20,3168,NYK,New York Knicks,Ray Williams,"October 14, 1954",26.0,NBA,PG,79.0,,2742.0,616.0,1335.0,0.46,16.0,68.0,0.24,600.0,1267.0,0.47,0.47,312.0,382.0,0.82,122.0,199.0,321.0,432.0,185.0,37.0,235.0,270.0,1560.0,,0.0
1982,3,3168,NJN,New Jersey Nets,Ray Williams,"October 14, 1954",27.0,NBA,SG,82.0,69.0,2732.0,639.0,1383.0,0.46,9.0,54.0,0.17,630.0,1329.0,0.47,0.46,387.0,465.0,0.83,117.0,208.0,325.0,488.0,199.0,43.0,290.0,302.0,1674.0,,0.0
1983,26,3168,KCK,Kansas City Kings,Ray Williams,"October 14, 1954",28.0,NBA,PG,72.0,68.0,2170.0,419.0,1068.0,0.39,15.0,74.0,0.2,404.0,994.0,0.41,0.4,256.0,333.0,0.77,93.0,234.0,327.0,569.0,120.0,26.0,335.0,248.0,1109.0,,2.0
1984,20,3168,NYK,New York Knicks,Ray Williams,"October 14, 1954",29.0,NBA,SG,76.0,63.0,2230.0,418.0,939.0,0.44,25.0,81.0,0.31,393.0,858.0,0.46,0.46,263.0,318.0,0.83,67.0,200.0,267.0,449.0,162.0,26.0,219.0,274.0,1124.0,,1.0
1985,2,3168,BOS,Boston Celtics,Ray Williams,"October 14, 1954",30.0,NBA,PG,23.0,5.0,459.0,55.0,143.0,0.38,6.0,23.0,0.26,49.0,120.0,0.41,0.41,31.0,46.0,0.67,16.0,41.0,57.0,90.0,30.0,5.0,42.0,56.0,147.0,,0.0
1986,31,3168,TOT,Total After Trade,Ray Williams,"October 14, 1954",31.0,NBA,PG,47.0,21.0,827.0,117.0,306.0,0.38,6.0,19.0,0.32,111.0,287.0,0.39,0.39,115.0,126.0,0.91,35.0,51.0,86.0,187.0,61.0,4.0,101.0,124.0,355.0,,0.0
1986,1,3168,ATL,Atlanta Hawks,Ray Williams,"October 14, 1954",31.0,NBA,PG,19.0,13.0,367.0,57.0,143.0,0.4,4.0,11.0,0.36,53.0,132.0,0.4,0.41,41.0,48.0,0.85,19.0,26.0,45.0,67.0,28.0,1.0,41.0,48.0,159.0,,0.0
1986,27,3168,SAS,San Antonio Spurs,Ray Williams,"October 14, 1954",31.0,NBA,PG,23.0,8.0,397.0,50.0,131.0,0.38,2.0,6.0,0.33,48.0,125.0,0.38,0.39,62.0,64.0,0.97,13.0,24.0,37.0,111.0,28.0,3.0,51.0,64.0,164.0,,0.0
1986,3,3168,NJN,New Jersey Nets,Ray Williams,"October 14, 1954",31.0,NBA,PG,5.0,0.0,63.0,10.0,32.0,0.31,0.0,2.0,0.0,10.0,30.0,0.33,0.31,12.0,14.0,0.86,3.0,1.0,4.0,9.0,5.0,0.0,9.0,12.0,32.0,,0.0
1987,3,3168,NJN,New Jersey Nets,Ray Williams,"October 14, 1954",32.0,NBA,PG,32.0,14.0,800.0,131.0,290.0,0.45,7.0,28.0,0.25,124.0,262.0,0.47,0.46,49.0,60.0,0.82,26.0,49.0,75.0,185.0,38.0,9.0,94.0,111.0,318.0,,0.0
