Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1992,8,2097,DEN,Denver Nuggets,Dikembe Mutombo,"June 25, 1966",25.0,NBA,C,71.0,71.0,2716.0,428.0,869.0,0.49,0.0,0.0,,428.0,869.0,0.49,0.49,321.0,500.0,0.64,316.0,554.0,870.0,156.0,43.0,210.0,252.0,273.0,1177.0,0.0
1993,8,2097,DEN,Denver Nuggets,Dikembe Mutombo,"June 25, 1966",26.0,NBA,C,82.0,82.0,3029.0,398.0,781.0,0.51,0.0,0.0,,398.0,781.0,0.51,0.51,335.0,492.0,0.68,344.0,726.0,1070.0,147.0,43.0,287.0,216.0,284.0,1131.0,2.0
1994,8,2097,DEN,Denver Nuggets,Dikembe Mutombo,"June 25, 1966",27.0,NBA,C,82.0,82.0,2853.0,365.0,642.0,0.57,0.0,1.0,0.0,365.0,641.0,0.57,0.57,256.0,439.0,0.58,286.0,685.0,971.0,127.0,59.0,336.0,206.0,262.0,986.0,3.0
1995,8,2097,DEN,Denver Nuggets,Dikembe Mutombo,"June 25, 1966",28.0,NBA,C,82.0,82.0,3100.0,349.0,628.0,0.56,0.0,0.0,,349.0,628.0,0.56,0.56,248.0,379.0,0.65,319.0,710.0,1029.0,113.0,40.0,321.0,192.0,284.0,946.0,2.0
1996,8,2097,DEN,Denver Nuggets,Dikembe Mutombo,"June 25, 1966",29.0,NBA,C,74.0,74.0,2713.0,284.0,569.0,0.5,0.0,1.0,0.0,284.0,568.0,0.5,0.5,246.0,354.0,0.7,249.0,622.0,871.0,108.0,38.0,332.0,150.0,258.0,814.0,1.0
1997,1,2097,ATL,Atlanta Hawks,Dikembe Mutombo,"June 25, 1966",30.0,NBA,C,80.0,80.0,2973.0,380.0,721.0,0.53,0.0,0.0,,380.0,721.0,0.53,0.53,306.0,434.0,0.7,268.0,661.0,929.0,110.0,49.0,264.0,186.0,249.0,1066.0,0.0
1998,1,2097,ATL,Atlanta Hawks,Dikembe Mutombo,"June 25, 1966",31.0,NBA,C,82.0,82.0,2917.0,399.0,743.0,0.54,0.0,0.0,,399.0,743.0,0.54,0.54,303.0,452.0,0.67,276.0,656.0,932.0,82.0,34.0,277.0,168.0,254.0,1101.0,0.0
1999,1,2097,ATL,Atlanta Hawks,Dikembe Mutombo,"June 25, 1966",32.0,NBA,C,50.0,50.0,1829.0,173.0,338.0,0.51,0.0,0.0,,173.0,338.0,0.51,0.51,195.0,285.0,0.68,192.0,418.0,610.0,57.0,16.0,147.0,94.0,145.0,541.0,0.0
2000,1,2097,ATL,Atlanta Hawks,Dikembe Mutombo,"June 25, 1966",33.0,NBA,C,82.0,82.0,2984.0,322.0,573.0,0.56,0.0,0.0,,322.0,573.0,0.56,0.56,298.0,421.0,0.71,304.0,853.0,1157.0,105.0,27.0,269.0,174.0,248.0,942.0,1.0
2001,31,2097,TOT,Total After Trade,Dikembe Mutombo,"June 25, 1966",34.0,NBA,C,75.0,75.0,2591.0,269.0,556.0,0.48,0.0,0.0,,269.0,556.0,0.48,0.48,211.0,291.0,0.72,307.0,708.0,1015.0,76.0,29.0,203.0,144.0,204.0,749.0,0.0
2001,1,2097,ATL,Atlanta Hawks,Dikembe Mutombo,"June 25, 1966",34.0,NBA,C,49.0,49.0,1716.0,169.0,354.0,0.48,0.0,0.0,,169.0,354.0,0.48,0.48,107.0,154.0,0.7,188.0,505.0,693.0,54.0,20.0,137.0,92.0,139.0,445.0,0.0
2001,23,2097,PHI,Philadelphia 76Ers,Dikembe Mutombo,"June 25, 1966",34.0,NBA,C,26.0,26.0,875.0,100.0,202.0,0.5,0.0,0.0,,100.0,202.0,0.5,0.5,104.0,137.0,0.76,119.0,203.0,322.0,22.0,9.0,66.0,52.0,65.0,304.0,0.0
2002,23,2097,PHI,Philadelphia 76Ers,Dikembe Mutombo,"June 25, 1966",35.0,NBA,C,80.0,80.0,2907.0,321.0,641.0,0.5,0.0,0.0,,321.0,641.0,0.5,0.5,278.0,364.0,0.76,254.0,609.0,863.0,83.0,29.0,190.0,156.0,242.0,920.0,1.0
2003,3,2097,NJN,New Jersey Nets,Dikembe Mutombo,"June 25, 1966",36.0,NBA,C,24.0,16.0,514.0,49.0,131.0,0.37,0.0,0.0,,49.0,131.0,0.37,0.37,40.0,55.0,0.73,54.0,99.0,153.0,19.0,4.0,37.0,34.0,54.0,138.0,0.0
2004,20,2097,NYK,New York Knicks,Dikembe Mutombo,"June 25, 1966",37.0,NBA,C,65.0,56.0,1494.0,141.0,295.0,0.48,0.0,0.0,,141.0,295.0,0.48,0.48,81.0,119.0,0.68,145.0,292.0,437.0,25.0,17.0,123.0,54.0,141.0,363.0,0.0
2005,11,2097,HOU,Houston Rockets,Dikembe Mutombo,"June 25, 1966",38.0,NBA,C,80.0,2.0,1212.0,108.0,217.0,0.5,0.0,0.0,,108.0,217.0,0.5,0.5,106.0,143.0,0.74,150.0,276.0,426.0,10.0,16.0,101.0,51.0,135.0,322.0,0.0
2006,11,2097,HOU,Houston Rockets,Dikembe Mutombo,"June 25, 1966",39.0,NBA,C,64.0,23.0,955.0,50.0,95.0,0.53,0.0,0.0,,50.0,95.0,0.53,0.53,69.0,91.0,0.76,100.0,206.0,306.0,4.0,17.0,57.0,35.0,128.0,169.0,0.0
2007,11,2097,HOU,Houston Rockets,Dikembe Mutombo,"June 25, 1966",40.0,NBA,C,75.0,33.0,1289.0,85.0,153.0,0.56,0.0,0.0,,85.0,153.0,0.56,0.56,60.0,87.0,0.69,164.0,324.0,488.0,13.0,22.0,76.0,38.0,156.0,230.0,0.0
2008,11,2097,HOU,Houston Rockets,Dikembe Mutombo,"June 25, 1966",41.0,NBA,C,39.0,25.0,619.0,43.0,80.0,0.54,0.0,0.0,,43.0,80.0,0.54,0.54,32.0,45.0,0.71,68.0,131.0,199.0,5.0,11.0,48.0,17.0,55.0,118.0,0.0
2009,11,2097,HOU,Houston Rockets,Dikembe Mutombo,"June 25, 1966",42.0,NBA,C,9.0,2.0,96.0,5.0,13.0,0.38,0.0,0.0,,5.0,13.0,0.38,0.38,6.0,9.0,0.67,12.0,21.0,33.0,0.0,0.0,11.0,6.0,11.0,16.0,0.0
