Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1991-92,25.0,DEN,NBA,C,71.0,71.0,2716.0,428.0,869.0,0.493,0.0,0.0,,428.0,869.0,0.493,0.493,321.0,500.0,0.642,316.0,554.0,870.0,156.0,43.0,210.0,252.0,273.0,1177.0,,0.0
1992-93,26.0,DEN,NBA,C,82.0,82.0,3029.0,398.0,781.0,0.51,0.0,0.0,,398.0,781.0,0.51,0.51,335.0,492.0,0.681,344.0,726.0,1070.0,147.0,43.0,287.0,216.0,284.0,1131.0,,2.0
1993-94,27.0,DEN,NBA,C,82.0,82.0,2853.0,365.0,642.0,0.569,0.0,1.0,0.0,365.0,641.0,0.569,0.569,256.0,439.0,0.583,286.0,685.0,971.0,127.0,59.0,336.0,206.0,262.0,986.0,,3.0
1994-95,28.0,DEN,NBA,C,82.0,82.0,3100.0,349.0,628.0,0.556,0.0,0.0,,349.0,628.0,0.556,0.556,248.0,379.0,0.654,319.0,710.0,1029.0,113.0,40.0,321.0,192.0,284.0,946.0,,2.0
1995-96,29.0,DEN,NBA,C,74.0,74.0,2713.0,284.0,569.0,0.499,0.0,1.0,0.0,284.0,568.0,0.5,0.499,246.0,354.0,0.695,249.0,622.0,871.0,108.0,38.0,332.0,150.0,258.0,814.0,,1.0
1996-97,30.0,ATL,NBA,C,80.0,80.0,2973.0,380.0,721.0,0.527,0.0,0.0,,380.0,721.0,0.527,0.527,306.0,434.0,0.705,268.0,661.0,929.0,110.0,49.0,264.0,186.0,249.0,1066.0,,0.0
1997-98,31.0,ATL,NBA,C,82.0,82.0,2917.0,399.0,743.0,0.537,0.0,0.0,,399.0,743.0,0.537,0.537,303.0,452.0,0.67,276.0,656.0,932.0,82.0,34.0,277.0,168.0,254.0,1101.0,,0.0
1998-99,32.0,ATL,NBA,C,50.0,50.0,1829.0,173.0,338.0,0.512,0.0,0.0,,173.0,338.0,0.512,0.512,195.0,285.0,0.684,192.0,418.0,610.0,57.0,16.0,147.0,94.0,145.0,541.0,,0.0
1999-00,33.0,ATL,NBA,C,82.0,82.0,2984.0,322.0,573.0,0.562,0.0,0.0,,322.0,573.0,0.562,0.562,298.0,421.0,0.708,304.0,853.0,1157.0,105.0,27.0,269.0,174.0,248.0,942.0,,1.0
2000-01,34.0,TOT,NBA,C,75.0,75.0,2591.0,269.0,556.0,0.484,0.0,0.0,,269.0,556.0,0.484,0.484,211.0,291.0,0.725,307.0,708.0,1015.0,76.0,29.0,203.0,144.0,204.0,749.0,,0.0
2000-01,34.0,ATL,NBA,C,49.0,49.0,1716.0,169.0,354.0,0.477,0.0,0.0,,169.0,354.0,0.477,0.477,107.0,154.0,0.695,188.0,505.0,693.0,54.0,20.0,137.0,92.0,139.0,445.0,,0.0
2000-01,34.0,PHI,NBA,C,26.0,26.0,875.0,100.0,202.0,0.495,0.0,0.0,,100.0,202.0,0.495,0.495,104.0,137.0,0.759,119.0,203.0,322.0,22.0,9.0,66.0,52.0,65.0,304.0,,0.0
2001-02,35.0,PHI,NBA,C,80.0,80.0,2907.0,321.0,641.0,0.501,0.0,0.0,,321.0,641.0,0.501,0.501,278.0,364.0,0.764,254.0,609.0,863.0,83.0,29.0,190.0,156.0,242.0,920.0,,1.0
2002-03,36.0,NJN,NBA,C,24.0,16.0,514.0,49.0,131.0,0.374,0.0,0.0,,49.0,131.0,0.374,0.374,40.0,55.0,0.727,54.0,99.0,153.0,19.0,4.0,37.0,34.0,54.0,138.0,,0.0
2003-04,37.0,NYK,NBA,C,65.0,56.0,1494.0,141.0,295.0,0.478,0.0,0.0,,141.0,295.0,0.478,0.478,81.0,119.0,0.681,145.0,292.0,437.0,25.0,17.0,123.0,54.0,141.0,363.0,,0.0
2004-05,38.0,HOU,NBA,C,80.0,2.0,1212.0,108.0,217.0,0.498,0.0,0.0,,108.0,217.0,0.498,0.498,106.0,143.0,0.741,150.0,276.0,426.0,10.0,16.0,101.0,51.0,135.0,322.0,,0.0
2005-06,39.0,HOU,NBA,C,64.0,23.0,955.0,50.0,95.0,0.526,0.0,0.0,,50.0,95.0,0.526,0.526,69.0,91.0,0.758,100.0,206.0,306.0,4.0,17.0,57.0,35.0,128.0,169.0,,0.0
2006-07,40.0,HOU,NBA,C,75.0,33.0,1289.0,85.0,153.0,0.556,0.0,0.0,,85.0,153.0,0.556,0.556,60.0,87.0,0.69,164.0,324.0,488.0,13.0,22.0,76.0,38.0,156.0,230.0,,0.0
2007-08,41.0,HOU,NBA,C,39.0,25.0,619.0,43.0,80.0,0.538,0.0,0.0,,43.0,80.0,0.538,0.538,32.0,45.0,0.711,68.0,131.0,199.0,5.0,11.0,48.0,17.0,55.0,118.0,,0.0
2008-09,42.0,HOU,NBA,C,9.0,2.0,96.0,5.0,13.0,0.385,0.0,0.0,,5.0,13.0,0.385,0.385,6.0,9.0,0.667,12.0,21.0,33.0,0.0,0.0,11.0,6.0,11.0,16.0,,0.0
