Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2009,23,333,PHI,Philadelphia 76Ers,42,Elton Brand,PF,6-8,275,"March 11, 1979",US,9,Duke
2009,23,660,PHI,Philadelphia 76Ers,1,Samuel Dalembert,C,6-11,255,"May 10, 1981",HT,6,Seton Hall
2009,23,880,PHI,Philadelphia 76Ers,30,Reggie Evans,PF,6-8,245,"May 18, 1980",US,6,Iowa
2009,23,1116,PHI,Philadelphia 76Ers,33,Willie Green,SG,6-4,200,"July 28, 1981",US,5,Detroit Mercy
2009,23,1377,PHI,Philadelphia 76Ers,9,Andre Iguodala,SF,6-6,215,"January 28, 1984",US,4,Arizona
2009,23,1392,PHI,Philadelphia 76Ers,12,Royal Ivey,SG,6-3,200,"December 20, 1981",US,4,Texas
2009,23,1844,PHI,Philadelphia 76Ers,8,Donyell Marshall,PF,6-9,218,"May 18, 1973",US,14,UConn
2009,23,1989,PHI,Philadelphia 76Ers,7,Andre Miller,PG,6-3,200,"March 19, 1976",US,9,Utah
2009,23,2403,PHI,Philadelphia 76Ers,50,Theo Ratliff,C,6-10,225,"April 17, 1973",US,13,Wyoming
2009,23,2534,PHI,Philadelphia 76Ers,4,Kareem Rush,SG,6-6,215,"October 30, 1980",US,5,Missouri
2009,23,2727,PHI,Philadelphia 76Ers,16,Marreese Speights,C,6-10,255,"August 4, 1987",US,R,Florida
2009,23,3162,PHI,Philadelphia 76Ers,23,Lou Williams,SG,6-1,175,"October 27, 1986",US,3,
2009,23,3267,PHI,Philadelphia 76Ers,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",US,1,Georgia Tech
