Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2017,OKC,Russell Westbrook,1,888.0,1010,0.879,MVP
2017,HOU,James Harden,2,753.0,1010,0.746,MVP
2017,SAS,Kawhi Leonard,3,500.0,1010,0.495,MVP
2017,CLE,LeBron James,4,333.0,1010,0.33,MVP
2017,BOS,Isaiah Thomas,5,81.0,1010,0.08,MVP
2017,GSW,Stephen Curry,6,52.0,1010,0.051,MVP
2017,MIL,Giannis Antetokounmpo,7T,7.0,1010,0.007,MVP
2017,WAS,John Wall,7T,7.0,1010,0.007,MVP
2017,NOP,Anthony Davis,9T,2.0,1010,0.002,MVP
2017,GSW,Kevin Durant,9T,2.0,1010,0.002,MVP
2017,TOR,DeMar DeRozan,11,1.0,1010,0.001,MVP
