Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1986,1,190,ATL,Atlanta Hawks,John Battle,1962-11-09,23.0,NBA,SG,64.0,639.0,11.7,0.52,0.03,0.46,2.1,8.6,5.3,16.3,1.7,0.3,15.0,20.1,0.4,0.6,1.0,0.07,-2.1,0.2,-1.9,0.0
1987,1,190,ATL,Atlanta Hawks,John Battle,1962-11-09,24.0,NBA,SG,64.0,804.0,13.8,0.51,0.03,0.4,2.2,5.9,4.0,22.3,1.8,0.4,13.9,22.0,0.7,0.8,1.5,0.09,-0.6,-0.1,-0.8,0.3
1988,1,190,ATL,Atlanta Hawks,John Battle,1962-11-09,25.0,NBA,SG,67.0,1227.0,16.3,0.51,0.07,0.31,2.3,7.9,5.1,20.0,1.3,0.2,9.7,26.4,1.5,0.8,2.3,0.09,1.4,-1.0,0.4,0.7
1989,1,190,ATL,Atlanta Hawks,John Battle,1962-11-09,26.0,NBA,SG,82.0,1672.0,13.5,0.53,0.05,0.38,1.9,7.3,4.6,17.1,1.2,0.3,12.4,20.4,2.2,1.0,3.2,0.09,-0.3,-0.9,-1.1,0.4
1990,1,190,ATL,Atlanta Hawks,John Battle,1962-11-09,27.0,NBA,SG,60.0,1477.0,12.6,0.54,0.02,0.25,2.1,5.8,3.9,15.3,0.9,0.1,12.9,19.7,1.7,0.0,1.7,0.06,-0.8,-2.3,-3.1,-0.4
1991,1,190,ATL,Atlanta Hawks,John Battle,1962-11-09,28.0,NBA,SG,79.0,1863.0,16.4,0.54,0.06,0.37,1.9,7.6,4.7,18.4,1.2,0.2,10.1,24.7,3.4,0.6,4.0,0.1,0.7,-1.6,-0.9,0.5
1992,6,190,CLE,Cleveland Cavaliers,John Battle,1962-11-09,29.0,NBA,SG,76.0,1637.0,12.6,0.53,0.03,0.26,1.3,6.1,3.8,14.5,1.1,0.2,11.0,22.0,1.3,0.7,2.0,0.06,-2.0,-1.8,-3.8,-0.8
1993,6,190,CLE,Cleveland Cavaliers,John Battle,1962-11-09,30.0,NBA,SG,41.0,497.0,11.1,0.48,0.03,0.36,1.0,5.5,3.3,15.6,0.9,0.6,8.7,22.6,0.1,0.3,0.5,0.05,-3.2,-1.6,-4.8,-0.4
1994,6,190,CLE,Cleveland Cavaliers,John Battle,1962-11-09,31.0,NBA,SG,51.0,814.0,12.2,0.54,0.07,0.36,1.0,4.6,2.8,16.2,1.4,0.1,11.5,19.6,0.9,0.5,1.4,0.08,-1.6,-1.1,-2.7,-0.1
1995,6,190,CLE,Cleveland Cavaliers,John Battle,1962-11-09,32.0,NBA,SG,28.0,280.0,10.8,0.46,0.27,0.23,1.3,3.7,2.5,24.6,1.6,0.3,11.9,24.4,0.0,0.3,0.2,0.04,-2.3,-1.1,-3.4,-0.1
