Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017,9,DET,Detroit Pistons,Tobias Harris,24.0,82,48.0,2567,511,1063,0.48,109,314,0.35,402,749,0.54,0.53,190,226,0.84,63,353,416,142,60,39,96,133,1321
2017,9,DET,Detroit Pistons,Marcus Morris,27.0,79,79.0,2565,421,1007,0.42,118,357,0.33,303,650,0.47,0.48,145,185,0.78,77,289,366,160,52,25,87,168,1105
2017,9,DET,Detroit Pistons,Kentavious Caldwell-Pope,23.0,76,75.0,2529,370,928,0.4,153,437,0.35,217,491,0.44,0.48,154,185,0.83,55,193,248,193,89,12,86,118,1047
2017,9,DET,Detroit Pistons,Andre Drummond,23.0,81,81.0,2409,483,911,0.53,2,7,0.29,481,904,0.53,0.53,137,355,0.39,345,770,1115,90,124,89,152,237,1105
2017,9,DET,Detroit Pistons,Ish Smith,28.0,81,32.0,1955,329,749,0.44,28,105,0.27,301,644,0.47,0.46,72,102,0.71,21,214,235,418,61,33,112,127,758
2017,9,DET,Detroit Pistons,Jon Leuer,27.0,75,34.0,1944,310,646,0.48,49,167,0.29,261,479,0.55,0.52,98,113,0.87,102,300,402,111,31,26,66,145,767
2017,9,DET,Detroit Pistons,Reggie Jackson,26.0,52,50.0,1424,284,677,0.42,66,184,0.36,218,493,0.44,0.47,118,136,0.87,21,93,114,270,35,5,114,129,752
2017,9,DET,Detroit Pistons,Stanley Johnson,20.0,77,1.0,1371,129,365,0.35,45,154,0.29,84,211,0.4,0.42,36,53,0.68,36,153,189,105,56,24,71,121,339
2017,9,DET,Detroit Pistons,Aron Baynes,30.0,75,2.0,1163,143,279,0.51,0,0,,143,279,0.51,0.51,79,94,0.84,111,222,333,32,17,39,50,166,365
2017,9,DET,Detroit Pistons,Beno Udrih,34.0,39,0.0,560,92,197,0.47,11,32,0.34,81,165,0.49,0.5,32,34,0.94,6,51,57,131,13,0,36,29,227
2017,9,DET,Detroit Pistons,Reggie Bullock,25.0,31,5.0,467,54,128,0.42,28,73,0.38,26,55,0.47,0.53,5,7,0.71,13,51,64,29,18,3,10,22,141
2017,9,DET,Detroit Pistons,Darrun Hilliard,23.0,39,1.0,381,47,126,0.37,12,46,0.26,35,80,0.44,0.42,21,28,0.75,2,31,33,33,11,2,28,39,127
2017,9,DET,Detroit Pistons,Boban Marjanovic,28.0,35,0.0,293,72,132,0.55,0,0,,72,132,0.55,0.55,47,58,0.81,46,84,130,9,6,12,10,25,191
2017,9,DET,Detroit Pistons,Henry Ellenson,20.0,19,2.0,146,23,64,0.36,10,35,0.29,13,29,0.45,0.44,4,8,0.5,8,33,41,7,1,1,14,6,60
2017,9,DET,Detroit Pistons,Michael Gbinije,24.0,9,0.0,32,1,10,0.1,0,4,0.0,1,6,0.17,0.1,2,2,1.0,2,1,3,2,0,0,0,2,4
2017,9,DET,Detroit Pistons,Team Totals,,82,,19805,3269,7282,0.45,631,1915,0.33,2638,5367,0.49,0.49,1140,1586,0.72,908,2838,3746,1732,574,310,973,1467,8309
