Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007,22,1338,ORL,Orlando Magic,21.0,NBA,C,4.0,167.0,15.3,0.54,0.0,0.79,11.6,30.3,21.1,7.2,0.7,2.0,23.1,21.2,-0.1,0.1,0.0,0.01,-0.5,-0.8,-1.3,0.0
2008,22,1338,ORL,Orlando Magic,22.0,NBA,C,10.0,421.0,23.2,0.59,0.0,0.67,17.0,26.9,22.0,3.8,1.0,6.0,16.6,21.8,0.8,0.7,1.5,0.17,2.1,0.8,2.9,0.5
2009,22,1338,ORL,Orlando Magic,23.0,NBA,C,23.0,903.0,25.5,0.63,0.01,0.85,13.8,35.1,24.5,9.0,1.2,5.3,15.4,23.3,2.6,1.9,4.5,0.24,3.2,3.0,6.2,1.8
2010,22,1338,ORL,Orlando Magic,24.0,NBA,C,14.0,497.0,22.2,0.61,0.0,1.13,9.9,28.3,19.4,7.6,1.2,8.1,19.6,25.9,0.5,1.5,1.9,0.18,0.4,3.3,3.8,0.7
2011,22,1338,ORL,Orlando Magic,25.0,NBA,C,6.0,258.0,26.1,0.68,0.01,1.09,12.3,30.8,21.4,2.6,0.9,3.4,21.6,28.2,0.7,0.6,1.3,0.24,3.3,1.7,5.0,0.5
2013,14,1338,LAL,Los Angeles Lakers,27.0,NBA,C,4.0,126.0,19.0,0.59,0.0,0.86,9.1,31.2,19.9,6.2,0.8,4.5,21.7,27.4,0.0,0.1,0.0,0.02,-1.5,0.9,-0.6,0.0
2014,11,1338,HOU,Houston Rockets,28.0,NBA,C,6.0,231.0,27.2,0.58,0.0,0.6,12.5,26.9,19.5,8.5,0.9,6.0,12.4,28.2,0.7,0.2,0.9,0.18,4.3,1.5,5.7,0.4
2015,11,1338,HOU,Houston Rockets,29.0,NBA,C,17.0,574.0,20.4,0.55,0.0,0.91,11.3,31.4,21.5,5.9,1.9,5.4,12.7,21.2,0.6,0.9,1.5,0.13,1.2,1.2,2.4,0.6
2016,11,1338,HOU,Houston Rockets,30.0,NBA,C,5.0,180.0,15.7,0.51,0.02,0.79,14.4,27.4,20.5,8.2,1.1,3.4,15.6,17.5,0.0,0.1,0.2,0.05,0.4,-0.9,-0.4,0.1
2017,1,1338,ATL,Atlanta Hawks,31.0,NBA,C,6.0,157.0,13.9,0.54,0.0,0.53,12.8,33.0,22.8,7.6,1.9,2.5,19.9,14.9,0.0,0.3,0.4,0.11,-2.5,1.5,-1.0,0.0
2020,14,1338,LAL,Los Angeles Lakers,34.0,NBA,C,18.0,282.0,15.7,0.68,0.04,0.79,13.5,21.2,17.4,4.5,1.4,2.8,17.2,14.3,0.6,0.4,1.0,0.16,-2.3,0.3,-2.1,0.0
