SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,25,POR,Damian Lillard,22,82,82,3167,6.3,14.6,0.43,2.1,5.7,0.37,4.2,8.9,0.47,3.1,3.6,0.84,0.5,2.4,2.9,6.0,0.8,0.2,2.8,2.0,17.8
2013,25,POR,Nicolas Batum,24,73,73,2807,4.5,10.7,0.42,2.1,5.7,0.37,2.4,5.0,0.48,2.3,2.7,0.85,1.2,4.0,5.3,4.6,1.2,1.1,2.4,1.8,13.4
2013,25,POR,LaMarcus Aldridge,27,74,74,2790,8.2,17.0,0.48,0.0,0.2,0.14,8.2,16.8,0.49,3.6,4.5,0.81,2.3,6.4,8.6,2.5,0.8,1.2,1.8,2.4,20.1
2013,25,POR,Wesley Matthews,26,69,69,2403,5.3,12.1,0.44,2.5,6.4,0.4,2.7,5.7,0.48,2.2,2.8,0.8,0.5,2.3,2.9,2.6,1.3,0.3,1.6,2.6,15.3
2013,25,POR,J.J. Hickson,24,80,80,2323,6.5,11.5,0.56,0.0,0.0,0.0,6.5,11.5,0.56,2.8,4.2,0.68,4.1,8.7,12.8,1.4,0.7,0.8,2.2,2.5,15.8
2013,25,POR,Meyers Leonard,20,69,9,1206,4.5,8.3,0.55,0.1,0.2,0.43,4.4,8.1,0.55,2.1,2.7,0.81,2.4,5.2,7.6,1.0,0.3,1.1,1.5,5.0,11.3
2013,25,POR,Will Barton,22,73,5,894,4.8,12.4,0.38,0.4,2.6,0.14,4.4,9.8,0.45,2.0,2.6,0.77,1.4,4.4,5.8,2.3,1.4,0.4,2.4,2.3,11.9
2013,25,POR,Victor Claver,24,49,16,812,3.3,8.4,0.39,1.1,3.9,0.29,2.2,4.5,0.48,0.6,1.3,0.47,1.4,3.9,5.3,1.9,1.2,0.5,1.9,3.3,8.3
2013,25,POR,Luke Babbitt,23,62,0,730,4.2,11.5,0.37,3.1,8.8,0.35,1.2,2.8,0.43,0.5,0.6,0.77,0.7,6.0,6.8,1.4,0.7,0.2,1.1,4.0,12.0
2013,25,POR,Eric Maynor,25,27,0,572,4.4,10.4,0.42,1.2,3.1,0.38,3.2,7.3,0.44,1.8,2.6,0.68,0.3,1.5,1.8,6.9,0.8,0.1,3.0,2.3,11.8
2013,25,POR,Sasha PavloviA,29,39,1,528,2.9,8.1,0.35,1.2,4.1,0.3,1.6,4.0,0.41,0.1,0.4,0.17,0.5,3.3,3.8,2.2,1.6,0.3,1.0,4.0,7.0
2013,25,POR,Ronnie Price,29,39,0,510,2.8,8.5,0.32,0.7,2.8,0.26,2.0,5.7,0.36,1.2,1.7,0.71,0.9,2.2,3.1,5.2,1.8,0.2,2.4,4.3,7.4
2013,25,POR,Joel Freeland,25,51,1,477,4.4,10.7,0.41,0.0,0.0,,4.4,10.7,0.41,1.4,2.0,0.67,3.0,6.0,9.0,1.0,1.0,0.8,1.4,5.1,10.1
2013,25,POR,Jared Jeffries,31,38,0,350,1.6,5.6,0.3,0.0,0.2,0.0,1.6,5.3,0.31,1.2,2.4,0.52,2.7,3.5,6.2,1.4,0.6,0.6,1.7,6.0,4.5
2013,25,POR,Nolan Smith,24,40,0,288,5.2,14.2,0.37,0.7,3.5,0.21,4.5,10.7,0.42,2.5,3.5,0.71,0.9,2.5,3.4,4.4,0.9,0.1,3.6,3.2,13.7
