Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,24.0,SAS,NBA,SG,79.0,,1246.0,7.3,16.3,0.448,0.4,1.5,0.286,6.9,14.9,0.464,2.0,3.0,0.682,1.0,2.7,3.8,8.1,2.1,0.3,4.5,6.8,17.1,,94.0,110.0
1981,25.0,MIL,NBA,PG,71.0,,911.0,6.8,14.8,0.46,0.1,0.7,0.143,6.7,14.1,0.477,2.5,3.3,0.781,1.1,3.3,4.4,8.5,1.7,0.2,3.7,5.8,16.3,,103.0,105.0
1982,26.0,TOT,NBA,PG,22.0,0.0,270.0,6.2,15.3,0.407,0.0,1.1,0.0,6.2,14.2,0.438,2.3,3.6,0.65,0.9,3.0,3.9,7.5,2.3,0.0,4.6,6.4,14.8,,86.0,107.0
1982,26.0,MIL,NBA,PG,14.0,0.0,196.0,5.9,12.5,0.471,0.0,0.5,0.0,5.9,12.0,0.49,2.0,2.9,0.667,0.7,2.2,2.9,5.4,2.2,0.0,3.7,6.4,13.7,,94.0,105.0
1982,26.0,CLE,NBA,PG,8.0,0.0,74.0,7.2,22.9,0.314,0.0,2.6,0.0,7.2,20.3,0.355,3.3,5.2,0.625,1.3,5.2,6.5,13.1,2.6,0.0,7.2,6.5,17.6,,76.0,110.0
1983,27.0,DEN,NBA,SG,42.0,5.0,695.0,7.1,15.0,0.473,0.0,0.6,0.0,7.1,14.4,0.491,2.0,2.5,0.805,0.2,3.3,3.6,7.0,1.4,0.2,4.4,5.8,16.2,,93.0,112.0
1984,28.0,DEN,NBA,PG,78.0,5.0,1687.0,6.3,14.5,0.431,0.8,2.3,0.36,5.4,12.2,0.444,2.9,3.4,0.847,0.6,3.0,3.6,7.4,1.6,0.1,3.0,4.5,16.2,,102.0,114.0
1985,29.0,DEN,NBA,SG,81.0,0.0,1437.0,10.0,20.5,0.489,1.8,4.9,0.363,8.3,15.6,0.528,3.5,4.1,0.863,0.8,2.9,3.7,7.2,2.0,0.4,4.0,5.4,25.3,,109.0,110.0
1986,30.0,DEN,NBA,PG,81.0,1.0,1389.0,9.8,23.2,0.425,1.3,5.7,0.222,8.6,17.5,0.492,4.1,4.8,0.846,1.0,2.3,3.3,5.7,2.0,0.0,4.0,5.1,25.0,,98.0,109.0
1987,31.0,DEN,NBA,SG,81.0,4.0,1567.0,9.6,21.0,0.458,1.5,4.9,0.314,8.1,16.2,0.502,2.8,3.5,0.78,1.0,2.7,3.7,5.3,2.3,0.3,3.1,4.3,23.6,,104.0,112.0
1988,32.0,DEN,NBA,PG,56.0,0.0,656.0,9.6,21.3,0.453,2.5,6.3,0.396,7.1,15.0,0.477,2.1,2.6,0.811,0.6,2.7,3.3,5.6,2.4,0.4,3.0,5.4,23.9,,105.0,108.0
