SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,5,CHI,Michael Jordan,22,3,3,135,48,95,0.5,1,1,1.0,47,94,0.5,0.51,34,39,0.87,5,14,19,17,7,4,14,13,131
1986,5,CHI,Orlando Woolridge,26,3,3,135,25,62,0.4,0,1,0.0,25,61,0.41,0.4,13,15,0.87,6,8,14,4,3,1,4,12,63
1986,5,CHI,Dave Corzine,29,3,3,103,16,29,0.55,0,0,,16,29,0.55,0.55,4,4,1.0,6,21,27,6,1,2,6,12,36
1986,5,CHI,Charles Oakley,22,3,3,88,11,21,0.52,0,0,,11,21,0.52,0.52,8,13,0.62,10,20,30,3,6,2,5,13,30
1986,5,CHI,Kyle Macy,28,3,3,87,5,14,0.36,1,4,0.25,4,10,0.4,0.39,1,1,1.0,2,2,4,10,2,0,1,9,12
1986,5,CHI,John Paxson,25,3,0,80,7,15,0.47,0,0,,7,15,0.47,0.47,13,17,0.76,0,0,0,5,3,0,3,9,27
1986,5,CHI,Gene Banks,26,3,0,69,10,18,0.56,0,2,0.0,10,16,0.62,0.56,2,4,0.5,4,6,10,5,1,0,4,10,22
1986,5,CHI,Sidney Green,25,3,0,53,6,20,0.3,0,0,,6,20,0.3,0.3,6,12,0.5,7,5,12,0,1,1,3,9,18
1986,5,CHI,George Gervin,33,2,0,11,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,2,3,0
1986,5,CHI,Mike Smrek,23,3,0,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,1,0,2,0
1986,5,CHI,Jawann Oldham,28,1,0,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,1,0,0
