Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,5,2313,CHI,Chicago Bulls,22.0,NBA,SF,10.0,6.0,294.0,5.6,12.1,0.46,0.4,0.7,0.5,5.3,11.4,0.46,0.6,0.9,0.71,2.9,3.4,6.4,2.9,1.0,1.0,3.2,4.0,12.2
1989,5,2313,CHI,Chicago Bulls,23.0,NBA,SF,17.0,17.0,619.0,4.9,10.6,0.46,1.3,3.3,0.39,3.6,7.3,0.49,1.9,2.9,0.64,2.0,5.5,7.5,3.9,1.3,0.9,2.4,3.7,12.9
1990,5,2313,CHI,Chicago Bulls,24.0,NBA,SF,15.0,14.0,612.0,6.1,12.4,0.5,0.6,1.8,0.32,5.5,10.5,0.52,4.2,5.9,0.71,1.9,4.4,6.4,4.9,1.8,1.1,2.9,3.6,17.0
1991,5,2313,CHI,Chicago Bulls,25.0,NBA,SF,17.0,17.0,704.0,7.3,14.4,0.5,0.2,0.9,0.24,7.1,13.6,0.52,4.1,5.2,0.79,1.9,5.8,7.7,5.1,2.1,1.0,2.8,3.0,18.8
1992,5,2313,CHI,Chicago Bulls,26.0,NBA,SF,22.0,22.0,899.0,6.1,13.0,0.47,0.2,1.0,0.25,5.8,12.1,0.48,4.7,6.2,0.76,2.4,5.4,7.7,5.9,1.6,1.0,2.8,2.9,17.1
1993,5,2313,CHI,Chicago Bulls,27.0,NBA,SF,19.0,19.0,789.0,6.9,14.9,0.46,0.1,0.8,0.18,6.8,14.1,0.48,3.4,5.3,0.64,1.7,4.3,6.0,4.9,1.9,0.6,3.2,2.8,17.4
1994,5,2313,CHI,Chicago Bulls,28.0,NBA,SF,10.0,10.0,384.0,8.0,18.4,0.43,1.1,4.2,0.27,6.8,14.2,0.48,4.3,4.9,0.88,1.6,6.2,7.8,4.3,2.3,0.7,3.5,3.1,21.4
1995,5,2313,CHI,Chicago Bulls,29.0,NBA,SF,10.0,10.0,396.0,5.3,11.9,0.44,1.3,3.5,0.37,4.0,8.5,0.47,4.4,6.5,0.68,2.2,5.6,7.8,5.3,1.3,0.9,2.5,3.6,16.2
1996,5,2313,CHI,Chicago Bulls,30.0,NBA,SF,18.0,18.0,742.0,5.4,13.9,0.39,1.5,5.1,0.29,4.0,8.8,0.45,2.5,3.9,0.64,3.0,4.4,7.4,5.2,2.3,0.8,2.0,2.5,14.8
1997,5,2313,CHI,Chicago Bulls,31.0,NBA,SF,19.0,19.0,753.0,6.2,14.8,0.42,1.9,5.4,0.34,4.3,9.4,0.46,3.3,4.1,0.79,1.7,4.4,6.2,3.4,1.3,0.9,2.6,2.3,17.5
1998,5,2313,CHI,Chicago Bulls,32.0,NBA,SF,21.0,21.0,836.0,5.3,12.7,0.42,0.8,3.4,0.23,4.5,9.3,0.48,3.9,5.8,0.68,2.1,4.3,6.5,4.7,1.9,0.9,2.2,2.8,15.2
1999,11,2313,HOU,Houston Rockets,33.0,NBA,SF,4.0,4.0,172.0,4.8,14.7,0.33,1.3,4.6,0.27,3.6,10.0,0.35,4.4,5.4,0.81,4.2,5.7,9.8,4.6,1.5,0.6,2.7,2.5,15.3
2001,25,2313,POR,Portland Trail Blazers,35.0,NBA,SF,3.0,3.0,117.0,4.9,11.7,0.42,0.9,5.2,0.18,4.0,6.5,0.62,1.8,2.8,0.67,0.6,4.6,5.2,2.2,2.5,0.6,3.7,4.3,12.6
2002,25,2313,POR,Portland Trail Blazers,36.0,NBA,SF,3.0,3.0,99.0,6.5,14.2,0.46,2.2,4.0,0.55,4.4,10.2,0.43,2.5,2.9,0.88,2.9,7.3,10.2,6.2,1.5,0.7,3.6,5.1,17.8
2003,25,2313,POR,Portland Trail Blazers,37.0,NBA,SF,4.0,1.0,75.0,4.3,10.6,0.41,1.4,4.3,0.33,2.9,6.2,0.46,1.0,1.0,1.0,1.0,4.3,5.3,6.2,0.0,0.0,3.4,3.8,11.0
