Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1984,22.0,ATL,NBA,PG,81.0,1938.0,14.9,0.553,0.022,0.601,4.2,8.9,6.5,23.7,3.3,0.9,20.3,19.1,,1.6,2.6,4.2,0.103,,-0.8,1.8,1.1,1.5
1985,23.0,ATL,NBA,PG,69.0,2126.0,18.1,0.561,0.051,0.539,3.5,7.5,5.5,27.2,3.7,1.4,16.9,20.2,,3.4,3.0,6.3,0.143,,1.2,2.5,3.7,3.1
1986,24.0,ATL,NBA,PG,53.0,1571.0,17.4,0.52,0.034,0.61,3.5,7.9,5.7,38.6,3.7,0.5,19.3,19.0,,1.9,2.2,4.2,0.128,,1.6,1.8,3.4,2.1
1987,25.0,ATL,NBA,PG,82.0,2590.0,19.9,0.553,0.028,0.582,3.5,9.0,6.2,43.0,3.3,0.7,18.6,18.6,,6.4,3.9,10.3,0.191,,3.6,2.4,6.0,5.3
1988,26.0,ATL,NBA,PG,80.0,2502.0,20.4,0.527,0.037,0.473,3.7,12.7,8.1,42.1,2.8,1.0,16.3,21.6,,5.1,3.2,8.3,0.159,,3.4,1.6,4.9,4.4
1989,27.0,ATL,NBA,PG,76.0,2462.0,18.4,0.548,0.152,0.352,3.9,8.9,6.3,30.0,3.6,1.0,14.4,18.2,,5.4,3.2,8.5,0.167,,2.4,2.4,4.8,4.2
1990,28.0,ATL,NBA,PG,48.0,1526.0,17.2,0.539,0.138,0.354,3.5,11.9,7.6,23.9,3.8,0.9,15.0,17.9,,2.5,1.5,4.0,0.126,,1.1,2.0,3.0,2.0
1991,29.0,ATL,NBA,PG,79.0,2586.0,16.2,0.527,0.257,0.257,1.9,9.0,5.3,19.5,2.8,1.1,9.9,20.1,,4.1,2.2,6.3,0.116,,1.0,1.0,1.9,2.6
1992,30.0,LAC,NBA,PG,59.0,1657.0,13.8,0.518,0.173,0.368,1.5,8.4,4.9,19.9,3.3,0.7,12.9,18.3,,1.5,2.4,3.9,0.113,,-1.7,2.2,0.5,1.1
1993,31.0,NYK,NBA,PG,77.0,1886.0,14.6,0.534,0.249,0.328,1.6,9.5,5.7,31.1,3.3,0.3,16.8,15.6,,2.4,4.1,6.5,0.166,,-0.6,3.6,3.0,2.4
1994,32.0,NYK,NBA,PG,19.0,499.0,12.9,0.523,0.409,0.173,0.9,7.8,4.4,29.7,2.6,0.7,17.5,14.5,,0.6,0.9,1.5,0.146,,-0.1,2.3,2.2,0.5
1995,33.0,TOT,NBA,PG,63.0,989.0,12.2,0.475,0.421,0.272,1.8,10.3,6.3,23.3,3.3,1.5,15.1,17.7,,0.3,1.7,2.0,0.097,,-2.0,3.0,1.0,0.8
1995,33.0,NYK,NBA,PG,3.0,47.0,16.2,0.533,0.385,0.846,5.2,16.9,11.2,25.4,4.5,0.0,18.3,21.3,,0.1,0.1,0.2,0.17,,-0.7,3.2,2.5,0.1
1995,33.0,SAS,NBA,PG,60.0,942.0,12.0,0.472,0.422,0.246,1.6,10.0,6.0,23.2,3.3,1.5,14.9,17.6,,0.3,1.5,1.8,0.094,,-2.1,3.0,0.9,0.7
1996,34.0,SAS,NBA,PG,78.0,1235.0,9.6,0.489,0.472,0.221,2.8,9.4,6.2,14.1,3.0,1.2,15.2,13.7,,0.2,2.0,2.2,0.087,,-2.9,3.1,0.2,0.7
