Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1983,26,2121,KCK,Kansas City Kings,22.0,NBA,PF,82.0,1643.0,11.6,0.61,0.0,0.46,11.2,20.7,16.0,4.4,1.9,0.4,14.6,8.1,2.6,2.1,4.7,0.14,-0.2,0.9,0.6,1.1
1984,26,2121,KCK,Kansas City Kings,23.0,NBA,PF,71.0,960.0,9.2,0.57,0.0,0.48,8.5,18.0,13.2,6.3,2.0,0.5,17.8,7.8,0.9,1.1,2.0,0.1,-2.1,1.4,-0.7,0.3
1985,26,2121,KCK,Kansas City Kings,24.0,NBA,PF,22.0,225.0,9.6,0.59,0.0,0.43,7.7,14.6,11.2,9.9,0.6,0.2,18.6,11.3,0.2,0.1,0.3,0.06,-1.1,-1.3,-2.4,0.0
1987,27,2121,SAS,San Antonio Spurs,26.0,NBA,PF,60.0,980.0,11.3,0.5,0.16,0.36,10.4,22.0,16.0,10.5,1.9,0.6,13.9,10.6,0.9,1.0,1.9,0.1,-2.2,0.4,-1.8,0.1
1988,27,2121,SAS,San Antonio Spurs,27.0,NBA,PF,68.0,837.0,9.2,0.52,0.02,0.58,10.5,18.3,14.3,6.7,1.6,0.3,16.5,7.7,0.7,0.5,1.2,0.07,-1.8,-0.6,-2.4,-0.1
1989,31,2121,TOT,Total After Trade,28.0,NBA,PF,43.0,258.0,6.0,0.38,0.06,0.25,9.6,22.9,16.5,6.3,1.3,0.2,14.9,7.3,0.0,0.4,0.4,0.07,-4.0,0.4,-3.6,-0.1
1989,5,2121,CHI,Chicago Bulls,28.0,NBA,PF,13.0,94.0,7.3,0.7,0.0,0.29,5.1,22.6,14.1,7.8,1.6,0.6,11.3,4.1,0.1,0.1,0.2,0.13,-4.2,2.0,-2.2,0.0
1989,24,2121,PHO,Phoenix Suns,28.0,NBA,PF,30.0,164.0,5.3,0.3,0.07,0.24,12.2,23.0,17.8,5.4,1.1,0.0,15.8,9.2,-0.1,0.2,0.1,0.03,-3.9,-0.5,-4.4,-0.1
1990,5,2121,CHI,Chicago Bulls,29.0,NBA,PF,46.0,503.0,11.1,0.59,0.03,0.59,10.8,21.7,16.2,6.8,1.6,0.5,16.2,8.9,0.7,0.5,1.3,0.12,-1.4,0.2,-1.2,0.1
1991,24,2121,PHO,Phoenix Suns,30.0,NBA,PF,55.0,573.0,11.3,0.54,0.16,0.39,8.8,19.4,14.4,7.6,2.0,0.4,14.3,9.4,0.6,0.8,1.5,0.12,-0.3,1.4,1.1,0.4
1992,24,2121,PHO,Phoenix Suns,31.0,NBA,PF,52.0,505.0,12.9,0.61,0.41,0.2,5.7,17.9,12.1,9.5,1.5,0.2,11.4,12.2,0.8,0.6,1.5,0.14,0.7,0.7,1.5,0.4
1993,31,2121,TOT,Total After Trade,32.0,NBA,PF,41.0,308.0,8.3,0.46,0.39,0.17,4.4,19.2,11.7,6.1,1.9,0.4,8.6,11.0,0.1,0.3,0.5,0.07,-2.9,0.2,-2.7,-0.1
1993,10,2121,GSW,Golden State Warriors,32.0,NBA,PF,30.0,229.0,7.4,0.46,0.48,0.22,3.9,19.5,11.7,7.1,1.9,0.3,9.0,9.9,0.1,0.2,0.3,0.07,-3.2,0.6,-2.6,0.0
1993,5,2121,CHI,Chicago Bulls,32.0,NBA,PF,11.0,79.0,10.9,0.48,0.22,0.09,5.6,18.1,11.7,3.4,2.0,0.8,7.7,14.2,0.0,0.1,0.2,0.09,-2.1,-0.9,-3.1,0.0
