Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2019,11,541,HOU,Houston Rockets,Gary Clark,"November 16, 1994",24.0,NBA,PF,51.0,2.0,641.0,3.8,11.6,0.33,3.1,10.6,0.3,0.7,1.0,0.69,0.5,0.5,1.0,1.8,7.0,8.9,1.4,1.5,2.0,0.5,3.6,11.3,108.0,110.0
2020,31,541,TOT,Total After Trade,Gary Clark,"November 16, 1994",25.0,NBA,"PF,SF",42.0,5.0,567.0,4.5,11.2,0.41,3.3,9.3,0.35,1.3,1.9,0.68,0.8,0.8,0.9,3.1,6.1,9.3,1.4,0.5,1.9,0.8,3.9,13.1,120.0,112.0
2020,11,541,HOU,Houston Rockets,Gary Clark,"November 16, 1994",25.0,NBA,PF,18.0,0.0,212.0,5.0,12.9,0.39,3.9,11.1,0.35,1.1,1.7,0.62,1.3,1.5,0.86,2.4,6.3,8.7,2.6,0.4,1.5,0.4,4.6,15.3,126.0,113.0
2020,22,541,ORL,Orlando Magic,Gary Clark,"November 16, 1994",25.0,NBA,SF,24.0,5.0,355.0,4.3,10.1,0.42,2.9,8.2,0.35,1.4,1.9,0.71,0.4,0.4,1.0,3.6,6.0,9.6,0.7,0.5,2.1,1.1,3.4,11.8,116.0,111.0
2021,22,541,ORL,Orlando Magic,Gary Clark,"November 16, 1994",26.0,NBA,SF,22.0,7.0,460.0,2.5,8.9,0.29,1.9,7.5,0.25,0.6,1.4,0.46,0.6,0.7,0.86,2.6,5.5,8.1,2.0,0.7,0.4,1.3,2.6,7.6,95.0,116.0
