Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2002,3,1447,NJN,New Jersey Nets,Richard Jefferson,1980-06-21,21.0,NBA,SF,20.0,0.0,441.0,6.3,13.4,0.46,0.0,0.2,0.0,6.3,13.2,0.47,3.9,7.1,0.55,1.9,9.0,10.9,2.9,1.3,1.1,3.1,4.7,16.4,94.0,102.0
2003,3,1447,NJN,New Jersey Nets,Richard Jefferson,1980-06-21,22.0,NBA,SF,20.0,20.0,711.0,8.3,17.3,0.48,0.0,0.2,0.0,8.3,17.1,0.48,4.6,6.4,0.72,2.2,7.4,9.5,3.5,1.2,0.3,3.5,5.0,21.1,101.0,100.0
2004,3,1447,NJN,New Jersey Nets,Richard Jefferson,1980-06-21,23.0,NBA,SF,11.0,11.0,460.0,7.7,18.5,0.42,1.1,3.9,0.27,6.7,14.7,0.46,9.0,12.7,0.71,1.6,6.5,8.1,4.9,1.6,0.9,5.0,4.1,25.6,99.0,95.0
2005,3,1447,NJN,New Jersey Nets,Richard Jefferson,1980-06-21,24.0,NBA,SF,4.0,1.0,140.0,7.5,18.8,0.4,0.8,3.8,0.2,6.8,15.0,0.45,7.9,11.6,0.68,3.0,5.3,8.3,3.4,1.1,0.0,3.0,5.3,23.6,101.0,115.0
2006,3,1447,NJN,New Jersey Nets,Richard Jefferson,1980-06-21,25.0,NBA,SF,11.0,11.0,437.0,11.2,20.5,0.55,1.5,3.6,0.41,9.7,16.9,0.57,6.5,7.8,0.82,0.9,4.7,5.6,5.6,1.2,0.5,3.7,4.0,30.3,117.0,109.0
2007,3,1447,NJN,New Jersey Nets,Richard Jefferson,1980-06-21,26.0,NBA,SF,12.0,12.0,489.0,9.0,18.6,0.48,1.4,4.4,0.32,7.5,14.2,0.53,6.8,7.3,0.92,0.4,7.0,7.4,3.0,1.0,0.6,3.0,2.7,26.1,110.0,101.0
2010,27,1447,SAS,San Antonio Spurs,Richard Jefferson,1980-06-21,29.0,NBA,SF,10.0,10.0,334.0,5.4,11.1,0.49,0.2,0.8,0.2,5.2,10.3,0.51,4.0,5.2,0.76,1.3,7.1,8.4,2.8,0.9,0.9,2.4,3.2,14.9,106.0,111.0
2011,27,1447,SAS,San Antonio Spurs,Richard Jefferson,1980-06-21,30.0,NBA,SF,6.0,6.0,176.0,3.6,9.3,0.39,1.8,5.1,0.35,1.8,4.2,0.43,2.7,3.3,0.82,0.6,6.9,7.5,1.5,0.9,0.9,1.8,3.9,11.7,101.0,107.0
2013,10,1447,GSW,Golden State Warriors,Richard Jefferson,1980-06-21,32.0,NBA,SF,7.0,0.0,39.0,5.2,11.8,0.44,2.6,3.9,0.67,2.6,7.9,0.33,3.9,11.8,0.33,2.6,6.5,9.2,1.3,1.3,1.3,0.0,6.5,17.0,113.0,106.0
2015,7,1447,DAL,Dallas Mavericks,Richard Jefferson,1980-06-21,34.0,NBA,SF,4.0,2.0,51.0,4.6,12.9,0.36,2.8,7.4,0.38,1.8,5.5,0.33,1.8,1.8,1.0,0.0,1.8,1.8,0.9,1.8,0.0,2.8,8.3,13.9,90.0,114.0
2016,6,1447,CLE,Cleveland Cavaliers,Richard Jefferson,1980-06-21,35.0,NBA,SF,21.0,2.0,381.0,6.1,11.7,0.52,1.5,3.9,0.39,4.6,7.8,0.59,2.1,2.8,0.75,2.2,8.1,10.3,1.9,1.4,0.1,1.8,4.7,15.8,120.0,107.0
2017,6,1447,CLE,Cleveland Cavaliers,Richard Jefferson,1980-06-21,36.0,NBA,SF,14.0,0.0,179.0,4.4,10.5,0.42,1.4,5.3,0.26,3.1,5.3,0.58,5.0,7.8,0.64,2.8,4.2,6.9,1.9,0.6,0.8,2.2,8.3,15.3,111.0,116.0
