Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1992,5,107,CHI,Chicago Bulls,10,B.J. Armstrong,PG,6-2,175,"September 9, 1967",US,2,Iowa
1992,5,495,CHI,Chicago Bulls,24,Bill Cartwright,C,7-1,245,"July 30, 1957",US,11,San Francisco
1992,5,1083,CHI,Chicago Bulls,54,Horace Grant,PF,6-10,215,"July 4, 1965",US,4,Clemson
1992,5,1175,CHI,Chicago Bulls,20,Bob Hansen,SG,6-6,190,"January 18, 1961",US,8,Iowa
1992,5,1305,CHI,Chicago Bulls,14,Craig Hodges,SG,6-2,190,"June 27, 1960",US,9,Cal State Long Beach
1992,5,1323,CHI,Chicago Bulls,2,Dennis Hopson,SG,6-5,200,"April 22, 1965",US,4,Ohio State
1992,5,1568,CHI,Chicago Bulls,23,Michael Jordan,SG,6-6,198,"February 17, 1963",US,7,UNC
1992,5,1625,CHI,Chicago Bulls,21,Stacey King,PF,6-11,230,"January 29, 1967",US,2,Oklahoma
1992,5,1742,CHI,Chicago Bulls,53,Cliff Levingston,PF,6-8,210,"January 4, 1961",US,9,Wichita State
1992,5,2133,CHI,Chicago Bulls,25,Chuck Nevitt,C,7-5,217,"June 13, 1959",US,7,NC State
1992,5,2268,CHI,Chicago Bulls,5,John Paxson,PG,6-2,185,"September 29, 1960",US,8,Notre Dame
1992,5,2285,CHI,Chicago Bulls,32,Will Perdue,C,7-0,240,"August 29, 1965",US,3,Vanderbilt
1992,5,2316,CHI,Chicago Bulls,33,Scottie Pippen,SF,6-8,210,"September 25, 1965",US,4,University of Central Arkansas
1992,5,2393,CHI,Chicago Bulls,52,Mark Randall,PF,6-8,235,"September 30, 1967",US,R,Kansas
1992,5,2726,CHI,Chicago Bulls,2,Rory Sparrow,PG,6-2,175,"June 12, 1958",US,11,Villanova
1992,5,3178,CHI,Chicago Bulls,42,Scott Williams,PF,6-10,230,"March 21, 1968",US,1,UNC
