Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1984,27,2268,SAS,San Antonio Spurs,John Paxson,"September 29, 1960",23.0,NBA,PG,49.0,0.0,458.0,6.0,13.5,0.44,0.4,2.2,0.18,5.6,11.3,0.5,1.6,2.6,0.62,0.4,2.9,3.2,14.7,1.0,0.2,3.1,4.6,14.0,109.0,115.0
1985,27,2268,SAS,San Antonio Spurs,John Paxson,"September 29, 1960",24.0,NBA,PG,78.0,1.0,1259.0,7.2,14.1,0.51,0.4,1.2,0.29,6.8,12.9,0.53,3.1,3.7,0.84,0.7,1.8,2.5,7.9,1.7,0.1,3.0,4.3,17.8,113.0,113.0
1986,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",25.0,NBA,PG,75.0,3.0,1570.0,4.7,10.1,0.47,0.5,1.5,0.3,4.2,8.5,0.5,2.3,2.8,0.8,0.6,2.3,2.9,8.4,1.7,0.1,1.9,5.3,12.1,117.0,115.0
1987,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",26.0,NBA,PG,82.0,64.0,2689.0,7.2,14.8,0.49,1.0,2.6,0.37,6.2,12.2,0.51,2.0,2.4,0.81,0.4,2.2,2.6,8.7,1.2,0.1,2.0,3.9,17.3,117.0,112.0
1988,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",27.0,NBA,PG,81.0,30.0,1888.0,7.6,15.5,0.49,0.9,2.5,0.35,6.8,13.0,0.52,0.9,1.2,0.73,0.4,2.3,2.8,8.1,1.3,0.0,1.7,4.1,17.0,115.0,110.0
1989,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",28.0,NBA,PG,78.0,20.0,1738.0,7.0,14.6,0.48,1.3,3.8,0.33,5.8,10.8,0.53,0.9,1.0,0.86,0.4,2.3,2.7,8.8,1.5,0.2,2.0,4.6,16.1,114.0,112.0
1990,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",29.0,NBA,PG,82.0,82.0,2365.0,7.7,14.9,0.52,0.7,1.9,0.36,7.0,12.9,0.54,1.2,1.4,0.82,0.6,1.9,2.5,7.0,1.7,0.1,1.8,3.7,17.2,117.0,113.0
1991,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",30.0,NBA,PG,82.0,82.0,1971.0,8.1,14.7,0.55,1.1,2.4,0.44,7.0,12.3,0.57,0.9,1.0,0.83,0.4,1.9,2.3,7.6,1.6,0.1,1.8,3.5,18.1,124.0,110.0
1992,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",31.0,NBA,PG,79.0,79.0,1946.0,6.7,12.7,0.53,0.3,1.1,0.27,6.4,11.6,0.55,0.8,1.0,0.78,0.5,2.0,2.5,6.3,1.3,0.2,1.1,3.7,14.5,121.0,110.0
1993,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",32.0,NBA,PG,59.0,8.0,1030.0,5.3,11.7,0.45,1.0,2.1,0.46,4.3,9.7,0.45,0.9,1.0,0.85,0.5,2.0,2.4,6.9,1.9,0.1,1.6,5.0,12.4,114.0,110.0
1994,5,2268,CHI,Chicago Bulls,John Paxson,"September 29, 1960",33.0,NBA,PG,27.0,0.0,343.0,4.6,10.4,0.44,1.4,3.3,0.41,3.2,7.0,0.46,0.2,0.3,0.5,0.5,2.6,3.0,5.0,1.1,0.3,0.9,2.7,10.7,115.0,108.0
