Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2012,18,163,MIN,Minnesota Timberwolves,11,J.J. Barea,PG,5-10,180,"June 26, 1984",PR,5,Northeastern University
2012,18,203,MIN,Minnesota Timberwolves,8,Michael Beasley,SF,6-9,235,"January 9, 1989",US,3,Kansas State
2012,18,845,MIN,Minnesota Timberwolves,22,Wayne Ellington,SG,6-4,207,"November 29, 1987",US,2,UNC
2012,18,1518,MIN,Minnesota Timberwolves,4,Wesley Johnson,SF,6-7,215,"July 11, 1987",US,1,"Iowa State, Syracuse"
2012,18,1725,MIN,Minnesota Timberwolves,3,Malcolm Lee,SG,6-5,200,"May 22, 1990",US,R,UCLA
2012,18,1780,MIN,Minnesota Timberwolves,42,Kevin Love,PF,6-8,251,"September 7, 1988",US,3,UCLA
2012,18,1988,MIN,Minnesota Timberwolves,31,Darko Milicic,C,7-0,250,"June 20, 1985",RS,8,
2012,18,1992,MIN,Minnesota Timberwolves,52,Brad Miller,C,6-11,244,"April 12, 1976",US,13,Purdue
2012,18,2278,MIN,Minnesota Timberwolves,14,Nikola Pekovic,C,6-11,307,"January 3, 1986",ME,1,
2012,18,2396,MIN,Minnesota Timberwolves,15,Anthony Randolph,PF,6-10,205,"July 15, 1989",DE,3,LSU
2012,18,2452,MIN,Minnesota Timberwolves,13,Luke Ridnour,SG,6-2,175,"February 13, 1981",US,8,Oregon
2012,18,2525,MIN,Minnesota Timberwolves,9,Ricky Rubio,PG,6-3,190,"October 21, 1990",ES,R,
2012,18,2894,MIN,Minnesota Timberwolves,44,Anthony Tolliver,SF,6-8,240,"June 1, 1985",US,3,Creighton
2012,18,3060,MIN,Minnesota Timberwolves,5,Martell Webster,SF,6-7,230,"December 4, 1986",US,6,
2012,18,3136,MIN,Minnesota Timberwolves,7,Derrick Williams,PF,6-8,240,"May 25, 1991",US,R,Arizona
