Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,29.0,1615,UTA,Utah Jazz,23.0,NBA,SF,19.0,,419.0,71.0,137.0,0.52,0.0,0.0,,71.0,137.0,0.52,0.52,34.0,63.0,0.54,24.0,64.0,88.0,52.0,7.0,4.0,50.0,66.0,176.0,,0.0
1981,10.0,1615,GSW,Golden State Warriors,24.0,NBA,SF,81.0,,2914.0,731.0,1244.0,0.59,2.0,6.0,0.33,729.0,1238.0,0.59,0.59,307.0,437.0,0.7,178.0,373.0,551.0,287.0,72.0,34.0,265.0,304.0,1771.0,,0.0
1982,10.0,1615,GSW,Golden State Warriors,25.0,NBA,SF,79.0,77.0,2861.0,740.0,1307.0,0.57,1.0,5.0,0.2,739.0,1302.0,0.57,0.57,352.0,499.0,0.7,140.0,329.0,469.0,282.0,78.0,23.0,267.0,285.0,1833.0,,0.0
1983,20.0,1615,NYK,New York Knicks,26.0,NBA,SF,68.0,68.0,2207.0,603.0,1142.0,0.53,0.0,6.0,0.0,603.0,1136.0,0.53,0.53,280.0,388.0,0.72,99.0,227.0,326.0,195.0,90.0,13.0,197.0,233.0,1486.0,,0.0
1984,20.0,1615,NYK,New York Knicks,27.0,NBA,SF,77.0,76.0,2667.0,795.0,1391.0,0.57,0.0,4.0,0.0,795.0,1387.0,0.57,0.57,437.0,561.0,0.78,123.0,271.0,394.0,164.0,75.0,17.0,197.0,273.0,2027.0,,0.0
1985,20.0,1615,NYK,New York Knicks,28.0,NBA,SF,55.0,55.0,2063.0,691.0,1303.0,0.53,1.0,10.0,0.1,690.0,1293.0,0.53,0.53,426.0,552.0,0.77,114.0,203.0,317.0,204.0,71.0,15.0,204.0,191.0,1809.0,,1.0
1987,20.0,1615,NYK,New York Knicks,30.0,NBA,SF,6.0,4.0,214.0,52.0,105.0,0.5,0.0,0.0,,52.0,105.0,0.5,0.5,32.0,43.0,0.74,13.0,19.0,32.0,19.0,2.0,0.0,15.0,14.0,136.0,,0.0
1988,,1615,WSB,None,31.0,NBA,SF,69.0,38.0,2044.0,470.0,938.0,0.5,1.0,6.0,0.17,469.0,932.0,0.5,0.5,247.0,324.0,0.76,86.0,194.0,280.0,192.0,49.0,10.0,211.0,202.0,1188.0,,0.0
1989,,1615,WSB,None,32.0,NBA,SF,81.0,81.0,2559.0,654.0,1371.0,0.48,5.0,30.0,0.17,649.0,1341.0,0.48,0.48,361.0,441.0,0.82,133.0,251.0,384.0,294.0,64.0,13.0,227.0,219.0,1674.0,,0.0
1990,,1615,WSB,None,33.0,NBA,SF,82.0,82.0,2687.0,711.0,1459.0,0.49,3.0,23.0,0.13,708.0,1436.0,0.49,0.49,412.0,513.0,0.8,129.0,275.0,404.0,376.0,51.0,7.0,248.0,230.0,1837.0,,0.0
1991,,1615,WSB,None,34.0,NBA,SF,64.0,64.0,2401.0,713.0,1511.0,0.47,8.0,37.0,0.22,705.0,1474.0,0.48,0.48,383.0,485.0,0.79,114.0,205.0,319.0,292.0,56.0,16.0,255.0,187.0,1817.0,,0.0
1993,3.0,1615,NJN,New Jersey Nets,36.0,NBA,SF,32.0,2.0,430.0,91.0,177.0,0.51,2.0,7.0,0.29,89.0,170.0,0.52,0.52,39.0,57.0,0.68,35.0,41.0,76.0,18.0,11.0,3.0,21.0,53.0,223.0,,0.0
