PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Ricky Pierce,32,78,2658,18.2,0.561,0.094,0.348,4.0,6.2,5.1,14.7,1.6,0.5,11.1,26.8,,6.5,1.4,7.8,0.142,,2.6,-1.2,1.5,2.3
Gary Payton,23,81,2549,13.1,0.478,0.031,0.20199999999999999,5.5,7.9,6.7,27.5,2.9,0.5,17.9,16.0,,1.6,2.3,3.9,0.07400000000000001,,-0.4,0.7,0.4,1.5
Michael Cage,30,82,2461,15.0,0.583,0.009000000000000001,0.315,12.2,22.1,17.1,5.1,2.0,1.4,11.2,11.9,,4.4,3.2,7.6,0.14800000000000002,,1.0,0.3,1.3,2.0
Eddie Johnson,32,81,2366,16.1,0.528,0.092,0.29,5.6,8.6,7.1,10.9,1.2,0.3,9.0,25.6,,4.5,1.1,5.6,0.114,,1.2,-1.9,-0.7,0.8
Benoit Benjamin,27,63,1941,14.1,0.517,0.003,0.336,7.6,23.2,15.2,5.9,1.0,3.9,17.1,22.2,,-0.3,2.5,2.2,0.054000000000000006,,-1.9,0.0,-1.9,0.0
Shawn Kemp,22,64,1808,21.6,0.5670000000000001,0.004,0.503,16.5,26.1,21.2,7.3,1.9,4.4,15.1,24.0,,3.6,3.0,6.7,0.177,,1.6,0.3,1.9,1.8
Derrick McKey,25,52,1757,14.7,0.5539999999999999,0.083,0.368,6.1,11.6,8.8,9.9,1.7,1.7,14.0,19.5,,2.4,1.5,3.9,0.107,,1.0,-0.1,0.9,1.3
Nate McMillan,27,72,1652,14.5,0.49200000000000005,0.242,0.207,6.3,11.4,8.8,29.2,3.9,1.1,20.2,14.1,,1.5,2.2,3.7,0.109,,0.2,2.7,2.8,2.0
Dana Barros,24,75,1331,15.0,0.586,0.377,0.16,1.4,5.7,3.5,14.0,1.9,0.2,9.6,18.4,,2.9,0.7,3.6,0.132,,2.2,-0.4,1.8,1.3
Tony Brown,31,35,401,11.9,0.47700000000000004,0.256,0.231,6.5,9.7,8.0,11.5,2.3,0.6,10.6,20.7,,0.3,0.3,0.6,0.073,,-1.3,-0.7,-2.0,0.0
Marty Conlon,24,45,381,9.3,0.521,0.0,0.317,9.8,11.1,10.4,4.3,1.2,1.2,19.0,15.7,,0.0,0.2,0.3,0.037000000000000005,,-2.7,-1.5,-4.2,-0.2
Bart Kofoed,27,44,239,9.8,0.512,0.132,0.491,2.8,9.8,6.3,28.6,0.4,0.5,23.7,14.9,,0.1,0.1,0.2,0.036000000000000004,,-1.6,-1.5,-3.2,-0.1
Rich King,22,40,213,10.1,0.485,0.013999999999999999,0.634,10.6,16.0,13.3,7.8,0.9,1.5,16.5,21.5,,0.0,0.2,0.2,0.046,,-4.8,-1.7,-6.5,-0.2
Quintin Dailey,31,11,98,3.2,0.35200000000000004,0.027000000000000003,0.43200000000000005,2.3,12.0,7.1,5.4,2.6,0.6,18.5,23.2,,-0.3,0.1,-0.3,-0.124,,-7.3,-1.7,-9.0,-0.2
