TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
BOS,82,19780,2768,6371,0.43,443,1304,0.34,2325,5067,0.46,1494,1975,0.76,862,2387,3249,1533,574,364,1262,1659,7473
CHI,82,19830,2805,6523,0.43,427,1308,0.33,2378,5215,0.46,1450,1898,0.76,828,2322,3150,1556,568,477,1159,1645,7487
MIL,82,19830,2834,6342,0.45,437,1309,0.33,2397,5033,0.48,1498,1946,0.77,836,2629,3465,1657,507,392,1245,1694,7603
ORL,82,19830,2865,6569,0.44,516,1476,0.35,2349,5093,0.46,1441,1940,0.74,805,2450,3255,1646,606,310,1136,1791,7687
NOH,82,19830,2882,6306,0.46,557,1562,0.36,2325,4744,0.49,1390,1805,0.77,769,2457,3226,1739,497,396,1192,1674,7711
MIA,82,19780,2869,6614,0.43,546,1584,0.34,2323,5030,0.46,1473,1980,0.74,864,2349,3213,1651,574,246,1081,1788,7757
POR,82,19805,2904,6218,0.47,529,1440,0.37,2375,4778,0.5,1434,1869,0.77,868,2385,3253,1573,566,339,1286,1743,7771
LAL,82,19830,3008,6888,0.44,558,1668,0.34,2450,5220,0.47,1246,1628,0.76,1002,2399,3401,1827,585,372,1116,1700,7820
ALT,82,19730,3009,6537,0.46,459,1358,0.34,2550,5179,0.49,1380,1782,0.77,839,2488,3327,1751,548,348,1026,1517,7857
DAL,82,19705,2996,6656,0.45,508,1480,0.34,2488,5176,0.48,1373,1830,0.75,880,2459,3339,1689,623,303,1114,1650,7873
CHA,82,19805,2956,6492,0.46,577,1609,0.36,2379,4883,0.49,1489,1908,0.78,804,2446,3250,1777,601,496,1082,1730,7978
PHI,82,19930,2996,6638,0.45,468,1375,0.34,2528,5263,0.48,1536,1987,0.77,881,2608,3489,1762,583,376,1168,1544,7996
MEM,82,19880,2967,6489,0.46,587,1592,0.37,2380,4897,0.49,1482,1948,0.76,905,2387,3292,1724,613,505,1367,1754,8003
SAS,82,19780,3127,6860,0.46,479,1305,0.37,2648,5555,0.48,1301,1698,0.77,884,2494,3378,1685,567,374,1095,1701,8034
NJN,82,20005,3069,6602,0.46,507,1393,0.36,2562,5209,0.49,1589,2115,0.75,849,2575,3424,1824,561,375,1010,1638,8234
DET,82,19880,3110,6405,0.49,523,1461,0.36,2587,4944,0.52,1503,1962,0.77,866,2470,3336,1910,568,381,1160,1545,8246
IND,82,19780,3071,6837,0.45,511,1423,0.36,2560,5414,0.47,1618,2157,0.75,931,2618,3549,1670,615,467,1143,1758,8271
OKC,82,20005,3123,6823,0.46,482,1335,0.36,2641,5488,0.48,1557,2093,0.74,932,2395,3327,1712,587,356,1152,1767,8285
UTA,82,19880,2967,6460,0.46,592,1573,0.38,2375,4887,0.49,1777,2285,0.78,925,2426,3351,1700,609,411,1199,1802,8303
LAC,82,19855,3046,6688,0.46,584,1598,0.36,2462,5090,0.48,1670,2167,0.77,914,2410,3324,1827,659,404,1125,1811,8346
DEN,82,19705,3153,6876,0.46,576,1675,0.34,2577,5201,0.5,1539,2036,0.76,864,2525,3389,1820,611,488,1127,1864,8421
HOU,82,19880,3266,6979,0.47,448,1250,0.36,2818,5729,0.49,1526,1954,0.78,955,2552,3507,1707,588,449,1125,1754,8506
CLE,82,19755,3232,6804,0.48,664,1614,0.41,2568,5190,0.5,1438,1894,0.76,894,2676,3570,1984,619,489,1111,1747,8566
WAS,82,19930,3174,6741,0.47,560,1500,0.37,2614,5241,0.5,1676,2202,0.76,994,2607,3601,1898,624,413,1293,1662,8584
SAC,82,19855,3260,6826,0.48,480,1353,0.36,2780,5473,0.51,1589,2085,0.76,868,2508,3376,1779,666,464,1204,1723,8589
TOR,82,19780,3213,6668,0.48,541,1438,0.38,2672,5230,0.51,1672,2175,0.77,912,2457,3369,1854,625,456,1141,1620,8639
GSW,82,19830,3173,6788,0.47,567,1586,0.36,2606,5202,0.5,1755,2262,0.78,1051,2623,3674,2029,672,352,1324,1512,8668
NYK,82,19780,3242,6870,0.47,536,1442,0.37,2706,5428,0.5,1650,2165,0.76,964,2646,3610,1682,586,360,1250,1703,8670
PHO,82,20005,3309,7018,0.47,585,1595,0.37,2724,5423,0.5,1481,1964,0.75,985,2647,3632,1890,644,356,1189,1740,8684
MIN,82,19780,3230,6902,0.47,639,1707,0.37,2591,5195,0.5,1733,2227,0.78,913,2577,3490,2031,777,447,1183,1717,8832
