TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
NYK,82,19930,2822,6621,0.43,230,753,0.3,2592,5868,0.44,1949,2582,0.76,1031,2325,3356,1658,657,384,1360,2010,7823
CHI,82,19830,3139,6622,0.47,247,685,0.36,2892,5937,0.49,1584,2033,0.78,1039,2265,3304,1918,595,357,1372,1731,8109
HOU,82,19780,3255,7129,0.46,242,730,0.33,3013,6399,0.47,1432,1877,0.76,1167,2295,3462,1965,717,327,1228,1793,8184
CLE,82,19830,3370,7229,0.47,229,695,0.33,3141,6534,0.48,1334,1742,0.77,1115,2379,3494,2109,610,365,1203,1828,8303
SEA,82,19780,3143,6707,0.47,272,808,0.34,2871,5899,0.49,1746,2299,0.76,1075,2220,3295,1835,655,406,1516,1853,8304
NJN,82,19780,3231,6945,0.46,201,618,0.32,3030,6327,0.48,1665,2248,0.74,1102,2345,3447,1786,780,416,1304,1881,8328
DET,82,19780,3321,6906,0.48,261,769,0.34,3060,6137,0.5,1463,1987,0.74,1099,2442,3541,2048,623,363,1219,1804,8366
BOS,82,19780,3232,6980,0.46,216,650,0.33,3016,6330,0.48,1749,2269,0.77,1094,2378,3472,1971,637,386,1181,1676,8429
SAS,82,19855,3290,7177,0.46,270,747,0.36,3020,6430,0.47,1583,2051,0.77,1082,2388,3470,1905,655,373,1131,1998,8433
UTA,82,19755,3258,6970,0.47,272,836,0.32,2986,6134,0.49,1743,2343,0.74,1120,2314,3434,1928,648,468,1291,1970,8531
ORL,82,19880,3307,7255,0.46,248,754,0.33,3059,6501,0.47,1682,2306,0.73,1166,2271,3437,2091,715,401,1119,1975,8544
MIA,82,20005,3232,6791,0.48,265,781,0.34,2967,6010,0.49,1860,2416,0.77,1032,2424,3456,1965,656,426,1304,2053,8589
POR,82,19905,3337,7125,0.47,277,811,0.34,3060,6314,0.48,1692,2226,0.76,1022,2527,3549,2059,649,452,1404,2089,8643
LAL,82,19830,3438,7116,0.48,245,726,0.34,3193,6390,0.5,1529,2050,0.75,1158,2411,3569,2130,686,384,1334,1872,8650
MIN,82,19855,3323,6814,0.49,208,578,0.36,3115,6236,0.5,1830,2413,0.76,1122,2331,3453,2144,734,494,1231,1875,8684
IND,82,19755,3262,6955,0.47,216,706,0.31,3046,6249,0.49,1957,2635,0.74,1189,2345,3534,1987,693,387,1178,1979,8697
MIL,82,19730,3303,6843,0.48,269,783,0.34,3034,6060,0.5,1823,2437,0.75,1269,2398,3667,2087,773,456,1476,1810,8698
PHO,82,19730,3500,7307,0.48,250,750,0.33,3250,6557,0.5,1502,2078,0.72,1118,2316,3434,2107,708,512,1328,2041,8752
LAC,82,19805,3311,7051,0.47,275,790,0.35,3036,6261,0.48,1857,2434,0.76,1179,2437,3616,1970,765,453,1445,1772,8754
DEN,82,19830,3324,7214,0.46,222,647,0.34,3102,6567,0.47,1899,2517,0.75,1159,2505,3664,1890,750,503,1340,1983,8769
ALT,82,19830,3509,7074,0.5,281,833,0.34,3228,6241,0.52,1586,2092,0.76,1080,2413,3493,2189,735,363,1363,1881,8885
WAB,82,19805,3557,7214,0.49,239,712,0.34,3318,6502,0.51,1577,2106,0.75,1135,2555,3690,2062,718,425,1279,1818,8930
PHI,82,19930,3666,7548,0.49,280,782,0.36,3386,6766,0.5,1417,1878,0.76,1258,2634,3892,2406,781,491,1290,1790,9029
CHO,82,19755,3634,7698,0.47,234,753,0.31,3400,6945,0.49,1548,2080,0.74,1350,2403,3753,2277,599,438,1245,1923,9050
GSW,82,19905,3471,7197,0.48,272,794,0.34,3199,6403,0.5,1881,2492,0.76,1174,2345,3519,2098,824,457,1350,1993,9095
SAC,82,19780,3420,7024,0.49,213,680,0.31,3207,6344,0.51,2054,2711,0.76,1138,2562,3700,2073,767,551,1466,2010,9107
DAL,82,19730,3401,6783,0.5,234,653,0.36,3167,6130,0.52,2351,3071,0.77,1063,2740,3803,2047,802,520,1273,1861,9387
