Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,7,DAL,Dallas Mavericks,Mark Aguirre,23.0,81,75.0,2784,767,1589,0.48,16,76,0.21,751,1513,0.5,0.49,429,589,0.73,191,317,508,332,80,26,261,247,1979
1983,7,DAL,Dallas Mavericks,Jay Vincent,23.0,81,73.0,2726,622,1272,0.49,0,3,0.0,622,1269,0.49,0.49,269,343,0.78,217,375,592,212,70,45,188,295,1513
1983,7,DAL,Dallas Mavericks,Rolando Blackman,23.0,75,62.0,2349,513,1042,0.49,3,15,0.2,510,1027,0.5,0.49,297,381,0.78,108,185,293,185,37,29,118,116,1326
1983,7,DAL,Dallas Mavericks,Brad Davis,27.0,79,78.0,2323,359,628,0.57,11,43,0.26,348,585,0.6,0.58,186,220,0.84,34,164,198,565,80,11,143,176,915
1983,7,DAL,Dallas Mavericks,Pat Cummings,26.0,81,71.0,2317,433,878,0.49,0,1,0.0,433,877,0.49,0.49,148,196,0.76,225,443,668,144,57,35,162,296,1014
1983,7,DAL,Dallas Mavericks,Kelvin Ransey,24.0,76,4.0,1607,343,746,0.46,2,16,0.12,341,730,0.47,0.46,152,199,0.76,44,103,147,280,58,4,129,109,840
1983,7,DAL,Dallas Mavericks,Kurt Nimphius,24.0,81,12.0,1515,174,355,0.49,1,1,1.0,173,354,0.49,0.49,77,140,0.55,157,247,404,115,24,111,66,287,426
1983,7,DAL,Dallas Mavericks,Bill Garnett,22.0,75,13.0,1411,170,319,0.53,0,3,0.0,170,316,0.54,0.53,129,174,0.74,141,265,406,103,48,70,81,245,469
1983,7,DAL,Dallas Mavericks,Elston Turner,23.0,59,16.0,879,96,238,0.4,2,3,0.67,94,235,0.4,0.41,20,30,0.67,68,84,152,88,47,0,59,75,214
1983,7,DAL,Dallas Mavericks,Jim Spanarkel,25.0,48,4.0,722,91,197,0.46,2,10,0.2,89,187,0.48,0.47,88,113,0.78,27,57,84,78,27,3,55,59,272
1983,7,DAL,Dallas Mavericks,Corny Thompson,22.0,44,2.0,520,43,137,0.31,0,0,,43,137,0.31,0.31,36,46,0.78,41,79,120,34,12,7,31,92,122
1983,7,DAL,Dallas Mavericks,Allan Bristow,31.0,37,0.0,371,44,99,0.44,6,13,0.46,38,86,0.44,0.48,10,14,0.71,24,35,59,70,6,1,31,46,104
1983,7,DAL,Dallas Mavericks,Scott Lloyd,30.0,15,0.0,206,19,50,0.38,0,1,0.0,19,49,0.39,0.38,11,17,0.65,19,27,46,21,6,6,6,24,49
1983,7,DAL,Dallas Mavericks,Team Totals,,82,,19730,3674,7550,0.49,43,185,0.23,3631,7365,0.49,0.49,1852,2462,0.75,1296,2381,3677,2227,552,348,1348,2067,9243
