SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,8,DEN,Dikembe Mutombo,27,12,12,511,50,108,0.46,0,0,,50,108,0.46,0.46,59,98,0.6,40,104,144,21,8,69,30,42,159
1994,8,DEN,LaPhonso Ellis,23,12,12,436,68,142,0.48,3,6,0.5,65,136,0.48,0.49,38,54,0.7,27,70,97,26,9,11,19,46,177
1994,8,DEN,Bryant Stith,23,12,12,413,43,102,0.42,0,1,0.0,43,101,0.43,0.42,50,60,0.83,23,33,56,26,11,2,14,23,136
1994,8,DEN,Reggie Williams,29,12,12,405,62,149,0.42,20,50,0.4,42,99,0.42,0.48,27,35,0.77,18,43,61,42,9,12,28,53,171
1994,8,DEN,Mahmoud Abdul-Rauf,24,12,12,339,57,154,0.37,12,37,0.32,45,117,0.38,0.41,29,31,0.94,3,15,18,30,5,1,14,29,155
1994,8,DEN,Robert Pack,24,12,0,332,48,118,0.41,6,20,0.3,42,98,0.43,0.43,39,55,0.71,5,23,28,51,18,6,46,41,141
1994,8,DEN,Bison Dele,24,12,0,289,42,76,0.55,0,0,,42,76,0.55,0.55,27,41,0.66,33,56,89,11,4,11,17,36,111
1994,8,DEN,Rodney Rogers,22,12,0,190,19,49,0.39,6,19,0.32,13,30,0.43,0.45,17,27,0.63,8,13,21,16,7,6,8,25,61
1994,8,DEN,Tom Hammonds,26,8,0,49,2,9,0.22,0,0,,2,9,0.22,0.22,5,6,0.83,5,8,13,2,0,0,1,6,9
1994,8,DEN,Darnell Mee,22,3,0,30,3,6,0.5,1,4,0.25,2,2,1.0,0.58,0,0,,0,2,2,2,3,0,3,4,7
1994,8,DEN,Mark Randall,26,2,0,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,4,5,0,0,1,1,1,0
1994,8,DEN,Kevin Brooks,24,2,0,5,2,7,0.29,0,1,0.0,2,6,0.33,0.29,1,2,0.5,1,1,2,0,0,0,0,0,5
