Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,20.0,LAL,NBA,SG,77,,2795,503,949,0.53,7,31,0.226,496,918,0.54,0.534,374,462,0.81,166,430,596,563,187,41,305,218,1387,,7
1981,21.0,LAL,NBA,SG,37,,1371,312,587,0.532,3,17,0.176,309,570,0.542,0.534,171,225,0.76,101,219,320,317,127,27,143,100,798,,6
1982,22.0,LAL,NBA,SG,78,77.0,2991,556,1036,0.537,6,29,0.207,550,1007,0.546,0.54,329,433,0.76,252,499,751,743,208,34,286,223,1447,,18
1983,23.0,LAL,NBA,SG,79,79.0,2907,511,933,0.548,0,21,0.0,511,912,0.56,0.548,304,380,0.8,214,469,683,829,176,47,301,200,1326,,16
1984,24.0,LAL,NBA,PG,67,66.0,2567,441,780,0.565,6,29,0.207,435,751,0.579,0.569,290,358,0.81,99,392,491,875,150,49,306,169,1178,,12
1985,25.0,LAL,NBA,PG,77,77.0,2781,504,899,0.561,7,37,0.189,497,862,0.577,0.565,391,464,0.843,90,386,476,968,113,25,305,155,1406,,11
1986,26.0,LAL,NBA,PG,72,70.0,2578,483,918,0.526,10,43,0.233,473,875,0.541,0.532,378,434,0.871,85,341,426,907,113,16,273,133,1354,,3
1987,27.0,LAL,NBA,PG,80,80.0,2904,683,1308,0.522,8,39,0.205,675,1269,0.532,0.525,535,631,0.848,122,382,504,977,138,36,300,168,1909,,11
1988,28.0,LAL,NBA,PG,72,70.0,2637,490,996,0.492,11,56,0.196,479,940,0.51,0.497,417,489,0.853,88,361,449,858,114,13,269,147,1408,,12
1989,29.0,LAL,NBA,PG,77,77.0,2886,579,1137,0.509,59,188,0.314,520,949,0.548,0.535,513,563,0.911,111,496,607,988,138,22,312,172,1730,,17
1990,30.0,LAL,NBA,PG,79,79.0,2937,546,1138,0.48,106,276,0.384,440,862,0.51,0.526,567,637,0.89,128,394,522,907,132,34,289,167,1765,,11
1991,31.0,LAL,NBA,PG,79,79.0,2933,466,976,0.477,80,250,0.32,386,726,0.532,0.518,519,573,0.906,105,446,551,989,102,17,314,150,1531,,13
1996,36.0,LAL,NBA,PF,32,9.0,958,137,294,0.466,22,58,0.379,115,236,0.487,0.503,172,201,0.856,40,143,183,220,26,13,103,48,468,,1
