Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2019,7,1804,DAL,Dallas Mavericks,23.0,NBA,SG,8.0,90.0,5.5,0.48,0.41,0.26,2.4,11.8,7.1,11.2,0.5,0.0,16.6,17.2,,-0.1,0.0,0.0,-0.02,,-5.3,-2.6,-7.9,-0.1
2020,16,1804,MIA,Miami Heat,24.0,NBA,PG,4.0,14.0,-3.1,0.5,0.67,0.0,0.0,0.0,0.0,9.7,0.0,0.0,40.0,15.7,,0.0,0.0,0.0,-0.16,,-7.0,-4.4,-11.4,0.0
