Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,2.0,1441,BOS,Boston Celtics,Al Jefferson,"January 4, 1985",20.0,NBA,PF,71,1,14.8,2.7,5.2,0.528,0.0,0.0,0.0,2.7,5.2,0.533,0.528,1.2,1.9,0.63,1.7,2.7,4.4,0.3,0.3,0.8,0.9,2.7,6.7
2006,2.0,1441,BOS,Boston Celtics,Al Jefferson,"January 4, 1985",21.0,NBA,PF,59,7,18.0,3.2,6.4,0.499,0.0,0.1,0.0,3.2,6.4,0.504,0.499,1.5,2.3,0.642,1.6,3.4,5.1,0.5,0.5,0.8,1.1,2.8,7.9
2007,2.0,1441,BOS,Boston Celtics,Al Jefferson,"January 4, 1985",22.0,NBA,C,69,60,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0
2008,18.0,1441,MIN,Minnesota Timberwolves,Al Jefferson,"January 4, 1985",23.0,NBA,C,82,82,35.6,8.8,17.6,0.5,0.0,0.1,0.0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2.0,2.7,21.0
2009,18.0,1441,MIN,Minnesota Timberwolves,Al Jefferson,"January 4, 1985",24.0,NBA,C,50,50,36.7,9.7,19.5,0.497,0.0,0.1,0.0,9.7,19.4,0.499,0.497,3.7,5.0,0.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8,23.1
2010,18.0,1441,MIN,Minnesota Timberwolves,Al Jefferson,"January 4, 1985",25.0,NBA,C,76,76,32.4,7.4,14.8,0.498,0.0,0.1,0.0,7.4,14.8,0.5,0.498,2.4,3.5,0.68,2.4,6.9,9.3,1.8,0.8,1.3,1.8,2.7,17.1
2011,29.0,1441,UTA,Utah Jazz,Al Jefferson,"January 4, 1985",26.0,NBA,C,82,82,35.9,8.0,16.1,0.496,0.0,0.0,,8.0,16.1,0.496,0.496,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6
2012,29.0,1441,UTA,Utah Jazz,Al Jefferson,"January 4, 1985",27.0,NBA,C,61,61,34.0,8.5,17.2,0.492,0.0,0.1,0.25,8.4,17.1,0.493,0.493,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1.0,2.5,19.2
2013,29.0,1441,UTA,Utah Jazz,Al Jefferson,"January 4, 1985",28.0,NBA,C,78,78,33.1,7.8,15.8,0.494,0.0,0.2,0.118,7.8,15.6,0.5,0.495,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,17.8
2014,4.0,1441,CHA,Charlotte Bobcats,Al Jefferson,"January 4, 1985",29.0,NBA,C,73,73,35.0,9.6,18.8,0.509,0.0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8
2015,4.0,1441,CHO,Charlotte Hornets,Al Jefferson,"January 4, 1985",30.0,NBA,C,65,61,30.6,7.5,15.5,0.481,0.0,0.1,0.4,7.4,15.5,0.482,0.482,1.7,2.5,0.655,1.5,6.9,8.4,1.7,0.7,1.3,1.0,2.1,16.6
2016,4.0,1441,CHO,Charlotte Hornets,Al Jefferson,"January 4, 1985",31.0,NBA,C,47,18,23.3,5.2,10.7,0.485,0.0,0.0,,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12.0
2017,12.0,1441,IND,Indiana Pacers,Al Jefferson,"January 4, 1985",32.0,NBA,C,66,1,14.1,3.6,7.1,0.499,0.0,0.0,0.0,3.6,7.1,0.5,0.499,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1
2018,12.0,1441,IND,Indiana Pacers,Al Jefferson,"January 4, 1985",33.0,NBA,C,36,1,13.4,3.1,5.8,0.534,0.0,0.1,0.0,3.1,5.7,0.541,0.534,0.8,1.0,0.833,0.8,3.1,4.0,0.8,0.4,0.6,0.6,1.8,7.0
