TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
MEM,82,242.1,32.8,75.3,0.44,5.0,14.9,0.33,27.8,60.4,0.46,17.9,23.7,0.75,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5
SAS,82,241.5,33.9,78.3,0.43,3.7,10.8,0.34,30.3,67.5,0.45,17.2,23.3,0.74,10.8,29.5,40.3,16.3,7.3,4.2,13.9,20.8,88.8
DET,82,241.8,35.5,78.7,0.45,4.0,12.3,0.32,31.5,66.3,0.48,15.1,20.5,0.74,11.6,29.3,40.9,18.8,5.9,3.5,14.0,21.0,90.2
HOU,82,241.8,33.0,77.0,0.43,6.6,17.9,0.37,26.4,59.1,0.45,19.0,26.0,0.73,10.7,30.2,40.9,20.1,7.1,4.5,13.3,20.9,91.7
IND,82,240.6,34.5,79.3,0.44,4.5,13.2,0.34,30.0,66.1,0.45,18.4,25.1,0.73,11.8,29.5,41.3,18.5,8.1,4.9,13.6,22.0,92.0
NJN,82,241.2,33.3,75.9,0.44,5.7,16.3,0.35,27.6,59.6,0.46,20.2,27.2,0.74,9.6,31.7,41.3,20.0,7.2,4.0,14.4,23.0,92.4
DAL,82,242.4,34.2,77.1,0.44,4.9,13.7,0.36,29.2,63.4,0.46,19.8,26.4,0.75,11.4,26.9,38.3,17.5,6.5,4.9,14.0,23.9,93.1
MIN,82,242.1,34.8,79.0,0.44,5.5,15.0,0.36,29.3,64.0,0.46,18.6,25.3,0.74,11.9,29.4,41.3,19.0,6.6,4.6,13.9,21.2,93.6
UTA,82,242.4,33.3,74.1,0.45,6.0,15.8,0.38,27.3,58.3,0.47,22.4,30.1,0.75,10.6,27.3,37.9,18.4,8.1,5.6,14.2,25.7,95.0
CLE,82,241.8,36.0,79.0,0.46,5.6,15.7,0.36,30.4,63.3,0.48,17.8,24.0,0.74,9.8,29.5,39.4,20.3,6.6,4.4,13.2,22.5,95.4
LAC,82,241.5,35.2,81.0,0.44,5.8,16.7,0.35,29.4,64.3,0.46,19.4,26.5,0.73,10.5,29.7,40.1,21.5,7.0,4.3,12.8,21.7,95.6
NOK,82,241.5,35.2,76.7,0.46,6.7,18.1,0.37,28.5,58.5,0.49,18.7,24.6,0.76,10.5,30.5,41.0,19.3,6.4,5.3,14.6,23.3,95.6
ORL,82,242.7,35.0,77.2,0.45,5.6,15.7,0.36,29.4,61.5,0.48,20.4,27.9,0.73,11.1,27.3,38.4,20.0,7.5,4.7,13.4,23.2,96.0
MIA,82,240.9,35.0,79.6,0.44,6.0,16.6,0.36,29.0,63.0,0.46,20.0,27.1,0.74,10.1,28.8,38.8,19.5,6.8,3.6,13.0,23.6,96.0
LAL,82,242.1,35.9,79.8,0.45,5.8,16.4,0.35,30.1,63.5,0.48,19.3,25.9,0.75,10.9,29.3,40.1,21.1,6.5,4.3,14.1,23.5,96.9
CHI,82,242.7,33.8,79.5,0.43,6.1,17.4,0.35,27.7,62.0,0.45,23.4,30.1,0.78,10.7,31.0,41.7,20.1,7.5,5.1,15.0,23.0,97.2
