TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
SAS,82,241.2,34.9,78.8,0.44,4.5,13.4,0.33,30.4,65.4,0.46,15.9,21.4,0.74,10.1,29.0,39.1,17.3,7.1,4.1,14.3,21.2,90.1
DET,82,242.4,34.4,77.3,0.44,5.0,14.7,0.34,29.4,62.6,0.47,18.1,24.5,0.74,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,91.8
HOU,82,242.1,34.1,79.3,0.43,5.8,16.4,0.35,28.3,62.9,0.45,18.3,24.4,0.75,9.8,31.1,40.8,19.4,7.0,4.3,14.2,19.9,92.1
DAL,82,240.9,34.0,76.1,0.45,4.6,13.1,0.35,29.5,63.0,0.47,20.2,27.0,0.75,10.2,27.9,38.1,17.9,6.9,3.8,14.5,22.1,92.8
CLE,82,242.4,34.6,77.3,0.45,4.9,15.0,0.33,29.7,62.3,0.48,18.8,25.6,0.73,9.8,30.0,39.9,20.1,6.6,4.3,15.3,22.0,92.9
CHI,82,241.2,34.1,78.2,0.44,5.9,16.9,0.35,28.2,61.3,0.46,19.7,27.1,0.73,10.9,30.0,40.9,20.4,7.5,5.3,17.4,23.2,93.8
ORL,82,241.2,33.4,75.5,0.44,5.6,15.9,0.35,27.8,59.6,0.47,21.6,28.4,0.76,10.5,27.0,37.6,19.6,8.3,4.6,15.0,23.4,94.0
MIA,82,242.1,35.3,79.5,0.44,6.5,18.2,0.36,28.8,61.2,0.47,18.5,24.9,0.74,11.2,30.1,41.3,20.2,6.9,3.8,14.5,21.8,95.5
LAC,82,240.6,35.5,78.5,0.45,5.5,16.4,0.34,30.0,62.1,0.48,19.5,26.1,0.75,10.3,29.0,39.3,21.0,7.1,3.9,13.8,22.3,96.1
NOK,82,242.4,36.6,80.2,0.46,6.8,19.2,0.36,29.8,61.0,0.49,17.0,22.4,0.76,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,97.1
PHI,82,242.4,37.1,80.1,0.46,6.1,17.4,0.35,30.9,62.8,0.49,17.7,23.5,0.75,11.8,29.3,41.1,22.3,7.4,3.9,15.6,22.0,98.0
IND,82,241.2,35.7,78.2,0.46,5.3,14.3,0.37,30.4,63.9,0.48,21.2,28.2,0.75,11.2,30.5,41.6,20.0,7.9,5.0,15.7,23.7,98.0
NJN,82,242.4,35.5,79.0,0.45,6.3,17.7,0.36,29.2,61.2,0.48,21.0,27.6,0.76,10.6,30.8,41.4,22.0,7.1,4.5,14.5,23.0,98.3
POR,82,243.4,36.1,76.7,0.47,5.7,15.8,0.36,30.4,61.0,0.5,20.5,26.3,0.78,10.4,28.6,39.0,20.8,6.6,4.6,13.7,21.3,98.4
ALT,82,242.4,36.0,77.3,0.47,5.7,15.1,0.38,30.3,62.2,0.49,20.7,28.2,0.73,11.6,28.9,40.5,21.1,7.3,5.1,15.2,22.6,98.4
TOR,82,240.9,37.2,80.4,0.46,6.5,18.2,0.36,30.7,62.2,0.49,17.6,23.3,0.75,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,98.5
UTA,82,241.5,34.4,75.5,0.46,6.2,17.4,0.36,28.2,58.1,0.48,23.7,30.9,0.77,9.9,27.1,37.0,18.9,7.6,5.3,15.0,24.5,98.6
BOS,82,242.1,36.2,77.3,0.47,5.2,14.8,0.35,30.9,62.5,0.5,21.7,29.0,0.75,10.3,30.2,40.5,22.1,7.4,5.5,15.2,21.4,99.2
MIN,82,244.0,37.5,81.6,0.46,6.3,18.1,0.35,31.2,63.4,0.49,18.4,24.2,0.76,11.7,29.7,41.4,21.7,7.1,4.4,14.2,20.5,99.7
NYK,82,244.0,36.8,80.1,0.46,7.0,18.6,0.38,29.9,61.5,0.48,19.7,26.0,0.76,10.8,28.0,38.8,21.3,7.5,5.0,13.7,22.9,100.3
CHA,82,244.0,36.6,78.7,0.46,5.5,15.2,0.36,31.1,63.5,0.49,22.0,29.3,0.75,11.3,31.2,42.6,20.9,7.4,5.3,15.8,21.8,100.6
SEA,82,241.8,38.1,80.1,0.48,6.3,17.5,0.36,31.8,62.6,0.51,19.5,25.9,0.75,11.6,29.4,41.0,22.8,7.2,4.2,15.0,19.9,102.0
PHO,82,242.7,39.5,86.4,0.46,6.1,16.9,0.36,33.3,69.5,0.48,17.8,23.2,0.77,12.3,30.5,42.8,18.9,6.9,3.7,15.1,21.5,102.9
SAC,82,241.5,38.4,81.4,0.47,6.8,18.6,0.36,31.6,62.8,0.5,19.5,25.8,0.76,11.1,32.3,43.4,22.4,7.0,4.9,16.3,24.3,103.1
LAL,82,244.3,37.8,81.9,0.46,6.4,17.8,0.36,31.4,64.1,0.49,21.5,28.3,0.76,11.6,30.6,42.2,21.9,7.9,5.0,14.7,23.4,103.4
DEN,82,241.2,39.7,86.4,0.46,6.8,19.1,0.35,33.0,67.3,0.49,17.5,23.7,0.74,12.3,30.0,42.3,24.5,8.3,5.2,16.4,23.7,103.7
MIL,82,242.1,39.0,81.4,0.48,6.9,18.7,0.37,32.1,62.6,0.51,19.1,25.7,0.74,13.0,30.1,43.0,25.3,7.5,5.3,15.7,21.0,104.0
WAS,82,241.8,38.6,81.7,0.47,7.3,19.3,0.38,31.3,62.4,0.5,20.3,26.2,0.78,11.9,31.1,43.0,23.7,6.3,4.6,15.7,23.5,104.9
MEM,82,243.7,40.1,82.5,0.49,7.0,18.0,0.39,33.1,64.4,0.51,19.5,25.8,0.76,11.8,30.3,42.0,25.1,8.3,5.5,15.3,24.3,106.7
GSW,82,240.9,38.7,83.8,0.46,7.4,20.3,0.37,31.2,63.5,0.49,22.1,29.5,0.75,13.1,33.3,46.4,24.7,8.3,4.9,18.6,22.3,106.9
