Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,11,2549,HOU,Houston Rockets,23.0,NBA,C,82.0,82.0,32.8,8.7,16.7,0.52,0.0,0.0,0.25,8.7,16.6,0.52,0.52,3.5,5.3,0.66,3.6,7.6,11.1,2.0,0.9,2.4,3.6,4.1,21.0
1985,11,2549,HOU,Houston Rockets,24.0,NBA,PF,82.0,82.0,37.6,9.2,18.3,0.5,0.0,0.1,0.0,9.2,18.2,0.5,0.5,3.7,5.5,0.68,2.8,7.6,10.4,2.7,1.0,2.0,4.0,3.7,22.1
1986,11,2549,HOU,Houston Rockets,25.0,NBA,PF,79.0,76.0,36.3,7.9,16.2,0.49,0.0,0.2,0.13,7.9,16.0,0.49,0.49,3.1,4.8,0.64,3.3,7.9,11.1,3.6,1.3,1.6,3.6,3.9,18.9
1987,11,2549,HOU,Houston Rockets,26.0,NBA,PF,43.0,32.0,30.8,6.4,13.2,0.49,0.0,0.1,0.0,6.4,13.1,0.49,0.49,2.7,4.4,0.62,2.0,6.6,8.7,2.8,0.9,1.3,2.9,3.9,15.6
1988,31,2549,TOT,Total After Trade,27.0,NBA,"C,PF",48.0,44.0,34.6,6.2,14.2,0.44,0.0,0.2,0.18,6.2,14.0,0.44,0.44,3.1,4.1,0.76,2.9,6.7,9.6,2.5,0.9,1.8,3.6,3.4,15.6
1988,11,2549,HOU,Houston Rockets,27.0,NBA,PF,19.0,19.0,37.1,6.3,14.3,0.44,0.1,0.3,0.33,6.2,13.9,0.44,0.44,3.3,4.5,0.74,3.1,6.0,9.1,1.9,0.9,1.7,3.3,3.3,15.9
1988,10,2549,GSW,Golden State Warriors,27.0,NBA,C,29.0,25.0,33.0,6.2,14.2,0.44,0.0,0.2,0.0,6.2,14.0,0.44,0.44,3.0,3.8,0.78,2.8,7.2,10.0,2.9,0.8,1.9,3.8,3.5,15.4
1989,10,2549,GSW,Golden State Warriors,28.0,NBA,C,61.0,36.0,17.8,2.7,6.0,0.45,0.0,0.1,0.38,2.6,5.9,0.45,0.45,1.0,1.6,0.65,1.7,3.3,5.0,1.3,0.5,1.1,1.5,2.8,6.4
1990,26,2549,SAC,Sacramento Kings,29.0,NBA,C,26.0,7.0,16.0,1.8,5.0,0.37,0.0,0.2,0.25,1.8,4.8,0.38,0.38,0.5,0.9,0.52,0.4,2.8,3.2,1.1,0.5,0.8,1.3,2.5,4.2
1991,26,2549,SAC,Sacramento Kings,30.0,NBA,C,25.0,4.0,13.9,1.4,3.7,0.37,0.0,0.2,0.2,1.3,3.5,0.38,0.37,0.2,0.8,0.26,1.6,2.8,4.4,0.7,0.4,0.7,1.1,2.2,3.0
1992,30,2549,WSB,Washington Bullets,31.0,NBA,C,10.0,0.0,10.8,0.9,2.9,0.31,0.0,0.2,0.0,0.9,2.7,0.33,0.31,0.4,0.6,0.67,1.1,1.9,3.0,0.4,0.3,0.8,1.0,1.4,2.2
