Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,26.0,CLE,NBA,SF,2.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,28.0,IND,NBA,SF,4.0,0.0,24.0,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0
1989,30.0,PHI,NBA,SF,3.0,0.0,109.0,29.0,51.0,0.569,0.0,1.0,0.0,29.0,50.0,0.58,0.569,4.0,5.0,0.8,7.0,9.0,16.0,13.0,1.0,2.0,2.0,10.0,62.0
1990,31.0,PHI,NBA,SF,10.0,0.0,256.0,40.0,93.0,0.43,3.0,5.0,0.6,37.0,88.0,0.42,0.446,29.0,30.0,0.967,6.0,31.0,37.0,14.0,4.0,0.0,15.0,22.0,112.0
1991,32.0,PHI,NBA,SF,8.0,0.0,223.0,35.0,88.0,0.398,1.0,5.0,0.2,34.0,83.0,0.41,0.403,17.0,19.0,0.895,9.0,12.0,21.0,19.0,6.0,0.0,12.0,24.0,88.0
