Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011-12,19.0,CLE,NBA,PG,51.0,51.0,1558.0,350.0,747.0,0.469,73.0,183.0,0.399,277.0,564.0,0.491,0.517,171.0,196.0,0.872,44.0,147.0,191.0,275.0,54.0,20.0,160.0,110.0,944.0,,0.0
2012-13,20.0,CLE,NBA,PG,59.0,59.0,2048.0,484.0,1070.0,0.452,109.0,279.0,0.391,375.0,791.0,0.474,0.503,248.0,290.0,0.855,34.0,182.0,216.0,350.0,89.0,21.0,191.0,146.0,1325.0,,0.0
2013-14,21.0,CLE,NBA,PG,71.0,71.0,2496.0,532.0,1237.0,0.43,123.0,344.0,0.358,409.0,893.0,0.458,0.48,291.0,338.0,0.861,52.0,207.0,259.0,433.0,108.0,23.0,190.0,163.0,1478.0,,1.0
2014-15,22.0,CLE,NBA,PG,75.0,75.0,2730.0,578.0,1235.0,0.468,157.0,378.0,0.415,421.0,857.0,0.491,0.532,315.0,365.0,0.863,55.0,182.0,237.0,389.0,114.0,20.0,186.0,146.0,1628.0,,0.0
2015-16,23.0,CLE,NBA,PG,53.0,53.0,1667.0,394.0,879.0,0.448,84.0,262.0,0.321,310.0,617.0,0.502,0.496,169.0,191.0,0.885,44.0,113.0,157.0,249.0,56.0,18.0,124.0,107.0,1041.0,,0.0
2016-17,24.0,CLE,NBA,PG,72.0,72.0,2525.0,671.0,1420.0,0.473,177.0,441.0,0.401,494.0,979.0,0.505,0.535,297.0,328.0,0.905,52.0,178.0,230.0,418.0,83.0,24.0,180.0,157.0,1816.0,,0.0
2017-18,25.0,BOS,NBA,PG,60.0,60.0,1931.0,534.0,1087.0,0.491,166.0,407.0,0.408,368.0,680.0,0.541,0.568,232.0,261.0,0.889,33.0,194.0,227.0,306.0,65.0,17.0,140.0,122.0,1466.0,,0.0
2018-19,26.0,BOS,NBA,PG,67.0,67.0,2214.0,604.0,1241.0,0.487,174.0,434.0,0.401,430.0,807.0,0.533,0.557,214.0,245.0,0.873,71.0,264.0,335.0,464.0,103.0,34.0,172.0,167.0,1596.0,,1.0
2019-20,27.0,BRK,NBA,PG,20.0,20.0,658.0,199.0,416.0,0.478,56.0,142.0,0.394,143.0,274.0,0.522,0.546,94.0,102.0,0.922,22.0,81.0,103.0,128.0,27.0,10.0,52.0,53.0,548.0,,1.0
2020-21,28.0,BRK,NBA,PG,7.0,7.0,231.0,71.0,141.0,0.504,26.0,61.0,0.426,45.0,80.0,0.563,0.596,22.0,22.0,1.0,5.0,32.0,37.0,43.0,11.0,2.0,15.0,18.0,190.0,,0.0
