PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Rolando Blackman,24,10,,397,12.0,22.6,0.531,0.0,0.0,,12.0,22.6,0.531,6.8,8.1,0.841,1.9,3.4,5.3,5.2,0.8,0.5,3.1,1.9,30.8,,118,116
Jay Vincent,24,10,,353,7.0,18.0,0.387,0.0,0.1,0.0,7.0,17.8,0.39,8.1,9.0,0.903,4.2,5.9,10.2,2.8,1.0,0.1,3.6,5.2,22.0,,104,114
Mark Aguirre,24,10,,350,12.9,26.9,0.478,0.0,0.7,0.0,12.9,26.2,0.49200000000000005,6.4,8.3,0.772,3.1,8.0,11.1,4.7,0.7,0.7,3.9,5.0,32.2,,107,113
Brad Davis,28,10,,304,5.6,12.3,0.452,0.0,0.3,0.0,5.6,12.0,0.465,2.5,3.2,0.789,1.0,2.2,3.2,8.4,1.0,0.0,3.0,3.0,13.6,,102,117
Pat Cummings,27,10,,300,8.0,19.6,0.409,0.0,0.0,,8.0,19.6,0.409,2.4,2.6,0.9329999999999999,4.4,7.8,12.3,2.6,0.7,0.3,1.5,5.1,18.4,,103,114
Derek Harper,22,10,,226,4.8,12.2,0.389,0.7,1.8,0.375,4.1,10.4,0.391,1.1,1.6,0.7140000000000001,1.8,2.7,4.5,6.3,2.5,0.5,1.4,3.6,11.3,,105,113
Dale Ellis,23,8,,178,7.5,23.0,0.325,0.3,3.5,0.083,7.2,19.6,0.368,1.7,2.3,0.75,5.5,6.6,12.1,1.2,2.9,0.6,1.4,4.9,17.0,,87,110
Kurt Nimphius,25,10,,178,4.0,9.5,0.424,0.0,0.0,,4.0,9.5,0.424,4.0,4.9,0.8240000000000001,5.8,9.5,15.2,3.7,0.0,4.0,2.6,6.9,12.1,,111,111
Bill Garnett,23,8,,74,10.4,20.8,0.5,0.7,0.7,1.0,9.7,20.1,0.483,4.8,5.5,0.875,6.9,8.3,15.2,2.8,0.0,1.4,0.7,6.9,26.3,,130,114
Elston Turner,24,8,,53,6.8,19.3,0.35,0.0,0.0,,6.8,19.3,0.35,0.0,0.0,,4.8,4.8,9.7,7.7,5.8,1.0,2.9,3.9,13.5,,88,105
Mark West,23,4,,32,8.0,14.4,0.556,0.0,0.0,,8.0,14.4,0.556,3.2,4.8,0.667,0.0,11.2,11.2,4.8,0.0,4.8,4.8,17.6,19.2,,97,108
Roger Phegley,27,1,,5,0.0,41.0,0.0,0.0,10.2,0.0,0.0,30.7,0.0,20.5,20.5,1.0,0.0,0.0,0.0,10.2,20.5,0.0,0.0,0.0,20.5,,64,79
