PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Bernard King,27,12,,477,16.5,28.7,0.574,0.0,0.1,0.0,16.5,28.6,0.5770000000000001,9.5,12.5,0.7559999999999999,2.8,4.7,7.5,3.7,1.4,0.6,3.2,4.9,42.4,,125,113
Bill Cartwright,26,12,,398,8.5,15.4,0.556,0.0,0.0,,8.5,15.4,0.556,8.4,9.8,0.863,3.3,8.8,12.1,0.6,0.2,1.7,3.2,5.4,25.5,,122,111
Rory Sparrow,25,12,,389,6.7,15.1,0.446,0.2,0.7,0.33299999999999996,6.5,14.3,0.452,3.0,3.7,0.8,1.2,2.0,3.2,10.7,1.5,0.1,3.7,5.1,16.7,,105,115
Truck Robinson,32,12,,362,5.1,9.9,0.514,0.0,0.0,,5.1,9.9,0.514,1.2,2.0,0.6,4.2,8.8,13.0,0.9,0.9,1.2,3.6,5.5,11.4,,92,110
Ray Williams,29,11,,310,7.2,20.3,0.354,0.3,1.9,0.16699999999999998,6.9,18.5,0.373,4.5,6.1,0.7440000000000001,1.3,4.9,6.1,13.8,2.7,0.2,6.4,6.1,19.2,,90,111
Trent Tucker,24,12,,254,8.0,16.0,0.5,0.2,1.0,0.2,7.8,15.1,0.519,1.1,1.9,0.6,1.1,2.3,3.4,5.2,2.1,0.6,2.3,6.1,17.4,,106,113
Louis Orr,25,12,,229,6.1,14.8,0.414,0.0,0.0,,6.1,14.8,0.414,3.2,4.0,0.789,4.7,5.9,10.6,1.3,0.8,0.2,2.1,6.8,15.5,,102,113
Marvin Webster,31,12,,204,3.3,6.9,0.483,0.0,0.0,,3.3,6.9,0.483,2.1,3.6,0.6,5.7,7.6,13.3,0.7,1.0,4.0,0.5,7.6,8.8,,127,109
Darrell Walker,22,12,,195,6.7,18.2,0.37,0.0,0.0,,6.7,18.2,0.37,7.0,11.4,0.609,5.0,3.7,8.7,5.0,6.0,0.5,8.0,7.2,20.4,,82,104
Ernie Grunfeld,28,11,,84,6.4,13.3,0.478,0.0,0.0,,6.4,13.3,0.478,2.3,2.3,1.0,0.6,4.6,5.2,3.5,1.2,0.0,2.3,6.9,15.0,,104,114
Eric Fernsten,30,2,,3,16.2,32.3,0.5,0.0,0.0,,16.2,32.3,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,,106,120
