PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Adrian Dantley,28,11,,454,12.3,24.5,0.504,0.0,0.0,,12.3,24.5,0.504,12.7,14.7,0.863,3.9,4.9,8.8,4.9,1.1,0.1,4.0,3.2,37.3,,122,113
Darrell Griffith,25,11,,417,9.3,21.0,0.44299999999999995,1.8,5.2,0.35600000000000004,7.5,15.8,0.47100000000000003,3.8,5.5,0.688,1.8,5.6,7.5,4.7,2.2,0.2,3.6,2.8,24.2,,103,110
Rickey Green,29,11,,404,7.6,17.9,0.424,0.1,0.5,0.25,7.5,17.4,0.429,3.8,5.1,0.7440000000000001,1.1,3.0,4.0,12.3,2.3,0.5,3.4,2.0,19.1,,106,112
Thurl Bailey,22,11,,340,7.0,13.7,0.515,0.0,0.3,0.0,7.0,13.4,0.526,2.4,3.0,0.81,2.1,6.5,8.6,1.4,0.3,1.5,2.3,4.6,16.5,,106,112
Mark Eaton,27,11,,254,4.0,7.7,0.512,0.0,0.0,,4.0,7.7,0.512,1.5,3.2,0.47100000000000003,3.6,10.7,14.3,1.7,0.9,6.4,3.0,6.2,9.4,,94,103
Jeff Wilkins,28,11,,205,7.0,13.3,0.526,0.0,0.0,,7.0,13.3,0.526,4.0,5.1,0.773,2.3,9.1,11.4,1.2,0.0,1.2,2.6,7.5,18.0,,109,111
Rich Kelley,30,11,,201,3.6,6.4,0.556,0.0,0.0,,3.6,6.4,0.556,6.0,6.9,0.862,4.5,9.3,13.8,5.2,2.1,1.4,4.0,10.0,13.1,,118,106
John Drew,29,11,,172,12.0,23.7,0.506,0.0,0.0,,12.0,23.7,0.506,7.2,9.2,0.7879999999999999,2.8,4.2,7.0,2.5,1.1,0.0,3.1,7.2,31.2,,112,113
Jerry Eaves,24,11,,132,8.0,16.7,0.478,0.4,1.1,0.33299999999999996,7.6,15.6,0.488,3.6,4.7,0.769,1.1,2.5,3.6,4.7,1.8,0.7,2.5,3.6,19.9,,108,113
Tom Boswell,30,5,,55,2.6,3.5,0.75,0.0,0.0,,2.6,3.5,0.75,1.7,4.4,0.4,1.7,3.5,5.2,1.7,0.0,0.9,3.5,10.4,7.0,,85,115
Bob Hansen,23,4,,18,5.3,18.6,0.28600000000000003,5.3,8.0,0.667,0.0,10.6,0.0,2.7,5.3,0.5,5.3,13.3,18.6,5.3,0.0,0.0,5.3,10.6,18.6,,91,109
J.J. Anderson,23,5,,13,18.4,29.5,0.625,3.7,3.7,1.0,14.7,25.8,0.5710000000000001,0.0,0.0,,11.0,3.7,14.7,0.0,0.0,3.7,0.0,7.4,40.5,,144,113
