PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Magic Johnson,24,21,,837,8.6,15.7,0.551,0.0,0.4,0.0,8.6,15.3,0.5660000000000001,4.6,5.7,0.8,1.5,6.5,8.0,16.3,2.4,1.1,4.5,4.1,21.9,,121,106
Kareem Abdul-Jabbar,36,21,,767,12.9,23.2,0.555,0.0,0.0,,12.9,23.2,0.555,5.6,7.5,0.75,3.5,7.3,10.8,4.9,1.4,2.8,2.8,4.4,31.4,,121,106
Michael Cooper,27,21,,723,5.8,12.7,0.461,0.8,2.4,0.33299999999999996,5.0,10.3,0.49,3.3,4.1,0.8059999999999999,1.3,4.1,5.4,7.9,1.6,1.3,1.9,5.3,15.8,,119,110
James Worthy,22,21,,708,11.1,18.6,0.599,0.1,0.1,0.5,11.0,18.4,0.599,2.8,4.7,0.609,2.4,4.7,7.1,3.8,1.8,0.7,2.6,3.9,25.1,,118,109
Bob McAdoo,32,20,,447,11.9,23.1,0.516,0.0,0.1,0.0,11.9,23.0,0.519,6.1,8.7,0.7040000000000001,3.2,8.4,11.6,1.3,1.3,2.9,4.2,6.8,29.9,,105,106
Kurt Rambis,25,21,,428,6.7,10.3,0.652,0.0,0.0,,6.7,10.3,0.652,2.4,3.7,0.636,3.7,9.9,13.6,1.6,1.1,1.1,2.5,6.4,15.8,,119,106
Byron Scott,22,20,,404,8.8,19.1,0.46,0.2,1.2,0.2,8.5,17.9,0.47700000000000004,2.5,4.2,0.6,1.3,3.1,4.4,4.0,2.1,0.2,3.1,4.6,20.3,,97,110
Mike McGee,24,17,,370,11.7,20.3,0.573,0.8,2.2,0.353,10.9,18.1,0.6,3.2,5.1,0.6409999999999999,2.9,1.6,4.4,3.0,1.4,0.1,3.5,6.7,27.3,,112,113
Jamaal Wilkes,30,14,,196,6.8,17.1,0.4,0.0,0.2,0.0,6.8,16.9,0.406,1.7,2.7,0.636,2.4,3.9,6.4,2.2,1.0,0.5,1.7,6.6,15.4,,94,112
Swen Nater,34,17,,146,6.2,12.5,0.5,0.0,0.0,,6.2,12.5,0.5,6.6,8.5,0.769,5.3,7.9,13.1,0.3,0.3,0.7,2.6,8.9,19.0,,117,110
Mitch Kupchak,29,9,,69,3.5,11.8,0.294,0.0,0.0,,3.5,11.8,0.294,5.6,9.7,0.5710000000000001,8.3,11.8,20.2,1.4,0.7,1.4,4.2,8.3,12.5,,89,105
Larry Spriggs,24,9,,45,7.5,20.2,0.368,0.0,0.0,,7.5,20.2,0.368,11.7,11.7,1.0,4.3,5.3,9.6,3.2,0.0,1.1,7.5,11.7,26.6,,96,112
