PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Trevor Ariza,24,72,71,36.5,5.5,13.9,0.39399999999999996,1.9,5.7,0.33399999999999996,3.6,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9
Kevin Martin,26,24,22,35.8,6.4,14.8,0.435,1.3,4.2,0.31,5.1,10.6,0.484,0.479,7.1,7.7,0.924,0.4,2.5,2.9,2.3,1.0,0.1,2.4,1.9,21.3
Aaron Brooks,25,82,82,35.6,7.0,16.2,0.43200000000000005,2.5,6.4,0.39799999999999996,4.5,9.8,0.45399999999999996,0.511,3.0,3.6,0.8220000000000001,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6
Luis Scola,29,82,82,32.6,6.8,13.3,0.514,0.0,0.1,0.2,6.8,13.2,0.515,0.514,2.5,3.3,0.779,2.1,6.5,8.6,2.1,0.8,0.3,2.0,3.0,16.2
Shane Battier,31,67,62,32.4,2.7,6.7,0.39799999999999996,1.5,4.2,0.36200000000000004,1.1,2.5,0.45799999999999996,0.511,1.1,1.6,0.726,1.1,3.6,4.7,2.4,0.8,1.1,1.0,2.1,8.0
Carl Landry,26,52,1,27.2,5.8,10.6,0.547,0.0,0.0,,5.8,10.6,0.547,0.547,4.5,5.4,0.8390000000000001,2.3,3.2,5.5,0.8,0.5,0.9,1.7,2.8,16.1
Kyle Lowry,23,68,0,24.3,2.7,6.8,0.397,0.5,2.0,0.272,2.2,4.8,0.44799999999999995,0.436,3.2,3.8,0.8270000000000001,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1
Chuck Hayes,26,82,82,21.6,2.0,4.0,0.489,0.0,0.0,,2.0,4.0,0.489,0.489,0.4,0.8,0.545,1.8,3.8,5.7,1.7,0.9,0.5,0.9,2.7,4.4
Chase Budinger,21,74,4,20.1,3.4,7.6,0.441,1.2,3.4,0.369,2.1,4.3,0.49700000000000005,0.522,0.9,1.2,0.77,0.5,2.5,3.0,1.2,0.5,0.1,0.6,1.1,8.9
Jared Jeffries,28,18,0,18.4,2.0,4.7,0.429,0.1,0.5,0.111,1.9,4.2,0.467,0.435,0.8,1.5,0.556,1.7,1.9,3.6,1.0,0.5,0.7,0.8,2.6,4.9
Jordan Hill,22,23,0,16.2,2.5,4.7,0.532,0.0,0.0,,2.5,4.7,0.532,0.532,1.3,2.0,0.66,1.9,3.0,5.0,0.6,0.2,0.5,0.8,2.4,6.4
David Andersen,29,63,0,14.1,2.3,5.4,0.43200000000000005,0.4,1.2,0.34600000000000003,1.9,4.2,0.45799999999999996,0.47200000000000003,0.7,1.1,0.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8
Garrett Temple,23,9,0,13.1,1.4,3.2,0.44799999999999995,0.3,1.3,0.25,1.1,1.9,0.588,0.5,1.8,2.7,0.667,0.2,1.3,1.6,0.8,0.4,0.4,1.6,1.8,5.0
Mike Harris,26,8,0,10.3,1.3,3.4,0.37,0.0,0.1,0.0,1.3,3.3,0.385,0.37,0.6,1.1,0.556,1.1,1.4,2.5,0.4,0.5,0.1,1.1,1.3,3.1
Jermaine Taylor,23,31,4,9.8,1.5,3.8,0.37799999999999995,0.2,0.7,0.22699999999999998,1.3,3.1,0.41200000000000003,0.39899999999999997,1.1,1.5,0.7170000000000001,0.7,0.8,1.5,0.5,0.3,0.1,0.6,0.5,4.1
Joey Dorsey,26,7,0,7.7,0.7,1.6,0.455,0.0,0.0,,0.7,1.6,0.455,0.455,0.1,0.3,0.5,1.6,2.0,3.6,0.3,0.3,0.1,0.6,1.7,1.6
Tracy McGrady,30,6,0,7.7,1.2,3.2,0.368,0.2,0.3,0.5,1.0,2.8,0.353,0.395,0.7,1.0,0.667,0.0,0.8,0.8,1.0,0.0,0.3,0.2,0.3,3.2
Will Conroy,27,5,0,7.2,0.6,2.0,0.3,0.0,0.6,0.0,0.6,1.4,0.429,0.3,0.0,0.4,0.0,0.0,0.6,0.6,1.4,0.0,0.0,0.8,1.0,1.2
Hilton Armstrong,25,9,0,4.4,0.6,1.9,0.294,0.0,0.1,0.0,0.6,1.8,0.313,0.294,0.0,0.2,0.0,0.6,0.1,0.7,0.3,0.6,0.0,0.6,1.1,1.1
Pops Mensah-Bonsu,26,4,0,3.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.8,1.5,0.5,0.3,0.8,1.0,0.3,0.3,0.3,0.0,0.8,1.3
Brian Cook,29,15,0,2.9,0.5,1.5,0.304,0.1,0.6,0.222,0.3,0.9,0.35700000000000004,0.348,0.3,0.5,0.7140000000000001,0.1,0.5,0.6,0.1,0.0,0.1,0.4,0.3,1.4
