Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1987,23.0,CLE,NBA,SF,59.0,630.0,9.8,0.475,0.08,0.276,6.2,5.8,6.0,6.4,1.5,0.6,13.0,22.5,,-0.2,0.5,0.3,0.024,,-3.4,-1.1,-4.4,-0.4
1988,24.0,NYK,NBA,SF,77.0,1589.0,12.1,0.531,0.15,0.397,6.1,5.4,5.7,5.7,2.2,0.4,12.4,21.2,,1.6,1.5,3.1,0.093,,-1.5,-0.4,-1.9,0.1
1989,25.0,NYK,NBA,SF,81.0,2336.0,15.3,0.582,0.3,0.367,4.3,5.5,4.9,9.4,2.2,0.6,12.1,21.0,,4.9,1.8,6.7,0.138,,1.2,-0.1,1.1,1.8
1990,26.0,NYK,NBA,SF,80.0,2277.0,12.7,0.562,0.181,0.38,3.0,6.2,4.7,11.3,2.0,0.6,13.5,19.4,,2.8,1.7,4.5,0.095,,-1.1,0.0,-1.1,0.5
1991,27.0,CHH,NBA,SF,81.0,2477.0,15.1,0.559,0.083,0.468,4.2,7.6,5.9,11.9,2.0,0.4,13.4,24.3,,2.8,1.3,4.1,0.08,,-0.2,-0.8,-1.0,0.7
1992,28.0,CHH,NBA,SF,55.0,1651.0,13.6,0.557,0.074,0.498,4.5,7.2,5.8,12.1,2.0,0.5,14.6,21.6,,1.6,0.8,2.3,0.068,,-1.1,-0.9,-2.0,0.0
1993,29.0,CHH,NBA,SF,64.0,1471.0,15.5,0.597,0.084,0.449,5.5,4.9,5.2,11.4,1.5,0.7,12.3,20.5,,3.1,0.6,3.7,0.12,,1.0,-1.0,0.0,0.8
1994,30.0,TOT,NBA,SF,81.0,1697.0,14.1,0.545,0.136,0.339,5.4,5.9,5.7,6.7,2.0,1.0,10.6,21.3,,2.4,1.3,3.7,0.106,,-1.0,-0.3,-1.3,0.3
1994,30.0,CHH,NBA,SF,18.0,429.0,16.9,0.585,0.092,0.339,5.6,9.3,7.5,10.6,2.1,0.7,12.3,22.6,,0.8,0.3,1.0,0.116,,0.9,-0.5,0.5,0.3
1994,30.0,NJN,NBA,SF,63.0,1268.0,13.2,0.531,0.151,0.339,5.3,4.8,5.1,5.4,2.0,1.1,9.9,20.8,,1.6,1.1,2.7,0.102,,-1.6,-0.2,-1.8,0.1
1995,31.0,MIL,NBA,SF,82.0,1896.0,10.4,0.563,0.262,0.35,4.4,6.6,5.5,7.5,1.9,0.5,13.2,15.2,,1.9,0.8,2.8,0.07,,-2.5,-0.2,-2.7,-0.3
1996,32.0,MIL,NBA,SG,82.0,2690.0,11.5,0.592,0.25,0.357,3.0,6.2,4.6,8.8,1.8,0.4,12.6,14.6,,3.7,0.7,4.4,0.079,,-1.2,-0.1,-1.4,0.4
1997,33.0,MIL,NBA,SF,82.0,2060.0,10.8,0.545,0.179,0.452,3.9,7.1,5.5,8.9,1.9,0.6,14.9,17.3,,1.6,1.2,2.8,0.065,,-2.4,-0.2,-2.6,-0.3
1998,34.0,DEN,NBA,SF,74.0,2176.0,14.9,0.547,0.131,0.557,2.6,5.1,3.8,12.2,1.9,0.8,12.9,23.9,,3.2,-0.4,2.7,0.06,,-0.4,-2.2,-2.6,-0.3
1999,35.0,CLE,NBA,SF,50.0,949.0,9.2,0.526,0.243,0.335,2.0,8.0,5.0,8.1,1.6,1.0,12.5,16.9,,0.5,0.7,1.2,0.059,,-2.7,-0.4,-3.1,-0.3
2001,37.0,NJN,NBA,SG,82.0,2049.0,13.0,0.542,0.253,0.427,1.9,8.2,4.9,10.0,1.6,0.4,11.4,20.6,,2.7,0.7,3.4,0.081,,-1.0,-1.1,-2.1,0.0
2002,38.0,DAL,NBA,SF,47.0,724.0,8.3,0.571,0.385,0.392,1.4,6.0,3.8,2.7,2.1,0.4,10.8,12.1,,0.6,0.3,0.9,0.061,,-3.0,0.4,-2.6,-0.1
