SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,2,BOS,Reggie Lewis,27.0,80,80.0,3144,663,1410,0.47,14,60,0.23,649,1350,0.48,0.48,326,376,0.87,88,259,347,298,118,77,133,248,1666
1993,2,BOS,Kevin Gamble,27.0,82,58.0,2541,459,906,0.51,52,139,0.37,407,767,0.53,0.54,123,149,0.83,46,200,246,226,86,37,81,185,1093
1993,2,BOS,Dee Brown,24.0,80,48.0,2254,328,701,0.47,26,82,0.32,302,619,0.49,0.49,192,242,0.79,45,201,246,461,138,32,136,203,874
1993,2,BOS,Xavier McDaniel,29.0,82,27.0,2215,457,924,0.5,6,22,0.27,451,902,0.5,0.5,191,241,0.79,168,321,489,163,72,51,171,249,1111
1993,2,BOS,Robert Parish,39.0,79,79.0,2146,416,777,0.54,0,0,,416,777,0.54,0.54,162,235,0.69,246,494,740,61,57,107,120,201,994
1993,2,BOS,Sherman Douglas,26.0,79,36.0,1932,264,530,0.5,6,29,0.21,258,501,0.52,0.5,84,150,0.56,65,97,162,508,49,10,161,166,618
1993,2,BOS,Kevin McHale,35.0,71,0.0,1656,298,649,0.46,2,18,0.11,296,631,0.47,0.46,164,195,0.84,95,263,358,73,16,59,92,126,762
1993,2,BOS,Alaa Abdelnaby,24.0,63,52.0,1152,219,417,0.52,0,0,,219,417,0.52,0.52,76,100,0.76,114,186,300,17,19,22,84,165,514
1993,2,BOS,Joe Kleine,31.0,78,3.0,1129,108,267,0.4,0,6,0.0,108,261,0.41,0.4,41,58,0.71,113,233,346,39,17,17,37,123,257
1993,2,BOS,Rick Fox,23.0,71,14.0,1082,184,380,0.48,4,23,0.17,180,357,0.5,0.49,81,101,0.8,55,104,159,113,61,21,77,133,453
1993,2,BOS,Lorenzo Williams,23.0,22,7.0,151,16,31,0.52,0,0,,16,31,0.52,0.52,2,7,0.29,13,31,44,5,4,14,6,23,34
1993,2,BOS,Ed Pinckney,29.0,7,5.0,151,10,24,0.42,0,0,,10,24,0.42,0.42,12,13,0.92,14,29,43,1,4,7,8,13,32
1993,2,BOS,John Bagley,32.0,10,0.0,97,9,25,0.36,0,1,0.0,9,24,0.38,0.36,5,6,0.83,1,6,7,20,2,0,17,11,23
1993,2,BOS,Marcus Webb,22.0,9,0.0,51,13,25,0.52,0,1,0.0,13,24,0.54,0.52,13,21,0.62,5,5,10,2,1,2,5,11,39
1993,2,BOS,Bart Kofoed,28.0,7,0.0,41,3,13,0.23,0,1,0.0,3,12,0.25,0.23,11,14,0.79,0,1,1,10,2,1,3,1,17
1993,2,BOS,Kenny Battle,28.0,3,1.0,29,6,13,0.46,0,1,0.0,6,12,0.5,0.46,2,2,1.0,7,4,11,2,1,0,2,2,14
1993,2,BOS,Joe Wolf,28.0,2,0.0,9,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,1,2,3,0,0,1,2,2,1
1993,2,BOS,Team Totals,,82,,19780,3453,7093,0.49,110,383,0.29,3343,6710,0.5,0.5,1486,1912,0.78,1076,2436,3512,1999,647,458,1174,1862,8502
