Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010,21,1375,OKC,Oklahoma City Thunder,20.0,NBA,PF,73.0,1323.0,15.2,0.56,0.0,0.25,12.3,21.9,17.2,1.2,1.0,5.5,14.2,16.2,1.3,2.4,3.7,0.13,-2.4,0.9,-1.5,0.2
2011,21,1375,OKC,Oklahoma City Thunder,21.0,NBA,PF,82.0,2216.0,17.7,0.58,0.0,0.3,11.7,20.8,16.4,1.6,0.7,6.5,9.2,15.7,4.3,3.2,7.6,0.16,-0.2,0.7,0.5,1.4
2012,21,1375,OKC,Oklahoma City Thunder,22.0,NBA,PF,66.0,1792.0,19.0,0.56,0.01,0.24,13.2,18.2,15.9,2.5,1.0,9.8,12.7,15.7,3.0,3.2,6.2,0.17,0.1,2.3,2.3,1.9
2013,21,1375,OKC,Oklahoma City Thunder,23.0,NBA,PF,80.0,2486.0,19.4,0.61,0.07,0.25,11.1,17.0,14.2,2.8,0.6,7.4,12.7,18.1,5.3,4.1,9.4,0.18,0.9,0.7,1.5,2.2
2014,21,1375,OKC,Oklahoma City Thunder,24.0,NBA,PF,81.0,2666.0,19.6,0.58,0.06,0.2,10.0,19.6,15.0,5.2,0.7,6.7,10.3,19.8,5.2,4.4,9.6,0.17,1.1,0.6,1.7,2.5
2015,21,1375,OKC,Oklahoma City Thunder,25.0,NBA,PF,64.0,2116.0,16.6,0.55,0.26,0.14,7.0,18.1,12.6,4.2,0.7,5.8,10.4,18.9,2.9,2.7,5.6,0.13,0.5,0.4,0.9,1.6
2016,21,1375,OKC,Oklahoma City Thunder,26.0,NBA,PF,78.0,2500.0,13.9,0.53,0.21,0.14,6.5,16.2,11.6,3.9,0.8,4.5,10.5,17.6,2.5,3.0,5.5,0.1,-0.6,0.0,-0.6,0.8
2017,31,1375,TOT,Total After Trade,27.0,NBA,PF,79.0,2422.0,16.4,0.57,0.32,0.13,5.7,19.0,12.2,5.2,0.8,4.2,9.2,20.9,2.5,2.6,5.1,0.1,0.4,-0.3,0.1,1.2
2017,22,1375,ORL,Orlando Magic,27.0,NBA,PF,56.0,1710.0,17.5,0.57,0.3,0.13,6.2,18.5,12.2,5.9,1.0,4.3,8.2,20.8,2.1,1.7,3.8,0.11,0.9,-0.2,0.7,1.2
2017,28,1375,TOR,Toronto Raptors,27.0,NBA,PF,23.0,712.0,13.8,0.56,0.37,0.12,4.6,20.1,12.4,3.3,0.5,4.0,11.7,20.9,0.4,0.8,1.3,0.08,-0.8,-0.6,-1.5,0.1
2018,28,1375,TOR,Toronto Raptors,28.0,NBA,PF,76.0,2093.0,14.7,0.57,0.38,0.15,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,2.1,3.0,5.1,0.12,-0.1,0.0,-0.1,1.0
2019,28,1375,TOR,Toronto Raptors,29.0,NBA,C,74.0,2010.0,18.7,0.58,0.19,0.2,8.6,23.2,16.1,7.7,0.7,4.3,10.7,22.9,2.8,3.3,6.1,0.15,0.2,0.1,0.2,1.2
2020,28,1375,TOR,Toronto Raptors,30.0,NBA,C,55.0,1485.0,17.3,0.58,0.27,0.18,8.3,23.5,16.1,8.6,0.9,3.0,13.1,24.0,1.2,2.7,3.9,0.13,0.1,0.0,0.1,0.8
2021,13,1375,LAC,Los Angeles Clippers,31.0,NBA,C,17.0,428.0,18.1,0.61,0.29,0.19,8.4,20.6,14.6,10.7,0.5,4.2,12.2,20.3,0.8,0.5,1.3,0.15,0.9,-1.0,-0.1,0.2
