Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",19.0,NBA,SF,61.0,45.0,27.3,4.6,10.6,0.43,0.5,1.9,0.26,4.1,8.7,0.47,0.46,2.0,2.7,0.74,1.5,3.8,5.3,2.2,0.8,0.4,1.9,1.6,11.7
2006,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",20.0,NBA,SF,78.0,56.0,33.4,5.7,12.2,0.46,0.3,1.0,0.27,5.4,11.2,0.48,0.47,2.7,3.5,0.75,1.6,5.0,6.6,1.9,0.9,0.6,1.3,1.6,14.3
2007,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",21.0,NBA,SF,82.0,82.0,37.5,7.7,14.9,0.52,0.0,0.1,0.14,7.7,14.8,0.52,0.52,3.4,4.4,0.78,1.8,5.3,7.1,2.5,1.2,0.6,1.9,2.0,18.8
2008,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",22.0,NBA,SF,63.0,59.0,33.8,6.8,14.2,0.48,0.1,0.3,0.36,6.7,13.9,0.48,0.48,3.2,4.2,0.77,2.2,4.1,6.3,2.5,0.9,0.5,1.9,1.9,17.0
2009,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",23.0,NBA,SF,49.0,46.0,34.0,5.4,12.1,0.45,0.2,0.4,0.4,5.2,11.7,0.45,0.46,3.1,3.9,0.8,1.6,4.4,6.0,1.9,1.2,0.5,1.5,1.7,14.1
2010,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",24.0,NBA,SF,70.0,69.0,37.9,6.8,14.5,0.47,0.5,1.2,0.39,6.3,13.3,0.47,0.48,3.6,4.7,0.76,1.9,5.4,7.3,2.0,0.9,0.9,1.9,1.8,17.6
2011,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",25.0,NBA,SF,82.0,82.0,39.1,6.5,14.1,0.46,1.4,4.1,0.34,5.1,10.0,0.51,0.51,3.1,4.1,0.75,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0,17.4
2012,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",26.0,NBA,SF,54.0,54.0,39.4,5.8,14.0,0.41,1.5,4.0,0.37,4.3,10.0,0.43,0.46,2.4,3.1,0.77,1.4,5.1,6.5,2.9,1.0,0.7,1.8,1.5,15.3
2013,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",27.0,NBA,SF,75.0,75.0,38.7,6.2,14.6,0.43,1.0,3.1,0.32,5.2,11.5,0.46,0.46,3.1,3.8,0.82,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,16.5
2014,31,731,TOT,Total After Trade,Luol Deng,"April 16, 1985",28.0,NBA,SF,63.0,63.0,35.1,5.9,13.7,0.43,0.9,3.0,0.3,5.0,10.7,0.47,0.46,3.4,4.3,0.79,1.6,4.2,5.7,2.9,1.0,0.1,1.8,1.8,16.0
2014,5,731,CHI,Chicago Bulls,Luol Deng,"April 16, 1985",28.0,NBA,SF,23.0,23.0,37.4,7.0,15.4,0.45,0.7,2.7,0.27,6.2,12.7,0.49,0.48,4.4,5.4,0.82,1.7,5.1,6.9,3.7,1.0,0.2,2.6,2.3,19.0
2014,6,731,CLE,Cleveland Cavaliers,Luol Deng,"April 16, 1985",28.0,NBA,SF,40.0,40.0,33.8,5.3,12.7,0.42,1.0,3.2,0.32,4.3,9.5,0.45,0.46,2.8,3.6,0.77,1.5,3.6,5.1,2.5,1.0,0.1,1.4,1.5,14.3
2015,16,731,MIA,Miami Heat,Luol Deng,"April 16, 1985",29.0,NBA,SF,72.0,72.0,33.6,5.1,10.9,0.47,1.1,3.1,0.36,4.0,7.9,0.51,0.52,2.7,3.5,0.76,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14.0
2016,16,731,MIA,Miami Heat,Luol Deng,"April 16, 1985",30.0,NBA,PF,74.0,73.0,32.4,4.6,10.1,0.46,1.2,3.5,0.34,3.4,6.6,0.51,0.51,2.0,2.6,0.76,1.5,4.5,6.0,1.9,1.0,0.4,1.1,1.6,12.3
2017,14,731,LAL,Los Angeles Lakers,Luol Deng,"April 16, 1985",31.0,NBA,SF,56.0,49.0,26.5,2.9,7.6,0.39,0.9,2.9,0.31,2.0,4.6,0.44,0.45,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
2018,14,731,LAL,Los Angeles Lakers,Luol Deng,"April 16, 1985",32.0,NBA,SF,1.0,1.0,13.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
2019,18,731,MIN,Minnesota Timberwolves,Luol Deng,"April 16, 1985",33.0,NBA,SF,22.0,2.0,17.8,2.7,5.4,0.5,0.6,2.0,0.32,2.0,3.4,0.61,0.56,1.1,1.6,0.71,0.9,2.4,3.3,0.8,0.7,0.4,0.6,1.1,7.1
