Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2012,21,1415,OKC,Oklahoma City Thunder,Reggie Jackson,"April 16, 1990",21.0,NBA,PG,45.0,0.0,501.0,51.0,159.0,0.32,13.0,62.0,0.21,38.0,97.0,0.39,0.36,25.0,29.0,0.86,14.0,39.0,53.0,71.0,25.0,1.0,36.0,31.0,140.0,,0.0
2013,21,1415,OKC,Oklahoma City Thunder,Reggie Jackson,"April 16, 1990",22.0,NBA,PG,70.0,0.0,993.0,149.0,325.0,0.46,24.0,104.0,0.23,125.0,221.0,0.57,0.5,52.0,62.0,0.84,21.0,145.0,166.0,122.0,29.0,13.0,53.0,84.0,374.0,,0.0
2014,21,1415,OKC,Oklahoma City Thunder,Reggie Jackson,"April 16, 1990",23.0,NBA,PG,80.0,36.0,2277.0,403.0,916.0,0.44,83.0,245.0,0.34,320.0,671.0,0.48,0.48,158.0,177.0,0.89,43.0,270.0,313.0,331.0,85.0,9.0,168.0,142.0,1047.0,,0.0
2015,31,1415,TOT,Total After Trade,Reggie Jackson,"April 16, 1990",24.0,NBA,PG,77.0,40.0,2268.0,432.0,996.0,0.43,72.0,241.0,0.3,360.0,755.0,0.48,0.47,181.0,218.0,0.83,56.0,271.0,327.0,462.0,62.0,9.0,186.0,167.0,1117.0,,2.0
2015,21,1415,OKC,Oklahoma City Thunder,Reggie Jackson,"April 16, 1990",24.0,NBA,PG,50.0,13.0,1398.0,249.0,576.0,0.43,44.0,158.0,0.28,205.0,418.0,0.49,0.47,99.0,115.0,0.86,28.0,173.0,201.0,214.0,42.0,5.0,91.0,94.0,641.0,,0.0
2015,9,1415,DET,Detroit Pistons,Reggie Jackson,"April 16, 1990",24.0,NBA,PG,27.0,27.0,870.0,183.0,420.0,0.44,28.0,83.0,0.34,155.0,337.0,0.46,0.47,82.0,103.0,0.8,28.0,98.0,126.0,248.0,20.0,4.0,95.0,73.0,476.0,,2.0
2016,9,1415,DET,Detroit Pistons,Reggie Jackson,"April 16, 1990",25.0,NBA,PG,79.0,79.0,2424.0,540.0,1244.0,0.43,118.0,334.0,0.35,422.0,910.0,0.46,0.48,291.0,337.0,0.86,58.0,195.0,253.0,492.0,59.0,11.0,223.0,187.0,1489.0,,0.0
2017,9,1415,DET,Detroit Pistons,Reggie Jackson,"April 16, 1990",26.0,NBA,PG,52.0,50.0,1424.0,284.0,677.0,0.42,66.0,184.0,0.36,218.0,493.0,0.44,0.47,118.0,136.0,0.87,21.0,93.0,114.0,270.0,35.0,5.0,114.0,129.0,752.0,,0.0
2018,9,1415,DET,Detroit Pistons,Reggie Jackson,"April 16, 1990",27.0,NBA,PG,45.0,45.0,1201.0,246.0,577.0,0.43,52.0,169.0,0.31,194.0,408.0,0.48,0.47,112.0,134.0,0.84,29.0,96.0,125.0,238.0,27.0,4.0,99.0,87.0,656.0,,0.0
2019,9,1415,DET,Detroit Pistons,Reggie Jackson,"April 16, 1990",28.0,NBA,PG,82.0,82.0,2289.0,441.0,1047.0,0.42,174.0,471.0,0.37,267.0,576.0,0.46,0.5,204.0,236.0,0.86,45.0,171.0,216.0,344.0,55.0,9.0,148.0,208.0,1260.0,,0.0
2020,31,1415,TOT,Total After Trade,Reggie Jackson,"April 16, 1990",29.0,NBA,"PG,SG",31.0,16.0,743.0,134.0,326.0,0.41,57.0,145.0,0.39,77.0,181.0,0.42,0.5,45.0,54.0,0.83,17.0,75.0,92.0,126.0,13.0,5.0,51.0,59.0,370.0,,0.0
2020,9,1415,DET,Detroit Pistons,Reggie Jackson,"April 16, 1990",29.0,NBA,PG,14.0,10.0,381.0,76.0,198.0,0.38,31.0,82.0,0.38,45.0,116.0,0.39,0.46,26.0,33.0,0.79,11.0,30.0,41.0,72.0,8.0,1.0,23.0,21.0,209.0,,0.0
2020,13,1415,LAC,Los Angeles Clippers,Reggie Jackson,"April 16, 1990",29.0,NBA,SG,17.0,6.0,362.0,58.0,128.0,0.45,26.0,63.0,0.41,32.0,65.0,0.49,0.56,19.0,21.0,0.9,6.0,45.0,51.0,54.0,5.0,4.0,28.0,38.0,161.0,,0.0
2021,13,1415,LAC,Los Angeles Clippers,Reggie Jackson,"April 16, 1990",30.0,NBA,SG,21.0,8.0,394.0,60.0,140.0,0.43,27.0,71.0,0.38,33.0,69.0,0.48,0.52,15.0,22.0,0.68,5.0,53.0,58.0,60.0,12.0,2.0,19.0,36.0,162.0,,0.0
