Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2002,17,54,MIL,Milwaukee Bucks,34,Ray Allen,SG,6-5,205,"July 20, 1975",US,5,UConn
2002,17,60,MIL,Milwaukee Bucks,11,Rafer Alston,PG,6-2,171,"July 24, 1976",US,2,Fresno State
2002,17,95,MIL,Milwaukee Bucks,50,Greg Anthony,PG,6-0,176,"November 15, 1967",US,10,"University of Portland, UNLV"
2002,17,450,MIL,Milwaukee Bucks,35,Jason Caffey,PF,6-8,255,"June 12, 1973",US,6,Alabama
2002,17,497,MIL,Milwaukee Bucks,10,Sam Cassell,PG,6-3,185,"November 18, 1969",US,8,Florida State
2002,17,944,MIL,Milwaukee Bucks,44,Greg Foster,PF,6-11,240,"October 3, 1968",US,11,"UCLA, Texas-El Paso"
2002,17,1155,MIL,Milwaukee Bucks,21,Darvin Ham,SF,6-7,220,"July 23, 1973",US,4,Texas Tech
2002,17,1486,MIL,Milwaukee Bucks,40,Ervin Johnson,C,6-11,245,"December 21, 1967",US,8,New Orleans
2002,17,1864,MIL,Milwaukee Bucks,17,Anthony Mason,PF,6-7,250,"December 14, 1966",US,11,Tennessee State
2002,17,2333,MIL,Milwaukee Bucks,41,Mark Pope,PF,6-10,235,"September 11, 1972",US,3,"Washington, Kentucky"
2002,17,2370,MIL,Milwaukee Bucks,6-45,Joel Przybilla,C,7-1,255,"October 10, 1979",US,1,Minnesota
2002,17,2409,MIL,Milwaukee Bucks,22,Michael Redd,SG,6-6,220,"August 24, 1979",US,1,Ohio State
2002,17,2475,MIL,Milwaukee Bucks,13,Glenn Robinson,SF,6-7,225,"January 10, 1973",US,7,Purdue
2002,17,2858,MIL,Milwaukee Bucks,5,Tim Thomas,SF,6-10,230,"February 26, 1977",US,4,Villanova
