Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,10,GSW,Golden State Warriors,82,241.2,41.5,90.3,0.46,9.3,26.6,0.35,32.2,63.7,0.51,18.8,24.9,0.75,12.7,30.4,43.2,22.4,9.1,4.6,13.2,22.9,111.0
2008,8,DEN,Denver Nuggets,82,242.1,40.3,85.8,0.47,6.9,19.6,0.36,33.4,66.3,0.5,23.1,30.7,0.75,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,110.7
2008,24,PHO,Phoenix Suns,82,241.2,41.4,82.7,0.5,8.5,21.5,0.39,32.9,61.2,0.54,18.9,24.1,0.78,8.8,32.7,41.5,26.7,6.5,6.3,14.4,19.9,110.1
2008,14,LAL,Los Angeles Lakers,82,241.2,39.6,83.1,0.48,8.1,21.4,0.38,31.5,61.8,0.51,21.3,27.7,0.77,11.0,33.2,44.1,24.4,8.0,5.3,14.1,20.6,108.6
2008,29,UTA,Utah Jazz,82,240.3,40.0,80.4,0.5,5.0,13.4,0.37,35.0,67.0,0.52,21.3,28.0,0.76,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,106.2
2008,22,ORL,Orlando Magic,82,241.2,37.3,78.6,0.47,9.8,25.3,0.39,27.5,53.3,0.52,20.1,27.9,0.72,9.4,32.6,42.0,20.8,6.3,4.1,14.3,20.6,104.5
2008,12,IND,Indiana Pacers,82,240.9,37.8,85.3,0.44,9.2,24.6,0.37,28.6,60.6,0.47,19.1,24.9,0.77,11.0,32.1,43.1,22.7,7.6,5.0,15.1,23.4,104.0
2008,26,SAC,Sacramento Kings,82,241.8,37.1,80.0,0.46,6.2,16.7,0.37,30.9,63.3,0.49,22.1,27.7,0.8,10.1,30.0,40.1,19.1,7.9,4.1,16.1,22.4,102.5
2008,19,NOH,New Orleans Hornets,82,241.5,38.6,82.9,0.47,7.7,19.8,0.39,30.9,63.1,0.49,16.0,20.8,0.77,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,100.9
2008,15,MEM,Memphis Grizzlies,82,241.5,37.3,82.2,0.45,7.6,21.7,0.35,29.8,60.5,0.49,18.5,25.6,0.72,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,100.7
2008,2,BOS,Boston Celtics,82,240.9,36.4,76.7,0.48,7.3,19.1,0.38,29.1,57.6,0.51,20.5,26.5,0.77,10.1,31.9,42.0,22.4,8.5,4.6,15.2,22.7,100.5
2008,7,DAL,Dallas Mavericks,82,240.6,36.9,79.5,0.46,6.0,17.1,0.35,30.9,62.3,0.5,20.6,25.3,0.81,10.8,32.2,43.0,21.0,6.0,4.9,12.6,21.8,100.4
2008,28,TOR,Toronto Raptors,82,241.8,38.4,82.0,0.47,7.0,17.8,0.39,31.4,64.2,0.49,16.4,20.2,0.81,9.6,30.4,40.1,23.8,7.0,4.1,11.7,19.5,100.2
2008,30,WAS,Washington Wizards,82,242.7,36.4,81.6,0.45,7.0,19.7,0.36,29.4,62.0,0.48,19.0,24.3,0.78,12.3,29.3,41.6,19.6,7.7,4.8,13.2,19.6,98.8
