Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,29,84,UTA,Utah Jazz,23.0,NBA,SG,65.0,0.0,1066.0,5.0,10.7,0.46,0.8,1.6,0.51,4.2,9.2,0.45,2.3,3.3,0.69,1.8,4.3,6.0,1.7,0.9,0.3,2.5,3.8,13.0
1998,29,84,UTA,Utah Jazz,24.0,NBA,SG,82.0,2.0,1602.0,6.0,11.2,0.54,0.2,0.7,0.22,5.9,10.5,0.56,3.1,4.2,0.74,1.9,3.2,5.1,2.0,1.5,0.4,2.0,3.3,15.3
1999,29,84,UTA,Utah Jazz,25.0,NBA,SG,50.0,2.0,1072.0,5.4,12.2,0.45,0.5,1.4,0.34,5.0,10.8,0.46,3.0,4.2,0.71,1.6,2.8,4.4,1.9,1.3,0.3,2.2,3.0,14.3
2001,11,84,HOU,Houston Rockets,27.0,NBA,SG,82.0,82.0,2396.0,4.0,8.9,0.45,0.7,2.6,0.27,3.3,6.3,0.52,2.1,2.8,0.73,1.1,3.9,5.0,2.8,1.2,0.6,2.0,3.0,10.7
2002,20,84,NYK,New York Knicks,28.0,NBA,SG,82.0,6.0,1596.0,3.4,8.4,0.4,0.9,3.2,0.28,2.5,5.2,0.47,1.7,2.4,0.69,1.3,4.3,5.6,1.7,1.1,0.3,2.2,3.0,9.3
2003,20,84,NYK,New York Knicks,29.0,NBA,SF,82.0,9.0,1731.0,5.2,11.2,0.46,1.1,2.9,0.37,4.1,8.3,0.49,2.9,4.0,0.73,1.3,4.0,5.3,1.8,1.5,0.4,2.4,3.7,14.3
2004,20,84,NYK,New York Knicks,30.0,NBA,SG,80.0,37.0,1974.0,4.3,10.3,0.42,0.7,2.3,0.28,3.7,8.0,0.46,2.2,2.9,0.76,1.0,3.1,4.0,2.2,1.2,0.3,2.2,3.3,11.6
2005,31,84,TOT,Total After Trade,31.0,NBA,"SF,SG",66.0,5.0,1171.0,3.0,6.7,0.45,0.2,0.9,0.17,2.9,5.8,0.5,1.7,2.0,0.82,1.3,4.6,5.9,2.2,1.2,0.4,1.5,4.2,7.8
2005,20,84,NYK,New York Knicks,31.0,NBA,SG,1.0,0.0,20.0,0.0,3.6,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.0,0.0,,1.8,0.0,1.8,0.0,0.0,0.0,1.8,3.6,0.0
2005,16,84,MIA,Miami Heat,31.0,NBA,SF,65.0,5.0,1151.0,3.1,6.7,0.46,0.2,0.9,0.18,2.9,5.8,0.5,1.7,2.1,0.82,1.3,4.7,5.9,2.2,1.3,0.4,1.5,4.3,8.0
2006,16,84,MIA,Miami Heat,32.0,NBA,SF,48.0,1.0,638.0,3.0,7.1,0.43,0.3,1.1,0.26,2.8,6.0,0.46,0.7,1.0,0.72,1.0,3.6,4.6,1.7,1.0,0.3,1.4,4.2,7.1
