Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1980,26,KCK,Kansas City Kings,10,Otis Birdsong,SG,6-3,190,1955-12-09,US,2,Houston
1980,26,KCK,Kansas City Kings,16,Tom Burleson,C,7-2,225,1952-02-24,US,5,NC State
1980,26,KCK,Kansas City Kings,12,Terry Crosby,PG,6-4,195,1957-01-04,US,R,Tennessee
1980,26,KCK,Kansas City Kings,41,Len Elmore,C,6-9,220,1952-03-28,US,5,Maryland
1980,26,KCK,Kansas City Kings,1,Phil Ford,PG,6-2,175,1956-02-09,US,1,UNC
1980,26,KCK,Kansas City Kings,22,Gus Gerard,SF,6-8,200,1953-07-27,US,5,Virginia
1980,26,KCK,Kansas City Kings,23,Mike Green,C,6-10,200,1951-08-06,US,6,Louisiana Tech
1980,26,KCK,Kansas City Kings,20,Ernie Grunfeld,SF,6-6,210,1955-04-24,RO,2,Tennessee
1980,26,KCK,Kansas City Kings,51,Reggie King,PF,6-6,225,1957-02-14,US,R,Alabama
1980,26,KCK,Kansas City Kings,44,Sam Lacey,C,6-10,235,1948-03-28,US,9,New Mexico State
1980,26,KCK,Kansas City Kings,25,Billy McKinney,PG,6-0,160,1955-06-05,US,1,Northwestern
1980,26,KCK,Kansas City Kings,4,Marlon Redmond,SG,6-6,188,1955-04-15,US,1,San Francisco
1980,26,KCK,Kansas City Kings,52,Bill Robinzine,PF,6-7,230,1953-01-20,US,4,DePaul
1980,26,KCK,Kansas City Kings,15,Scott Wedman,SF,6-7,215,1952-07-29,US,5,Colorado
