Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,27,713,SAS,San Antonio Spurs,25.0,NBA,SG,72.0,6.0,920.0,105.0,241.0,0.44,31.0,82.0,0.38,74.0,159.0,0.46,0.5,35.0,44.0,0.8,23.0,115.0,138.0,138.0,41.0,6.0,81.0,87.0,276.0
2014,31,713,TOT,Total After Trade,26.0,NBA,SF,47.0,3.0,494.0,64.0,153.0,0.42,18.0,53.0,0.34,46.0,100.0,0.46,0.48,31.0,35.0,0.89,14.0,59.0,73.0,65.0,22.0,6.0,35.0,48.0,177.0
2014,27,713,SAS,San Antonio Spurs,26.0,NBA,SF,26.0,3.0,301.0,42.0,93.0,0.45,10.0,31.0,0.32,32.0,62.0,0.52,0.5,18.0,22.0,0.82,6.0,39.0,45.0,32.0,15.0,3.0,21.0,25.0,112.0
2014,28,713,TOR,Toronto Raptors,26.0,NBA,SF,21.0,0.0,193.0,22.0,60.0,0.37,8.0,22.0,0.36,14.0,38.0,0.37,0.43,13.0,13.0,1.0,8.0,20.0,28.0,33.0,7.0,3.0,14.0,23.0,65.0
