Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1995,21,SEA,Seattle Supersonics,Gary Payton,26,4,4,172,10.2,21.4,0.48,0.6,3.2,0.2,9.6,18.2,0.53,1.6,3.8,0.42,1.9,1.3,3.2,6.7,1.6,0.0,2.6,4.2,22.7,,107,113
1995,21,SEA,Seattle Supersonics,Shawn Kemp,25,4,4,160,11.3,19.6,0.58,0.3,0.3,1.0,11.0,19.2,0.57,11.0,13.4,0.82,5.8,10.6,16.5,3.8,2.7,2.4,5.2,5.8,34.0,,124,101
1995,21,SEA,Seattle Supersonics,Detlef Schrempf,32,4,4,153,8.3,20.5,0.4,3.6,6.5,0.56,4.7,14.0,0.33,6.8,8.6,0.79,0.7,6.1,6.8,4.3,1.1,0.7,4.0,4.3,26.9,,109,110
1995,21,SEA,Seattle Supersonics,Sam Perkins,33,4,2,141,8.2,18.7,0.44,3.9,8.6,0.46,4.3,10.1,0.42,0.8,0.8,1.0,2.3,9.7,12.1,5.1,1.2,1.9,3.5,4.7,21.1,,108,106
1995,21,SEA,Seattle Supersonics,Nate McMillan,30,4,4,113,3.9,11.2,0.35,0.5,3.9,0.12,3.4,7.3,0.47,1.0,1.0,1.0,3.4,5.4,8.8,14.1,4.9,1.0,3.4,6.3,9.2,,108,102
1995,21,SEA,Seattle Supersonics,Vincent Askew,28,4,0,93,7.1,17.1,0.41,2.4,3.0,0.8,4.7,14.2,0.33,1.2,1.8,0.67,6.5,2.4,8.9,4.7,1.8,0.0,1.8,8.3,17.7,,117,112
1995,21,SEA,Seattle Supersonics,Kendall Gill,26,4,0,72,6.9,19.1,0.36,1.5,6.1,0.25,5.3,13.0,0.41,3.8,6.1,0.62,0.8,2.3,3.1,7.6,3.1,0.8,3.1,4.6,19.1,,99,109
1995,21,SEA,Seattle Supersonics,Ervin Johnson,27,4,2,54,4.1,14.3,0.29,0.0,0.0,,4.1,14.3,0.29,6.1,6.1,1.0,8.1,13.2,21.4,0.0,1.0,4.1,1.0,16.3,14.3,,112,101
1995,21,SEA,Seattle Supersonics,Byron Houston,25,1,0,1,0.0,55.0,0.0,0.0,0.0,,0.0,55.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,118
1995,21,SEA,Seattle Supersonics,Steve Scheffler,27,1,0,1,55.0,55.0,1.0,0.0,0.0,,55.0,55.0,1.0,0.0,0.0,,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,110.0,,200,77
