Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,21,2328,SEA,Seattle Supersonics,23.0,NBA,C,82.0,0.0,1080.0,3.9,8.5,0.46,0.0,0.1,0.0,3.9,8.4,0.47,3.4,5.3,0.64,4.1,6.9,11.0,1.1,1.1,0.9,2.7,7.2,11.2
1989,21,2328,SEA,Seattle Supersonics,24.0,NBA,C,80.0,0.0,835.0,3.9,7.8,0.51,0.0,0.1,0.0,3.9,7.7,0.51,2.2,3.7,0.59,4.2,4.7,8.9,0.9,1.6,1.3,2.0,7.1,10.0
1990,21,2328,SEA,Seattle Supersonics,25.0,NBA,C,79.0,7.0,1085.0,5.2,9.6,0.54,0.0,0.1,0.5,5.1,9.5,0.54,1.6,3.3,0.48,4.2,5.7,10.0,0.5,0.8,0.7,1.2,6.2,11.9
1991,31,2328,TOT,Total After Trade,26.0,NBA,C,79.0,30.0,2092.0,5.4,9.7,0.56,0.0,0.0,0.0,5.4,9.7,0.56,2.5,4.3,0.58,3.8,5.7,9.5,0.7,0.7,0.6,1.5,3.3,13.4
1991,21,2328,SEA,Seattle Supersonics,26.0,NBA,C,48.0,0.0,960.0,6.2,11.4,0.55,0.0,0.0,,6.2,11.4,0.55,2.5,4.3,0.59,4.3,5.9,10.1,0.6,1.0,0.7,2.0,3.5,14.9
1991,13,2328,LAC,Los Angeles Clippers,26.0,NBA,C,31.0,30.0,1132.0,4.8,8.3,0.58,0.0,0.0,0.0,4.8,8.3,0.58,2.5,4.4,0.57,3.4,5.6,9.0,0.8,0.5,0.4,1.1,3.1,12.1
1992,13,2328,LAC,Los Angeles Clippers,27.0,NBA,C,76.0,65.0,1834.0,4.8,9.2,0.52,0.0,0.0,0.0,4.8,9.2,0.52,2.5,3.9,0.62,3.8,6.7,10.5,0.9,0.9,0.4,1.6,3.2,12.0
1993,9,2328,DET,Detroit Pistons,28.0,NBA,C,67.0,18.0,1299.0,5.8,11.9,0.49,0.0,0.0,0.0,5.8,11.9,0.49,1.8,3.9,0.46,5.0,6.6,11.6,0.8,0.9,0.6,1.5,3.5,13.5
1994,31,2328,TOT,Total After Trade,29.0,NBA,C,68.0,65.0,2402.0,5.2,9.9,0.52,0.0,0.0,0.0,5.2,9.9,0.52,1.5,2.9,0.51,4.5,7.6,12.1,0.6,0.6,1.0,1.2,2.8,11.8
1994,9,2328,DET,Detroit Pistons,29.0,NBA,C,37.0,36.0,1350.0,5.9,10.8,0.55,0.0,0.0,0.0,5.9,10.8,0.55,1.1,2.5,0.46,3.9,8.2,12.2,0.6,0.6,1.0,1.3,2.9,13.0
1994,26,2328,SAC,Sacramento Kings,29.0,NBA,C,31.0,29.0,1052.0,4.2,8.8,0.48,0.0,0.0,0.0,4.2,8.7,0.49,1.9,3.4,0.56,5.2,6.9,12.1,0.7,0.6,1.1,1.0,2.8,10.4
1995,26,2328,SAC,Sacramento Kings,30.0,NBA,C,81.0,81.0,2534.0,5.3,9.8,0.54,0.0,0.0,1.0,5.3,9.8,0.54,1.8,2.8,0.64,3.9,6.4,10.3,0.9,0.7,0.7,1.6,3.4,12.5
1996,26,2328,SAC,Sacramento Kings,31.0,NBA,C,81.0,80.0,2441.0,6.4,12.1,0.53,0.0,0.0,0.33,6.3,12.0,0.53,1.8,3.0,0.6,3.8,7.5,11.3,0.9,0.8,1.0,1.9,3.7,14.5
1997,26,2328,SAC,Sacramento Kings,32.0,NBA,C,82.0,82.0,2893.0,5.5,12.0,0.46,0.0,0.1,0.0,5.5,12.0,0.46,1.8,3.1,0.56,3.4,6.2,9.6,2.2,0.6,1.0,2.1,3.7,12.8
1998,26,2328,SAC,Sacramento Kings,33.0,NBA,C,70.0,25.0,1458.0,6.1,13.4,0.46,0.0,0.0,0.0,6.1,13.4,0.46,1.3,2.8,0.45,4.3,6.6,10.8,2.6,0.9,1.1,2.4,3.9,13.6
1999,21,2328,SEA,Seattle Supersonics,34.0,NBA,C,48.0,47.0,1481.0,4.1,8.7,0.47,0.0,0.0,1.0,4.1,8.7,0.47,0.7,2.3,0.31,4.5,5.9,10.3,1.0,0.5,0.7,1.2,3.6,8.9
2001,29,2328,UTA,Utah Jazz,36.0,NBA,C,81.0,79.0,1619.0,4.6,9.2,0.5,0.0,0.0,0.0,4.6,9.2,0.5,0.4,1.4,0.26,3.5,4.9,8.4,0.7,0.6,1.7,1.7,5.4,9.5
2004,13,2328,LAC,Los Angeles Clippers,39.0,NBA,C,2.0,0.0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,3.0,3.0,0.0,12.0,6.0,0.0
