Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2016,6,CLE,Cleveland Cavaliers,57,25,0.7,—,104.3,98.3,5.45
2016,28,TOR,Toronto Raptors,56,26,0.68,1.0,102.7,98.2,4.08
2016,16,MIA,Miami Heat,48,34,0.58,9.0,100.0,98.4,1.5
2016,1,ATL,Atlanta Hawks,48,34,0.58,9.0,102.8,99.2,3.49
2016,2,BOS,Boston Celtics,48,34,0.58,9.0,105.7,102.5,2.84
2016,4,CHO,Charlotte Hornets,48,34,0.58,9.0,103.4,100.7,2.36
2016,12,IND,Indiana Pacers,45,37,0.55,12.0,102.2,100.5,1.62
2016,9,DET,Detroit Pistons,44,38,0.54,13.0,102.0,101.4,0.43
2016,5,CHI,Chicago Bulls,42,40,0.51,15.0,101.6,103.1,-1.46
2016,30,WAS,Washington Wizards,41,41,0.5,16.0,104.1,104.6,-0.5
2016,22,ORL,Orlando Magic,35,47,0.43,22.0,102.1,103.7,-1.68
2016,17,MIL,Milwaukee Bucks,33,49,0.4,24.0,99.0,103.2,-3.98
2016,20,NYK,New York Knicks,32,50,0.39,25.0,98.4,101.1,-2.74
2016,3,BRK,Brooklyn Nets,21,61,0.26,36.0,98.6,106.0,-7.12
2016,23,PHI,Philadelphia 76Ers,10,72,0.12,47.0,97.4,107.6,-9.92
