Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2019,17,MIL,Milwaukee Bucks,60,22,0.73,—,118.1,109.3,8.04
2019,28,TOR,Toronto Raptors,58,24,0.71,2.0,114.4,108.4,5.49
2019,23,PHI,Philadelphia 76Ers,51,31,0.62,9.0,115.2,112.5,2.25
2019,2,BOS,Boston Celtics,49,33,0.6,11.0,112.4,108.0,3.9
2019,12,IND,Indiana Pacers,48,34,0.58,12.0,108.0,104.7,2.76
2019,3,BRK,Brooklyn Nets,42,40,0.51,18.0,112.2,112.3,-0.4
2019,22,ORL,Orlando Magic,42,40,0.51,18.0,107.3,106.6,0.28
2019,9,DET,Detroit Pistons,41,41,0.5,19.0,107.0,107.3,-0.56
2019,4,CHO,Charlotte Hornets,39,43,0.48,21.0,110.7,111.8,-1.32
2019,16,MIA,Miami Heat,39,43,0.48,21.0,105.7,105.9,-0.45
2019,30,WAS,Washington Wizards,32,50,0.39,28.0,114.0,116.9,-3.3
2019,1,ATL,Atlanta Hawks,29,53,0.35,31.0,113.3,119.4,-6.06
2019,5,CHI,Chicago Bulls,22,60,0.27,38.0,104.9,113.4,-8.32
2019,6,CLE,Cleveland Cavaliers,19,63,0.23,41.0,104.5,114.1,-9.39
2019,20,NYK,New York Knicks,17,65,0.21,43.0,104.6,113.8,-8.93
