Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1984,2,BOS,Boston Celtics,62,20,.756,—,112.1,105.6,6.42
1984,23,PHI,Philadelphia 76Ers,52,30,.634,10.0,107.8,105.6,2.39
1984,20,NYK,New York Knicks,47,35,.573,15.0,106.9,103.0,3.79
1984,3,NJN,New Jersey Nets,45,37,.549,17.0,110.0,108.9,1.27
1984,30,WSB,Washington Bullets,35,47,.427,27.0,102.7,105.6,-2.36
1984,17,MIL,Milwaukee Bucks,50,32,.610,—,105.7,101.5,4.04
1984,9,DET,Detroit Pistons,49,33,.598,1.0,117.1,113.5,3.52
1984,1,ATL,Atlanta Hawks,40,42,.488,10.0,101.5,102.8,-1.08
1984,6,CLE,Cleveland Cavaliers,28,54,.341,22.0,102.3,106.5,-3.71
1984,5,CHI,Chicago Bulls,27,55,.329,23.0,103.7,108.9,-4.69
1984,12,IND,Indiana Pacers,26,56,.317,24.0,104.5,109.3,-4.25
