Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1980,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",23.0,NBA,PF,9,,372,83,177,0.47,4,15,0.27,79,162,0.49,0.48,22,25,0.88,22,79,101,42,14,8,33,30,192,0
1981,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",24.0,NBA,PF,17,,750,147,313,0.47,3,8,0.38,144,305,0.47,0.47,76,85,0.89,49,189,238,103,39,17,62,53,373,1
1982,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",25.0,NBA,PF,12,,490,88,206,0.43,1,6,0.17,87,200,0.44,0.43,37,45,0.82,33,117,150,67,23,17,38,43,214,2
1983,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",26.0,NBA,PF,6,,240,49,116,0.42,1,4,0.25,48,112,0.43,0.43,24,29,0.83,20,55,75,41,13,3,19,15,123,0
1984,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",27.0,NBA,PF,23,,961,229,437,0.52,7,17,0.41,222,420,0.53,0.53,167,190,0.88,62,190,252,136,54,27,87,71,632,1
1985,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",28.0,NBA,SF,20,20.0,815,196,425,0.46,7,25,0.28,189,400,0.47,0.47,121,136,0.89,53,129,182,115,34,19,57,54,520,0
1986,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",29.0,NBA,SF,18,18.0,770,171,331,0.52,23,56,0.41,148,275,0.54,0.55,101,109,0.93,34,134,168,148,37,11,47,55,466,3
1987,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",30.0,NBA,SF,23,23.0,1015,216,454,0.48,14,41,0.34,202,413,0.49,0.49,176,193,0.91,41,190,231,165,27,19,71,55,622,1
1988,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",31.0,NBA,SF,17,17.0,763,152,338,0.45,12,32,0.38,140,306,0.46,0.47,101,113,0.89,29,121,150,115,36,14,49,45,417,0
1990,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",33.0,NBA,SF,5,5.0,207,44,99,0.44,5,19,0.26,39,80,0.49,0.47,29,32,0.91,7,39,46,44,5,5,18,10,122,1
1991,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",34.0,NBA,SF,10,10.0,396,62,152,0.41,3,21,0.14,59,131,0.45,0.42,44,51,0.86,8,64,72,65,13,3,19,28,171,1
1992,2,246,BOS,Boston Celtics,Larry Bird,"December 7, 1956",35.0,NBA,SF,4,2.0,107,21,42,0.5,0,5,0.0,21,37,0.57,0.5,3,4,0.75,2,16,18,21,1,2,6,7,45,0
