Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,17,2409,MIL,Milwaukee Bucks,21.0,NBA,SG,6.0,0.0,35.0,5.1,19.5,0.26,0.0,3.1,0.0,5.1,16.5,0.31,3.1,6.2,0.5,3.1,1.0,4.1,1.0,1.0,0.0,1.0,2.1,13.4
2002,17,2409,MIL,Milwaukee Bucks,22.0,NBA,SG,67.0,8.0,1417.0,7.5,15.5,0.48,2.2,5.0,0.44,5.2,10.4,0.5,2.3,2.9,0.79,2.0,3.7,5.7,2.3,1.1,0.2,1.4,2.4,19.5
2003,17,2409,MIL,Milwaukee Bucks,23.0,NBA,SG,82.0,14.0,2316.0,7.1,15.1,0.47,2.8,6.5,0.44,4.2,8.6,0.49,2.3,2.9,0.8,1.5,4.2,5.8,1.8,1.6,0.2,1.2,2.2,19.3
2004,17,2409,MIL,Milwaukee Bucks,24.0,NBA,SG,82.0,82.0,3021.0,7.5,17.1,0.44,1.5,4.3,0.35,6.0,12.8,0.47,4.6,5.3,0.87,1.4,3.4,4.9,2.2,1.0,0.1,1.4,1.8,21.2
2005,17,2409,MIL,Milwaukee Bucks,25.0,NBA,SG,75.0,75.0,2848.0,7.9,17.9,0.44,1.3,3.7,0.36,6.6,14.2,0.46,4.7,5.5,0.85,0.9,3.0,3.9,2.2,0.8,0.1,1.7,1.9,21.8
2006,17,2409,MIL,Milwaukee Bucks,26.0,NBA,SG,80.0,80.0,3130.0,7.8,17.4,0.45,1.9,4.8,0.4,6.0,12.7,0.47,5.8,6.6,0.88,0.9,3.0,3.9,2.6,1.1,0.1,2.0,1.8,23.3
2007,17,2409,MIL,Milwaukee Bucks,27.0,NBA,SF,53.0,53.0,2036.0,8.4,18.1,0.46,2.1,5.4,0.38,6.4,12.7,0.5,6.1,7.4,0.83,0.7,2.7,3.5,2.2,1.1,0.2,2.2,1.4,25.0
2008,17,2409,MIL,Milwaukee Bucks,28.0,NBA,SG,72.0,71.0,2702.0,7.3,16.6,0.44,1.7,4.8,0.36,5.6,11.8,0.48,5.4,6.5,0.82,1.1,3.0,4.1,3.3,0.9,0.2,2.4,1.6,21.7
2009,17,2409,MIL,Milwaukee Bucks,29.0,NBA,SG,33.0,32.0,1203.0,7.5,16.4,0.46,2.1,5.7,0.37,5.4,10.7,0.5,3.9,4.8,0.81,0.7,2.5,3.2,2.6,1.0,0.1,1.6,1.3,20.9
2010,17,2409,MIL,Milwaukee Bucks,30.0,NBA,SG,18.0,12.0,492.0,5.5,15.6,0.35,1.3,4.4,0.3,4.2,11.2,0.37,3.4,4.8,0.71,0.8,3.1,4.0,2.9,1.4,0.1,1.1,1.8,15.7
2011,17,2409,MIL,Milwaukee Bucks,31.0,NBA,SG,10.0,0.0,134.0,4.8,12.1,0.4,1.1,4.6,0.24,3.8,7.5,0.5,1.1,1.1,1.0,0.0,2.1,2.1,3.2,0.5,0.3,1.1,1.1,11.8
2012,24,2409,PHO,Phoenix Suns,32.0,NBA,SG,51.0,2.0,770.0,6.7,16.8,0.4,2.0,6.2,0.32,4.8,10.7,0.45,4.1,5.2,0.79,0.7,2.9,3.6,1.5,0.6,0.0,1.7,1.4,19.5
